row,year,month,day,temp_c,rh_pct,wind_kmh,rain_mm,ffmc,dmc,dc,isi,bui,fwi,xclim0620_ffmc,xclim0620_dmc,xclim0620_dc,xclim0620_isi,xclim0620_bui,xclim0620_fwi,source
1,1985,4,13,17.0,42.0,25.0,0.0,87.7,8.5,19.0,10.9,8.5,10.1,87.693,8.5451,19.014,10.8537,8.4904,10.0964,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
2,1985,4,14,20.0,21.0,25.0,2.4,86.2,10.4,23.6,8.8,10.4,9.3,86.2476,10.4019,23.568,8.8376,10.3553,9.2802,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
3,1985,4,15,8.5,40.0,17.0,0.0,87.0,11.8,26.1,6.5,11.7,7.6,86.9671,11.7983,26.052,6.5391,11.7392,7.5802,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
4,1985,4,16,6.5,25.0,6.0,0.0,88.8,13.2,28.2,4.9,13.1,6.2,88.8286,13.1801,28.176,4.9034,13.1052,6.1582,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
5,1985,4,17,13.0,34.0,24.0,0.0,89.1,15.4,31.5,12.6,15.3,14.8,89.1015,15.4362,31.47,12.6306,15.3374,14.8421,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
6,1985,4,18,6.0,40.0,22.0,0.4,88.7,16.5,33.5,10.7,16.4,13.5,88.6567,16.469,33.504,10.7134,16.3685,13.4677,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
7,1985,4,19,5.5,52.0,6.0,0.0,87.4,17.2,35.4,4.0,17.1,5.9,87.3542,17.237,35.448,3.9696,17.1413,5.8626,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
8,1985,4,20,8.5,46.0,16.0,0.0,87.4,18.5,37.9,6.6,18.4,9.7,87.4026,18.4938,37.932,6.616,18.396,9.6528,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
9,1985,4,21,9.5,54.0,20.0,0.0,86.8,19.7,40.6,7.4,19.6,11.0,86.811,19.6759,40.596,7.4394,19.5803,10.9907,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
10,1985,4,22,7.0,93.0,14.0,9.0,29.9,10.1,29.5,0.0,10.9,0.0,29.8589,10.1447,29.5247,0.0067,10.9141,0.0042,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
11,1985,4,23,6.5,71.0,17.0,1.0,49.4,10.7,31.6,0.4,11.6,0.2,49.4441,10.679,31.6487,0.3608,11.5852,0.236,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
12,1985,4,24,6.0,59.0,17.0,0.0,67.3,11.4,33.7,1.3,12.3,0.9,67.2814,11.3847,33.6827,1.35,12.3412,0.9154,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
13,1985,4,25,13.0,52.0,4.0,0.0,77.8,13.0,37.0,1.1,13.9,0.8,77.8014,13.0255,36.9767,1.1336,13.8521,0.8217,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
14,1985,4,26,15.5,40.0,11.0,0.0,85.5,15.4,40.7,3.9,15.9,5.5,85.4794,15.4401,40.7207,3.9195,15.8529,5.5285,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
15,1985,4,27,23.0,25.0,9.0,0.0,91.5,19.8,45.8,8.4,19.8,12.2,91.5186,19.8221,45.8147,8.3797,19.7828,12.1653,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
16,1985,4,28,19.0,46.0,16.0,0.0,89.9,22.5,50.2,9.5,22.4,14.3,89.9322,22.4534,50.1887,9.5084,22.3965,14.2963,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
17,1985,4,29,18.0,41.0,20.0,0.0,90.0,25.2,54.4,11.7,25.1,17.7,89.9816,25.1854,54.3827,11.7142,25.1093,17.708,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
18,1985,4,30,14.5,51.0,16.0,0.0,88.4,27.0,57.9,7.7,27.0,13.3,88.4327,27.0385,57.9467,7.6676,26.9574,13.2845,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
19,1985,5,1,14.5,69.0,11.0,0.0,85.7,28.3,63.0,4.0,28.2,8.0,85.7044,28.3117,62.9607,4.0443,28.2494,8.0126,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
20,1985,5,2,15.5,42.0,8.0,0.0,87.4,30.8,68.2,4.4,30.8,9.1,87.3853,30.8464,68.1547,4.4101,30.7792,9.0823,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
21,1985,5,3,21.0,37.0,8.0,0.0,89.4,34.5,74.3,5.9,34.4,12.3,89.3862,34.5119,74.3387,5.8752,34.4282,12.2581,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
22,1985,5,4,23.0,32.0,16.0,0.0,91.0,38.8,80.9,11.1,38.7,21.0,90.9844,38.8263,80.8827,11.0515,38.7198,21.0063,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
23,1985,5,5,23.0,32.0,14.0,0.0,91.2,43.1,87.4,10.3,43.0,21.1,91.2053,43.1407,87.4267,10.3113,43.0131,21.0678,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
24,1985,5,6,27.0,33.0,12.0,0.0,91.7,48.1,94.7,9.9,47.9,21.7,91.6579,48.0972,94.6907,9.9419,47.945,21.6822,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
25,1985,5,7,28.0,17.0,27.0,0.0,95.2,54.5,102.1,34.5,54.3,52.6,95.1657,54.4558,102.1347,34.5221,54.2611,52.5542,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
26,1985,5,8,23.5,54.0,20.0,0.0,89.7,57.4,108.8,11.3,57.2,25.9,89.7012,57.435,108.7687,11.2529,57.2409,25.8633,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
27,1985,5,9,16.0,50.0,22.0,12.2,62.2,29.9,91.8,1.4,33.0,3.0,62.2307,29.9207,91.8026,1.4088,32.9739,3.0199,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
28,1985,5,10,11.5,58.0,20.0,0.0,76.7,31.3,96.3,2.3,34.5,5.4,76.6951,31.3139,96.2766,2.3335,34.5414,5.4459,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
29,1985,5,11,16.0,54.0,16.0,0.0,83.5,33.4,101.6,3.8,36.7,8.9,83.4506,33.3847,101.5606,3.8329,36.6504,8.9186,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
30,1985,5,12,21.5,37.0,9.0,0.0,88.7,37.1,107.8,5.6,39.9,12.8,88.6705,37.1331,107.8346,5.5756,39.9092,12.7517,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
31,1985,5,13,14.0,61.0,22.0,0.2,86.7,38.7,112.8,8.1,41.6,17.3,86.675,38.6835,112.7586,8.0709,41.6475,17.3261,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
32,1985,5,14,15.0,30.0,27.0,0.0,89.6,41.7,117.9,15.9,44.2,28.8,89.6322,41.6505,117.8626,15.8546,44.2278,28.8443,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
33,1985,5,15,20.0,23.0,11.0,0.0,92.1,45.9,123.9,10.1,47.7,21.9,92.1268,45.9278,123.8666,10.1019,47.6686,21.8666,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
34,1985,5,16,14.0,95.0,3.0,16.4,21.3,20.1,97.0,0.0,26.5,0.0,21.3333,20.1136,96.9763,0.0003,26.4911,0.0003,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
35,1985,5,17,20.0,53.0,4.0,2.8,51.0,18.3,103.0,0.2,25.3,0.2,51.0377,18.2587,102.9803,0.227,25.3021,0.2394,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
36,1985,5,18,19.5,30.0,16.0,0.0,82.3,22.1,108.9,3.3,29.3,6.8,82.2651,22.055,108.8943,3.2974,29.2829,6.809,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
37,1985,5,19,25.5,51.0,20.0,6.0,75.4,16.4,106.4,2.1,23.7,3.8,75.3587,16.3889,106.4132,2.1415,23.6657,3.8172,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
38,1985,5,20,10.0,38.0,24.0,0.0,84.3,18.2,110.6,6.4,25.8,11.3,84.3233,18.2007,110.6172,6.4405,25.792,11.2908,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
39,1985,5,21,19.0,27.0,16.0,0.0,90.3,22.1,116.4,10.0,29.9,17.2,90.3074,22.0636,116.4412,10.0331,29.943,17.2135,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
40,1985,5,22,26.0,46.0,11.0,4.2,77.6,18.7,117.7,1.6,26.8,2.9,77.5782,18.6817,117.7311,1.5843,26.7512,2.9342,Wang_Anderson_Suddaby_2015_NOR-X-424_Table7
