outcome,model,mean,sd_observed,sampling_sd_rms,mu,se_mu,sd_total_het,sd_source,sd_source_pb_lo,sd_source_pb_hi,sd_source_loro_min,sd_source_loro_max,sd_target,sd_target_pb_lo,sd_target_pb_hi,sd_target_loro_min,sd_target_loro_max,sd_dyad,sd_dyad_pb_lo,sd_dyad_pb_hi,sd_dyad_loro_min,sd_dyad_loro_max,sd_pair,sd_pair_pb_lo,sd_pair_pb_hi,sd_pair_loro_min,sd_pair_loro_max
raw_thermal_auc,crossed,0.52671,0.11369,0.03563,0.52580,0.02731,0.11066,0.00000,0.00000,0.08301,0.00000,0.06023,0.02190,0.00000,0.08513,0.00000,0.11006,0.10847,0.05664,0.14107,0.03521,0.12973,,,,,
raw_thermal_auc,crossed_pair,0.52671,0.11369,0.03563,0.52382,0.03625,0.11394,0.00000,0.00000,0.04661,0.00000,0.03817,0.01634,0.00000,0.05383,0.00000,0.05156,0.03760,0.00000,0.06176,0.00000,0.04687,0.10631,0.04154,0.16060,0.07037,0.13338
z_thermal_auc,crossed,0.50962,0.07959,0.03563,0.51068,0.03624,0.08348,0.03779,0.00000,0.07013,0.02293,0.04724,0.06782,0.01331,0.11700,0.00649,0.09976,0.03067,0.00000,0.05248,0.00000,0.04480,,,,,
z_thermal_auc,crossed_pair,0.50962,0.07959,0.03563,0.51068,0.03624,0.08348,0.03779,0.00000,0.07482,0.00000,0.04656,0.06782,0.00000,0.11499,0.00648,0.09976,0.03067,0.00000,0.05020,0.00000,0.04035,0.00000,0.00000,0.04521,0.00000,0.06076
coral_thermal_auc,crossed,0.51668,0.06381,0.03563,0.51648,0.03052,0.06606,0.04079,0.00000,0.07211,0.02586,0.04770,0.05196,0.00929,0.09064,0.00000,0.06707,0.00000,0.00000,0.03177,0.00000,0.00890,,,,,
coral_thermal_auc,crossed_pair,0.51668,0.06381,0.03563,0.51648,0.03052,0.06606,0.04079,0.00000,0.07179,0.00000,0.03561,0.05196,0.00000,0.08602,0.00000,0.04567,0.00000,0.00000,0.02841,0.00000,0.00530,0.00000,0.00000,0.03285,0.00000,0.05609
raw_baseline_auc,crossed,0.51938,0.11282,0.03563,0.51909,0.02840,0.11004,0.00000,0.00000,0.07902,0.00000,0.05238,0.03047,0.00000,0.09416,0.00000,0.10918,0.10574,0.05322,0.14149,0.03927,0.12716,,,,,
raw_baseline_auc,crossed_pair,0.51938,0.11282,0.03563,0.51838,0.03321,0.11214,0.00000,0.00000,0.06974,0.00000,0.04846,0.00807,0.00000,0.06251,0.00000,0.05919,0.06665,0.00000,0.09578,0.03927,0.07332,0.08982,0.00000,0.14326,0.00000,0.11028
delta_thermal_minus_baseline,crossed,0.00733,0.06824,0.02786,0.00659,0.01477,0.06051,0.00000,0.00000,0.04559,0.00000,0.02164,0.00000,0.00000,0.04862,0.00000,0.02414,0.06051,0.02634,0.07931,0.05038,0.07026,,,,,
delta_thermal_minus_baseline,crossed_pair,0.00733,0.06824,0.02786,0.00659,0.01521,0.06063,0.00000,0.00000,0.04609,0.00000,0.02651,0.00000,0.00000,0.04451,0.00000,0.02728,0.05852,0.01410,0.07474,0.03301,0.06473,0.01582,0.00000,0.05647,0.00000,0.03948
gap_within_minus_transfer,crossed,0.36924,0.12140,0.03563,0.36992,0.03434,0.12011,0.00000,0.00000,0.08335,0.00000,0.06100,0.05135,0.00000,0.11848,0.00000,0.12721,0.10858,0.05278,0.14396,0.03455,0.13596,,,,,
gap_within_minus_transfer,crossed_pair,0.36924,0.12140,0.03563,0.37113,0.03997,0.11921,0.00000,0.00000,0.06344,0.00000,0.03755,0.04354,0.00000,0.07786,0.02375,0.07332,0.03866,0.00000,0.06712,0.00000,0.05737,0.10402,0.03763,0.15342,0.07518,0.13427
