scenario,T,S,contrast,method,hw95,sd_estimate,coverage95,power_0.02,power_0.05,power_0.10,p_equiv_M0.02_true0.00,p_equiv_M0.02_true0.02,p_equiv_M0.05_true0.00,p_equiv_M0.05_true0.02,mde80
central,8,3,mean_V3,crossed_RE_model,0.0516,0.0218,,0.1251,0.5055,0.9734,0.0000,0.0000,0.2955,0.1937,0.0714
central,8,3,mean_V3,tile_cluster_bootstrap,0.0674,0.0213,0.9955,0.0235,0.2505,0.9045,0.0000,0.0000,0.0655,0.0470,0.0890
central,8,3,mean_V3,target_only_bootstrap,0.0274,0.0213,0.7645,0.3985,0.8385,0.9990,0.0360,0.0245,0.7735,0.6095,0.0475
central,8,3,V1_minus_V3,crossed_RE_model,0.0636,0.0269,,0.0991,0.3621,0.8882,0.0000,0.0000,0.0000,0.0000,0.0879
central,8,3,V1_minus_V3,tile_cluster_bootstrap,0.0710,0.0269,0.9810,0.0435,0.2580,0.8280,0.0000,0.0000,0.0375,0.0345,0.0970
central,8,3,V1_minus_V3,target_only_bootstrap,0.0392,0.0269,0.8170,0.2895,0.6455,0.9820,0.0030,0.0045,0.4375,0.3535,0.0650
central,8,3,V2_minus_V3,crossed_RE_model,0.1045,0.0442,,0.0680,0.1658,0.4967,0.0000,0.0000,0.0000,0.0000,0.1444
central,8,3,V2_minus_V3,tile_cluster_bootstrap,0.0906,0.0436,0.9445,0.0790,0.2030,0.5735,0.0000,0.0000,0.0055,0.0045,0.1325
central,8,3,V2_minus_V3,target_only_bootstrap,0.0733,0.0436,0.8615,0.1515,0.3110,0.7100,0.0000,0.0000,0.0400,0.0395,0.1130
central,8,3,group_contribution_V3,crossed_RE_model,0.0205,0.0087,,0.5122,0.9982,1.0000,0.3094,0.0352,0.9939,0.9195,0.0283
central,8,3,group_contribution_V3,tile_cluster_bootstrap,0.0272,0.0086,0.9955,0.2480,0.9870,1.0000,0.0590,0.0050,0.9930,0.7940,0.0360
central,8,3,group_contribution_V3,target_only_bootstrap,0.0146,0.0086,0.8750,0.7195,1.0000,1.0000,0.5975,0.0860,1.0000,0.9630,0.0225
central,8,3,V1_minus_V2,tile_RE_model,0.0867,0.0367,,0.0762,0.2191,0.6495,0.0000,0.0000,0.0000,0.0000,0.1199
central,8,3,V1_minus_V2,tile_cluster_bootstrap,0.0647,0.0363,0.8940,0.1585,0.3780,0.8090,0.0000,0.0000,0.0900,0.0720,0.0995
central,8,3,group_contribution_V1,tile_RE_model,0.0327,0.0138,,0.2408,0.8717,1.0000,0.0000,0.0000,0.8717,0.5972,0.0452
central,8,3,group_contribution_V1,tile_cluster_bootstrap,0.0241,0.0135,0.8880,0.3920,0.9595,1.0000,0.1180,0.0390,0.9585,0.7420,0.0365
central,8,4,mean_V3,crossed_RE_model,0.0514,0.0218,,0.1257,0.5085,0.9743,0.0000,0.0000,0.3017,0.1974,0.0711
central,8,4,mean_V3,tile_cluster_bootstrap,0.0673,0.0221,0.9910,0.0330,0.2500,0.8965,0.0000,0.0000,0.0630,0.0490,0.0885
central,8,4,mean_V3,target_only_bootstrap,0.0272,0.0221,0.7525,0.4035,0.8400,0.9995,0.0435,0.0300,0.7650,0.6015,0.0465
central,8,4,V1_minus_V3,crossed_RE_model,0.0628,0.0266,,0.1004,0.3698,0.8956,0.0000,0.0000,0.0000,0.0000,0.0868
central,8,4,V1_minus_V3,tile_cluster_bootstrap,0.0702,0.0266,0.9850,0.0440,0.2570,0.8335,0.0000,0.0000,0.0390,0.0300,0.0960
central,8,4,V1_minus_V3,target_only_bootstrap,0.0384,0.0266,0.8120,0.2950,0.6520,0.9875,0.0035,0.0045,0.4615,0.3715,0.0630
central,8,4,V2_minus_V3,crossed_RE_model,0.1017,0.0430,,0.0690,0.1724,0.5179,0.0000,0.0000,0.0000,0.0000,0.1406
central,8,4,V2_minus_V3,tile_cluster_bootstrap,0.0877,0.0420,0.9445,0.0800,0.2105,0.6140,0.0000,0.0000,0.0115,0.0040,0.1260
central,8,4,V2_minus_V3,target_only_bootstrap,0.0699,0.0420,0.8675,0.1625,0.3500,0.7590,0.0000,0.0000,0.0625,0.0350,0.1085
central,8,4,group_contribution_V3,crossed_RE_model,0.0203,0.0086,,0.5187,0.9984,1.0000,0.3226,0.0360,0.9943,0.9228,0.0281
