config,role,population,rf_profile,direction,source,target,feature_set,variant,roc_auc,pr_auc,roc_auc_ci_lo,roc_auc_ci_hi,pr_auc_ci_lo,pr_auc_ci_hi,target_positive_count,target_negative_count,n_source,n_target
primary_burnable_rf3bal,primary,burnable_tree_shrub_grass,primary,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,raw,0.32447274017678557,0.04869894102805673,0.3035664459665452,0.3477852853590895,0.043079162585227836,0.05491824879839107,1100,14090,20511,15190
primary_burnable_rf3bal,primary,burnable_tree_shrub_grass,primary,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,zscore,0.4834233498935415,0.06753313210448902,0.4549819297595961,0.5085968586305473,0.05933108255081473,0.07754427447167685,1100,14090,20511,15190
primary_burnable_rf3bal,primary,burnable_tree_shrub_grass,primary,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,coral_after_regionwise_zscore,0.5107833086005549,0.06957479507953356,0.4861646023440264,0.5339157893580424,0.061204711514215915,0.07910284377013974,1100,14090,20511,15190
primary_burnable_rf3bal,primary,burnable_tree_shrub_grass,primary,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,baseline,raw,0.3316695593264082,0.04925146601803781,0.3087205415853802,0.35532314984848173,0.04349623224241008,0.05551395187958544,1100,14090,20511,15190
primary_burnable_rf3bal,primary,burnable_tree_shrub_grass,primary,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,baseline,zscore,0.4073106006839151,0.05714946589490655,0.3804570100527186,0.43310982312662744,0.05015966752995985,0.06561518898647936,1100,14090,20511,15190
primary_burnable_rf3bal,primary,burnable_tree_shrub_grass,primary,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,baseline,coral_after_regionwise_zscore,0.4225147751467837,0.057678282660706855,0.3972711706226877,0.44605930800433213,0.0508931694856842,0.06526692046050603,1100,14090,20511,15190
primary_burnable_rf3bal,primary,burnable_tree_shrub_grass,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,thermal,raw,0.4443790715201273,0.034453972025609056,0.41144310351456787,0.476452297456194,0.029330462135221908,0.041693557610205864,784,19727,15190,20511
primary_burnable_rf3bal,primary,burnable_tree_shrub_grass,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,thermal,zscore,0.4520004179499143,0.03825481182396274,0.4132027142515496,0.4891839384270087,0.03189494815129492,0.04718440060565933,784,19727,15190,20511
primary_burnable_rf3bal,primary,burnable_tree_shrub_grass,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,thermal,coral_after_regionwise_zscore,0.5571013725102755,0.04353485676649538,0.5291809900362803,0.5856811446046148,0.03743738081035668,0.05086314673985786,784,19727,15190,20511
primary_burnable_rf3bal,primary,burnable_tree_shrub_grass,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,raw,0.42046032941488043,0.03312376700757856,0.38543876918802067,0.4546770799276127,0.02815996071645234,0.04040446601088861,784,19727,15190,20511
primary_burnable_rf3bal,primary,burnable_tree_shrub_grass,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,zscore,0.44185792315101136,0.034362440881073424,0.40590885154334644,0.47742642880999814,0.029098768600803647,0.0413406452434653,784,19727,15190,20511
primary_burnable_rf3bal,primary,burnable_tree_shrub_grass,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,coral_after_regionwise_zscore,0.4561275763663807,0.03509630294879471,0.42281089373755965,0.4899062944153852,0.029549368485778434,0.04238731676646325,784,19727,15190,20511
sens_allvalid_rf3bal,sensitivity,all_valid,primary,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,raw,0.33181423009695665,0.047509996291805634,0.3093914788074126,0.35657570032944086,0.04214644682816202,0.053077636253418346,1103,14656,24087,15759
sens_allvalid_rf3bal,sensitivity,all_valid,primary,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,zscore,0.5423434239984639,0.08281701307997309,0.5181952713883644,0.5656047769247947,0.07070415640284855,0.09794536910795008,1103,14656,24087,15759
sens_allvalid_rf3bal,sensitivity,all_valid,primary,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,coral_after_regionwise_zscore,0.5100882010455803,0.07088914265000595,0.4867031193678057,0.533219280405755,0.06150747933736267,0.0817800696829514,1103,14656,24087,15759
sens_allvalid_rf3bal,sensitivity,all_valid,primary,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,baseline,raw,0.3801581237355842,0.05100706481428068,0.35978014614560233,0.40225960665206556,0.045229778794109554,0.0572295697398173,1103,14656,24087,15759
sens_allvalid_rf3bal,sensitivity,all_valid,primary,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,baseline,zscore,0.45661680430901036,0.06336034730030535,0.4323098927172732,0.48353860828459244,0.05529517672854308,0.07271363173289294,1103,14656,24087,15759
sens_allvalid_rf3bal,sensitivity,all_valid,primary,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,baseline,coral_after_regionwise_zscore,0.4528992114598139,0.06063440704662641,0.42942140393523703,0.47612831717954807,0.053589977283746495,0.06900894546132275,1103,14656,24087,15759
sens_allvalid_rf3bal,sensitivity,all_valid,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,thermal,raw,0.4944238926805251,0.032885854678329385,0.46522611386371815,0.525830193470956,0.027780633517589314,0.039221277700679395,796,23291,15759,24087
sens_allvalid_rf3bal,sensitivity,all_valid,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,thermal,zscore,0.59068433166649,0.04844138100552169,0.5531111832029676,0.6277869682470466,0.0401489237190685,0.059161591615309005,796,23291,15759,24087
sens_allvalid_rf3bal,sensitivity,all_valid,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,thermal,coral_after_regionwise_zscore,0.6066463225060083,0.04193865730031661,0.5813339289529104,0.6341818102214153,0.03639498182296649,0.04917094931956018,796,23291,15759,24087
sens_allvalid_rf3bal,sensitivity,all_valid,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,raw,0.49283588955036656,0.032462039944827145,0.4615596805290144,0.5274666175208418,0.02761604290317041,0.03859652415147472,796,23291,15759,24087
sens_allvalid_rf3bal,sensitivity,all_valid,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,zscore,0.5420489377461348,0.03687180539822989,0.5105154162364971,0.5746289031762198,0.03111368516143394,0.04410040251377326,796,23291,15759,24087
sens_allvalid_rf3bal,sensitivity,all_valid,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,coral_after_regionwise_zscore,0.5135456812636451,0.03328559840181251,0.4837362952988861,0.5457277262049078,0.0283929266292853,0.03942898058996145,796,23291,15759,24087
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,raw,0.38561032931227657,0.05151905101861905,0.36337075589631246,0.41207101993985634,0.0455775831528995,0.05761418438684248,1103,14656,24087,15759
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,zscore,0.5574776277579605,0.09091500370618334,0.5308528748004905,0.5854739634566094,0.07642967685973041,0.10808932316017653,1103,14656,24087,15759
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,coral_after_regionwise_zscore,0.5506758871695693,0.07776537772328387,0.5247098046623474,0.5767528573932493,0.06730915966728036,0.0892045940071419,1103,14656,24087,15759
