population,region,block_size_cells,block_km,n_blocks,baseline_roc_auc,thermal_roc_auc,delta_auc,delta_auc_ci_lo,delta_auc_ci_hi,delta_auc_verdict,baseline_pr_auc,thermal_pr_auc,delta_pr_auc,delta_pr_auc_ci_lo,delta_pr_auc_ci_hi,delta_pr_auc_verdict
burnable_tree_shrub_grass,manavgat_2021,2,~1km,5439,0.8027,0.8697,0.0669,0.0552,0.078,positive_bootstrap_support,0.1191,0.2157,0.0966,0.0702,0.1253,positive_bootstrap_support
burnable_tree_shrub_grass,manavgat_2021,10,~5km,237,0.7473,0.7977,0.0504,0.0225,0.078,positive_bootstrap_support,0.0843,0.1357,0.0515,0.0152,0.1003,positive_bootstrap_support
burnable_tree_shrub_grass,manavgat_2021,20,~10km,60,0.6824,0.7314,0.049,0.0151,0.0858,positive_bootstrap_support,0.0622,0.0866,0.0245,0.0048,0.0526,positive_bootstrap_support
burnable_tree_shrub_grass,bejis_2022,2,~1km,3967,0.8615,0.9178,0.0562,0.0477,0.0649,positive_bootstrap_support,0.3032,0.4978,0.1946,0.1541,0.2312,positive_bootstrap_support
burnable_tree_shrub_grass,bejis_2022,10,~5km,176,0.7789,0.8247,0.0458,0.0194,0.0685,positive_bootstrap_support,0.19,0.297,0.107,0.0403,0.1928,positive_bootstrap_support
burnable_tree_shrub_grass,bejis_2022,20,~10km,48,0.7384,0.7951,0.0567,0.0309,0.09,positive_bootstrap_support,0.1635,0.2473,0.0838,0.0225,0.1613,positive_bootstrap_support
all_valid,manavgat_2021,2,~1km,6070,0.8276,0.8867,0.0591,0.0496,0.0684,positive_bootstrap_support,0.1226,0.2221,0.0995,0.0732,0.1278,positive_bootstrap_support
all_valid,manavgat_2021,10,~5km,252,0.7705,0.8236,0.0531,0.0321,0.0758,positive_bootstrap_support,0.0819,0.1309,0.0491,0.0148,0.0927,positive_bootstrap_support
all_valid,manavgat_2021,20,~10km,63,0.7186,0.7629,0.0442,0.0144,0.0773,positive_bootstrap_support,0.0682,0.0943,0.026,0.0007,0.0557,positive_bootstrap_support
all_valid,bejis_2022,2,~1km,4004,0.8689,0.917,0.0481,0.0397,0.0569,positive_bootstrap_support,0.309,0.4869,0.1778,0.1421,0.2119,positive_bootstrap_support
all_valid,bejis_2022,10,~5km,176,0.7901,0.8464,0.0563,0.0332,0.0795,positive_bootstrap_support,0.2022,0.337,0.1348,0.0603,0.2299,positive_bootstrap_support
all_valid,bejis_2022,20,~10km,48,0.7158,0.7767,0.0608,0.039,0.0867,positive_bootstrap_support,0.1701,0.2463,0.0762,0.0137,0.1557,positive_bootstrap_support
