source_frame,target_frame,direction,thermal,thermal_ci_lo,thermal_ci_hi,ci_above_0.5,ci_below_0.5,baseline,delta
full,full,manavgat_2021_to_bejis_2022,0.3413912833086006,0.27650649883420564,0.4051381835107181,False,True,0.33218736692689854,0.009203916381702038
full,full,manavgat_2021_to_mugla_2021,0.4577331207154727,0.40270962979071556,0.5130408849955768,False,False,0.5079294228039585,-0.0501963020884858
full,full,manavgat_2021_to_evia_2021_extended,0.6042886042509196,0.5471129877638763,0.6529440068476617,True,False,0.5938705512868914,0.010418052964028202
full,full,manavgat_2021_to_montiferru_2021,0.547021129921023,0.4259494832112405,0.6841251580934343,False,False,0.5779257792439125,-0.0309046493228895
full,full,bejis_2022_to_manavgat_2021,0.43979141816406186,0.3488032512600515,0.5527978465624532,False,False,0.42090795739393744,0.018883460770124427
full,full,bejis_2022_to_mugla_2021,0.6184747489978262,0.5600761123583605,0.6770794607106676,True,False,0.592238995291672,0.026235753706154163
full,full,bejis_2022_to_evia_2021_extended,0.38282143313044736,0.329498876514834,0.4328238614097164,False,True,0.5304606875491711,-0.14763925441872372
full,full,bejis_2022_to_montiferru_2021,0.5937253341599618,0.4804456215234651,0.6941508256126365,False,False,0.5530362405674126,0.04068909359254913
full,full,mugla_2021_to_manavgat_2021,0.3961796636330813,0.3487502603615245,0.4496114827948535,False,True,0.52151982986128,-0.12534016622819866
full,full,mugla_2021_to_bejis_2022,0.5831912381443964,0.5338372319094373,0.6332961569619383,True,False,0.4507383379572875,0.13245290018710892
full,full,mugla_2021_to_evia_2021_extended,0.6534051763551312,0.5942115301036296,0.7104878692514971,True,False,0.5997551855443022,0.053649990810828996
full,full,mugla_2021_to_montiferru_2021,0.5312433202707516,0.45340091099351115,0.6065585055554409,False,False,0.6105251713018012,-0.07928185103104957
full,full,evia_2021_extended_to_manavgat_2021,0.6786863906610954,0.5793756164631887,0.7529507658066835,True,False,0.6757598037187198,0.0029265869423755753
full,full,evia_2021_extended_to_bejis_2022,0.4480079359958707,0.3919931590289948,0.49746733971310114,False,True,0.3917341118781857,0.056273824117685
full,full,evia_2021_extended_to_mugla_2021,0.576836486299561,0.5152856244144053,0.631117262910614,True,False,0.5125008330596732,0.06433565323988777
full,full,evia_2021_extended_to_montiferru_2021,0.6467042042389389,0.5518237582209508,0.7460294560468558,True,False,0.5494242131221113,0.09727999111682761
full,full,montiferru_2021_to_manavgat_2021,0.5649868795797327,0.4907679311646038,0.6468930135767246,False,False,0.5018395227508553,0.0631473568288774
full,full,montiferru_2021_to_bejis_2022,0.5483011162010453,0.48105455034341077,0.6264597525846844,False,False,0.6126268146332021,-0.06432569843215685
full,full,montiferru_2021_to_mugla_2021,0.6193519007685069,0.5674150798193466,0.670434180925905,True,False,0.6512032443571474,-0.0318513435886405
full,full,montiferru_2021_to_evia_2021_extended,0.5861929535806533,0.5154164670817092,0.6549902475879068,True,False,0.5564241415820402,0.02976881199861303
full,10km,manavgat_2021_to_bejis_2022,0.4240178950132294,0.3481629385081032,0.5050860969395973,False,False,0.41660954131405137,0.0074083536991780274
full,10km,manavgat_2021_to_mugla_2021,0.4750647543690416,0.41370951444561893,0.5267328925500759,False,False,0.5140212743760947,-0.038956520007053075
full,10km,manavgat_2021_to_evia_2021_extended,0.6251603531101195,0.5624788707321741,0.6839657245177528,True,False,0.6661281608711515,-0.04096780776103193
full,10km,manavgat_2021_to_montiferru_2021,0.5523992738607953,0.4294087828198548,0.6902209357057422,False,False,0.5801187536195225,-0.027719479758727128
full,10km,bejis_2022_to_manavgat_2021,0.5138669771458321,0.420530983587944,0.6195375591452413,False,False,0.5061460861169951,0.007720891028836996
full,10km,bejis_2022_to_mugla_2021,0.6134536666697685,0.5563106068227456,0.6771905206567062,True,False,0.5985140530487092,0.014939613621059333
full,10km,bejis_2022_to_evia_2021_extended,0.41227961314117856,0.3533995300817829,0.47061842943466725,False,True,0.5820957493708662,-0.1698161362296876
full,10km,bejis_2022_to_montiferru_2021,0.5894441649731976,0.471920044806931,0.6921888490991424,False,False,0.5508577971051428,0.038586367868054805
full,10km,mugla_2021_to_manavgat_2021,0.523164566812013,0.4743013199462614,0.5764657733586295,False,False,0.6038954622205206,-0.08073089540850764
full,10km,mugla_2021_to_bejis_2022,0.6000490800024237,0.5352395431748979,0.6589857405042413,True,False,0.48981721233665243,0.11023186766577131
full,10km,mugla_2021_to_evia_2021_extended,0.7197799434948968,0.6491036082902593,0.7861257475951907,True,False,0.676910993937863,0.0428689495570338
full,10km,mugla_2021_to_montiferru_2021,0.5283404447935458,0.45140211175555733,0.6034496006719321,False,False,0.608451115407255,-0.08011067061370925
full,10km,evia_2021_extended_to_manavgat_2021,0.6368101330152793,0.5368043936676337,0.7196515950802788,True,False,0.6059459365471117,0.030864196468167626
full,10km,evia_2021_extended_to_bejis_2022,0.5159685726404234,0.4539487015766331,0.573568726884117,False,False,0.4647243036900891,0.05124426895033429
full,10km,evia_2021_extended_to_mugla_2021,0.5730972998725343,0.5131445480652238,0.6300653444935018,True,False,0.5079609850418078,0.06513631483072657
full,10km,evia_2021_extended_to_montiferru_2021,0.6407084897236467,0.5461916719825962,0.7392714842897309,True,False,0.547201425652037,0.09350706407160969
full,10km,montiferru_2021_to_manavgat_2021,0.6554431868576828,0.5796741822771379,0.7319553417449165,True,False,0.5893723952666503,0.06607079159103246
full,10km,montiferru_2021_to_bejis_2022,0.6125059077780695,0.5333533883636786,0.6883246722226455,True,False,0.660898285229545,-0.04839237745147551
full,10km,montiferru_2021_to_mugla_2021,0.6035083440204856,0.5489685748715034,0.6546928227944762,True,False,0.6316936593403146,-0.02818531531982904
full,10km,montiferru_2021_to_evia_2021_extended,0.7122160127417136,0.6355443130959404,0.7793545680973112,True,False,0.6607822045176017,0.05143380822411192
10km,full,manavgat_2021_to_bejis_2022,0.3233472482095619,0.2586101053378756,0.39247988935094896,False,True,0.3218593780243887,0.0014878701851732123
10km,full,manavgat_2021_to_mugla_2021,0.5472975774284,0.4916941500493509,0.5999513401860287,False,False,0.5761386940132242,-0.028841116584824134
10km,full,manavgat_2021_to_evia_2021_extended,0.6441681072842514,0.5862149535342193,0.6995321751357434,True,False,0.6040289139757786,0.04013919330847282
10km,full,manavgat_2021_to_montiferru_2021,0.6106024363950976,0.5143985444062603,0.7093822047175048,True,False,0.6024946909164935,0.008107745478604045
10km,full,bejis_2022_to_manavgat_2021,0.5528709227899605,0.4548711254417571,0.6703081782155946,False,False,0.44706865422196657,0.10580226856799396
10km,full,bejis_2022_to_mugla_2021,0.6334709425644436,0.5771352526162427,0.6831540815794998,True,False,0.6229482097542091,0.010522732810234525
10km,full,bejis_2022_to_evia_2021_extended,0.5020726560144709,0.42849807206856266,0.5809326248816903,False,False,0.561916227351862,-0.059843571337391044
10km,full,bejis_2022_to_montiferru_2021,0.6732699790412652,0.5370127560974441,0.7810787172743899,True,False,0.6065226544029536,0.06674732463831157
10km,full,mugla_2021_to_manavgat_2021,0.38522509551293527,0.33030554292248265,0.4485889781517646,False,True,0.5583826372846498,-0.1731575417717145
10km,full,mugla_2021_to_bejis_2022,0.5918272791793018,0.5494644232697019,0.6328237769731875,True,False,0.543565359055423,0.048261920123878754
10km,full,mugla_2021_to_evia_2021_extended,0.6348587244163066,0.566705755004912,0.7023336503852959,True,False,0.579302150356567,0.05555657405973968
10km,full,mugla_2021_to_montiferru_2021,0.5524574463655333,0.4214808190031549,0.6678962349926032,False,False,0.5939224295476522,-0.041464983182118886
10km,full,evia_2021_extended_to_manavgat_2021,0.627160388538241,0.5404130638462648,0.7059670751590836,True,False,0.6975299897167768,-0.07036960117853586
10km,full,evia_2021_extended_to_bejis_2022,0.43807890831666557,0.3860712245601918,0.4843917226686033,False,True,0.3775742951158139,0.060504613200851654
10km,full,evia_2021_extended_to_mugla_2021,0.6338888418445359,0.5752360979304645,0.6862547583163349,True,False,0.5230126943913941,0.11087614745314178
10km,full,evia_2021_extended_to_montiferru_2021,0.7148131526471391,0.5987934412867465,0.8180732337772945,True,False,0.5929022527170016,0.12191089993013748
10km,full,montiferru_2021_to_manavgat_2021,0.5631245325219864,0.4895746301653537,0.6483510393849375,False,False,0.5027227846326852,0.060401747889301194
