direction,baseline_roc,baseline_ci_low,baseline_ci_high,thermal_roc,thermal_ci_low,thermal_ci_high,delta_roc,delta_ci_low,delta_ci_high,delta_interpretation
manavgat_2021_to_bejis_2022,0.3322,0.3115,0.3553,0.3258,0.3043,0.3477,-0.0064,-0.0235,0.0097,uncertain
manavgat_2021_to_mugla_2021,0.5079,0.4895,0.5255,0.4702,0.4542,0.4861,-0.0378,-0.0512,-0.0244,negative_bootstrap_support
manavgat_2021_to_evia_2021_extended,0.5939,0.5747,0.6142,0.6126,0.5930,0.6328,0.0187,0.0027,0.0344,positive_bootstrap_support
manavgat_2021_to_montiferru_2021,0.5779,0.5399,0.6204,0.5333,0.4874,0.5782,-0.0447,-0.0775,-0.0102,negative_bootstrap_support
bejis_2022_to_manavgat_2021,0.4209,0.3851,0.4568,0.4435,0.4095,0.4772,0.0226,-0.0004,0.0438,uncertain
bejis_2022_to_mugla_2021,0.5922,0.5749,0.6088,0.6185,0.6019,0.6339,0.0262,0.0140,0.0384,positive_bootstrap_support
bejis_2022_to_evia_2021_extended,0.5305,0.5129,0.5491,0.3828,0.3640,0.4029,-0.1476,-0.1682,-0.1263,negative_bootstrap_support
bejis_2022_to_montiferru_2021,0.5530,0.5156,0.5908,0.5937,0.5582,0.6301,0.0407,0.0054,0.0730,positive_bootstrap_support
mugla_2021_to_manavgat_2021,0.5215,0.4955,0.5484,0.4010,0.3761,0.4255,-0.1205,-0.1458,-0.0978,negative_bootstrap_support
mugla_2021_to_bejis_2022,0.4507,0.4267,0.4771,0.5832,0.5587,0.6053,0.1325,0.1048,0.1583,positive_bootstrap_support
mugla_2021_to_evia_2021_extended,0.5998,0.5819,0.6189,0.6534,0.6336,0.6722,0.0536,0.0388,0.0674,positive_bootstrap_support
mugla_2021_to_montiferru_2021,0.6105,0.5716,0.6512,0.5312,0.4979,0.5669,-0.0793,-0.1168,-0.0374,negative_bootstrap_support
evia_2021_extended_to_manavgat_2021,0.6758,0.6409,0.7100,0.6858,0.6515,0.7171,0.0100,-0.0120,0.0321,uncertain
evia_2021_extended_to_bejis_2022,0.3917,0.3678,0.4145,0.4480,0.4266,0.4685,0.0563,0.0371,0.0772,positive_bootstrap_support
evia_2021_extended_to_mugla_2021,0.5125,0.4927,0.5305,0.5768,0.5598,0.5941,0.0643,0.0444,0.0829,positive_bootstrap_support
evia_2021_extended_to_montiferru_2021,0.5494,0.5074,0.5884,0.6467,0.6090,0.6828,0.0973,0.0543,0.1385,positive_bootstrap_support
montiferru_2021_to_manavgat_2021,0.5018,0.4710,0.5331,0.5670,0.5398,0.5955,0.0652,0.0408,0.0913,positive_bootstrap_support
montiferru_2021_to_bejis_2022,0.6126,0.5866,0.6373,0.5483,0.5210,0.5781,-0.0643,-0.0823,-0.0440,negative_bootstrap_support
montiferru_2021_to_mugla_2021,0.6512,0.6341,0.6680,0.6194,0.6031,0.6346,-0.0319,-0.0476,-0.0170,negative_bootstrap_support
montiferru_2021_to_evia_2021_extended,0.5564,0.5349,0.5757,0.5862,0.5646,0.6065,0.0298,0.0132,0.0457,positive_bootstrap_support
