source_frame,target_frame,direction,thermal,baseline,delta
full,full,manavgat_2021_to_bejis_2022,0.3258336344280276,0.33218736692689854,-0.006353732498870945
full,full,manavgat_2021_to_mugla_2021,0.47015987108700774,0.5079294316533509,-0.037769560566343174
full,full,manavgat_2021_to_evia_2021_extended,0.6125620551965896,0.5938705512868914,0.018691503909698204
full,full,manavgat_2021_to_montiferru_2021,0.5332600780053577,0.5779262419091418,-0.044666163903784084
full,full,bejis_2022_to_manavgat_2021,0.44352842964630473,0.42090798972298404,0.02262043992332069
full,full,bejis_2022_to_mugla_2021,0.6184747489978262,0.5922390218398491,0.026235727157977062
full,full,bejis_2022_to_evia_2021_extended,0.38282143313044736,0.5304606592573883,-0.14763922612694091
full,full,bejis_2022_to_montiferru_2021,0.5937253341599618,0.553036703232642,0.04068863092731978
full,full,mugla_2021_to_manavgat_2021,0.40099966584697444,0.52151982986128,-0.12052016401430554
full,full,mugla_2021_to_bejis_2022,0.5831912381443964,0.4507383379572875,0.13245290018710892
full,full,mugla_2021_to_evia_2021_extended,0.6534051763551312,0.5997551855443022,0.053649990810828996
full,full,mugla_2021_to_montiferru_2021,0.5312433202707516,0.6105251713018012,-0.07928185103104957
full,full,evia_2021_extended_to_manavgat_2021,0.6857777670301659,0.6757598037187197,0.01001796331144622
full,full,evia_2021_extended_to_bejis_2022,0.4480079359958707,0.3917341118781857,0.056273824117685
full,full,evia_2021_extended_to_mugla_2021,0.576836486299561,0.5125008330596732,0.06433565323988777
full,full,evia_2021_extended_to_montiferru_2021,0.6467042042389389,0.5494242131221113,0.09727999111682761
full,full,montiferru_2021_to_manavgat_2021,0.5670426836522615,0.5018395227508552,0.06520316090140632
full,full,montiferru_2021_to_bejis_2022,0.5483011162010453,0.6126267823730563,-0.06432566617201108
full,full,montiferru_2021_to_mugla_2021,0.6193519007685069,0.6512032487818435,-0.03185134801333667
full,full,montiferru_2021_to_evia_2021_extended,0.5861929535806533,0.5564241415820402,0.02976881199861303
full,10km,manavgat_2021_to_bejis_2022,0.4074251176506231,0.41660954131405137,-0.009184423663428254
full,10km,manavgat_2021_to_mugla_2021,0.48828957828246566,0.5140212743760947,-0.02573169609362902
full,10km,manavgat_2021_to_evia_2021_extended,0.6469132684085955,0.6661281608711515,-0.01921489246255592
full,10km,manavgat_2021_to_montiferru_2021,0.5386462772052579,0.5801187536195225,-0.04147247641426455
full,10km,bejis_2022_to_manavgat_2021,0.5173155373635485,0.5061465165091545,0.011169020854393974
full,10km,bejis_2022_to_mugla_2021,0.6134536666697685,0.5985139876694231,0.01493967900034543
full,10km,bejis_2022_to_evia_2021_extended,0.41227961314117856,0.5820964071548185,-0.16981679401363992
full,10km,bejis_2022_to_montiferru_2021,0.5894441649731976,0.5508582725760729,0.03858589239712473
