direction,model_family,lambda,roc_auc,pr_auc,cond_Cs,cond_Ct
bejis_2022_to_mugla_2021,baseline,0.1,0.5636362238159645,0.08231608937545817,2.870509836293286,2.000432797154826
bejis_2022_to_mugla_2021,baseline,1.0,0.5740329943753528,0.08303529385382927,1.7205749950470977,1.4630998556699024
bejis_2022_to_mugla_2021,thermal,0.1,0.5079074276392488,0.06887049373210105,48.869564073011446,50.399433776251676
bejis_2022_to_mugla_2021,thermal,1.0,0.5103652844213731,0.06838285833971851,6.092816903354437,6.015979517267092
mugla_2021_to_bejis_2022,baseline,0.1,0.5962815988128267,0.0909767735629945,2.000432797154826,2.870509836293286
mugla_2021_to_bejis_2022,baseline,1.0,0.5968085037744371,0.09119817410304323,1.4630998556699024,1.7205749950470977
mugla_2021_to_bejis_2022,thermal,0.1,0.5642204335763598,0.07929946194564436,50.399433776251676,48.869564073011446
mugla_2021_to_bejis_2022,thermal,1.0,0.5593597651461385,0.07735048619144985,6.015979517267092,6.092816903354437
manavgat_2021_to_mugla_2021,baseline,0.1,0.47925459072626686,0.0679014574568606,2.8804957243799696,2.000432797154826
manavgat_2021_to_mugla_2021,baseline,1.0,0.4713367827497804,0.0658270082800497,1.6943538322276896,1.4630998556699024
manavgat_2021_to_mugla_2021,thermal,0.1,0.4449464921048508,0.06412315366032026,50.404431584130904,50.399433776251676
manavgat_2021_to_mugla_2021,thermal,1.0,0.44404183642271666,0.06443353221818532,6.071587617782036,6.015979517267092
mugla_2021_to_manavgat_2021,baseline,0.1,0.601109836771937,0.047843111364847105,2.000432797154826,2.8804957243799696
mugla_2021_to_manavgat_2021,baseline,1.0,0.5970974141418113,0.047799259711972866,1.4630998556699024,1.6943538322276896
mugla_2021_to_manavgat_2021,thermal,0.1,0.5585543691801251,0.04418497580478886,50.399433776251676,50.404431584130904
mugla_2021_to_manavgat_2021,thermal,1.0,0.5744752284499748,0.04577108987423385,6.015979517267092,6.071587617782036
