gate rc=0 10:19:55
step8a-e rc=0 10:25:37
bigblock rc=0 10:26:25
largeblock rc=0 10:30:30
step9a-d manavgat_2021__bejis_2022 rc=0 10:32:55
step9e manavgat_2021__bejis_2022 rc=0 10:32:59
step10 manavgat_2021__bejis_2022 rc=0 10:34:44
step9a-d manavgat_2021__mugla_2021 rc=0 10:40:10
step9e manavgat_2021__mugla_2021 rc=0 10:40:14
step10 manavgat_2021__mugla_2021 rc=0 10:43:07
step9a-d manavgat_2021__evia_2021_extended rc=0 10:45:47
step9e manavgat_2021__evia_2021_extended rc=0 10:45:51
step10 manavgat_2021__evia_2021_extended rc=0 10:47:24
step9a-d mugla_2021__manavgat_2021 rc=0 10:52:38
step9e mugla_2021__manavgat_2021 rc=0 10:52:42
step10 mugla_2021__manavgat_2021 rc=0 10:55:34
step9a-d montiferru_2021__manavgat_2021 rc=0 10:57:26
step9e montiferru_2021__manavgat_2021 rc=0 10:57:29
step10 montiferru_2021__manavgat_2021 rc=0 10:58:48
step9a-d manavgat_2021__evia_2021 rc=0 11:00:46
step9e manavgat_2021__evia_2021 rc=0 11:00:49
step10 manavgat_2021__evia_2021 rc=0 11:02:11
TREE_DONE rc=0 11:02:12
