step6_label rc=0 10:20:09
gate rc=0 10:20:12
step8a-e rc=0 10:27:10
bigblock rc=0 10:28:09
largeblock rc=0 10:32:09
step9a-d manavgat_2021__bejis_2022 rc=0 10:34:44
step9e manavgat_2021__bejis_2022 rc=0 10:34:47
step10 manavgat_2021__bejis_2022 rc=0 10:36:50
step9a-d manavgat_2021__mugla_2021 rc=0 10:42:03
step9e manavgat_2021__mugla_2021 rc=0 10:42:07
step10 manavgat_2021__mugla_2021 rc=0 10:45:14
step9a-d manavgat_2021__evia_2021_extended rc=0 10:47:50
step9e manavgat_2021__evia_2021_extended rc=0 10:47:53
step10 manavgat_2021__evia_2021_extended rc=0 10:49:37
step9a-d mugla_2021__manavgat_2021 rc=0 10:54:37
step9e mugla_2021__manavgat_2021 rc=0 10:54:42
step10 mugla_2021__manavgat_2021 rc=0 10:57:39
step9a-d montiferru_2021__manavgat_2021 rc=0 10:59:40
step9e montiferru_2021__manavgat_2021 rc=0 10:59:43
step10 montiferru_2021__manavgat_2021 rc=0 11:00:58
step9a-d manavgat_2021__evia_2021 rc=0 11:02:49
step9e manavgat_2021__evia_2021 rc=0 11:02:52
step10 manavgat_2021__evia_2021 rc=0 11:03:57
TREE_DONE rc=0 11:03:57
