frame,direction,n_supported_both,agree_fraction_supported,cosine_9,transfer
full,manavgat_2021_to_bejis_2022,1,0.0,-0.261265705678193,0.3258
full,manavgat_2021_to_mugla_2021,2,0.5,-0.21260871947993118,0.4702
full,manavgat_2021_to_evia_2021_extended,1,1.0,-0.1904456809619268,0.6126
full,manavgat_2021_to_montiferru_2021,0,,-0.13569875443574245,0.5333
full,bejis_2022_to_manavgat_2021,1,0.0,-0.261265705678193,0.4435
full,bejis_2022_to_mugla_2021,1,1.0,0.47816000258534147,0.6185
full,bejis_2022_to_evia_2021_extended,1,0.0,0.1250022073317287,0.3828
full,bejis_2022_to_montiferru_2021,0,,0.4868821436161877,0.5937
full,mugla_2021_to_manavgat_2021,2,0.5,-0.21260871947993118,0.401
full,mugla_2021_to_bejis_2022,1,1.0,0.47816000258534147,0.5832
full,mugla_2021_to_evia_2021_extended,5,1.0,0.8084333027484629,0.6534
full,mugla_2021_to_montiferru_2021,1,1.0,0.898775890556504,0.5312
full,evia_2021_extended_to_manavgat_2021,1,1.0,-0.1904456809619268,0.6858
full,evia_2021_extended_to_bejis_2022,1,0.0,0.1250022073317287,0.448
full,evia_2021_extended_to_mugla_2021,5,1.0,0.8084333027484629,0.5768
full,evia_2021_extended_to_montiferru_2021,0,,0.5411650209811909,0.6467
full,montiferru_2021_to_manavgat_2021,0,,-0.13569875443574245,0.567
full,montiferru_2021_to_bejis_2022,0,,0.4868821436161877,0.5483
full,montiferru_2021_to_mugla_2021,1,1.0,0.898775890556504,0.6194
full,montiferru_2021_to_evia_2021_extended,0,,0.5411650209811909,0.5862
collar10,manavgat_2021_to_bejis_2022,4,1.0,0.9172641673434666,0.4169639070105633
collar10,manavgat_2021_to_mugla_2021,5,1.0,0.9499922862672555,0.5513080074174108
collar10,manavgat_2021_to_evia_2021_extended,5,1.0,0.9200136593741648,0.7264413946656937
collar10,manavgat_2021_to_montiferru_2021,0,,0.9439673363765845,0.6115259859127473
collar10,bejis_2022_to_manavgat_2021,4,1.0,0.9172641673434666,0.6011833029878169
collar10,bejis_2022_to_mugla_2021,5,1.0,0.859876382564765,0.6317058307840678
collar10,bejis_2022_to_evia_2021_extended,5,1.0,0.7634877696334366,0.6020573727933541
collar10,bejis_2022_to_montiferru_2021,1,1.0,0.9249854574762992,0.6694017339473882
collar10,mugla_2021_to_manavgat_2021,5,1.0,0.9499922862672555,0.5103092694764503
collar10,mugla_2021_to_bejis_2022,5,1.0,0.859876382564765,0.6123194845589869
collar10,mugla_2021_to_evia_2021_extended,7,1.0,0.9721738814165038,0.7267593235759123
collar10,mugla_2021_to_montiferru_2021,1,1.0,0.8715798682755564,0.5459528389893771
collar10,evia_2021_extended_to_manavgat_2021,5,1.0,0.9200136593741648,0.6784731270021843
collar10,evia_2021_extended_to_bejis_2022,5,1.0,0.7634877696334366,0.5207648805315991
collar10,evia_2021_extended_to_mugla_2021,7,1.0,0.9721738814165038,0.6379904037591522
collar10,evia_2021_extended_to_montiferru_2021,1,1.0,0.8146888549771129,0.7099218420884966
collar10,montiferru_2021_to_manavgat_2021,0,,0.9439673363765845,0.6540667927313994
collar10,montiferru_2021_to_bejis_2022,1,1.0,0.9249854574762992,0.6240372846438166
collar10,montiferru_2021_to_mugla_2021,1,1.0,0.8715798682755564,0.6013751159855776
collar10,montiferru_2021_to_evia_2021_extended,1,1.0,0.8146888549771129,0.7000579726923184
