region,k,band,positives,negatives,auc,ci_lo,ci_hi,boot_used
manavgat_2021,0,all,784,19727,0.797429847262066,0.7376477521885416,0.8508178369043737,1000.0
manavgat_2021,0,0-0.5,784,126,0.5615990443796566,0.473290828849007,0.6514621705451531,1000.0
manavgat_2021,0,0.5-1,784,372,0.5952706687513716,0.5057279315818294,0.6745488408134037,1000.0
manavgat_2021,0,1-2,784,761,0.6331877363297487,0.5350909011639551,0.7195213217569898,1000.0
manavgat_2021,0,2-5,784,2573,0.6940421329822252,0.6075205678263467,0.7720453396265314,1000.0
manavgat_2021,0,5-10,784,3371,0.7911300013924287,0.7116664877288714,0.8619028399522626,1000.0
manavgat_2021,0,10-inf,784,12524,0.8387233246859906,0.7784895809009178,0.8903331379465151,1000.0
manavgat_2021,1,all,543,19370,0.825787109796528,0.7589216903100934,0.8838412055328697,1000.0
manavgat_2021,1,0-0.5,543,0,,,,
manavgat_2021,1,0.5-1,543,154,0.6087991198488436,0.48748888263144025,0.7172861914053332,1000.0
manavgat_2021,1,1-2,543,754,0.6640385714495068,0.5375466338430059,0.7624386807582252,1000.0
manavgat_2021,1,2-5,543,2567,0.7229440676786612,0.6208428621820319,0.8086027523898824,1000.0
manavgat_2021,1,5-10,543,3371,0.8181925457796514,0.7303188941488425,0.8913890397189101,1000.0
manavgat_2021,1,10-inf,543,12524,0.8613168058028401,0.7990332971354076,0.9157566307533703,1000.0
manavgat_2021,2,all,407,18962,0.8483225989027066,0.7818690199189532,0.8996613641785278,1000.0
manavgat_2021,2,0-0.5,407,0,,,,
manavgat_2021,2,0.5-1,407,0,,,,
manavgat_2021,2,1-2,407,518,0.7023232428637833,0.5744773346633446,0.7962446482746485,1000.0
manavgat_2021,2,2-5,407,2549,0.747967840160857,0.6434210748406449,0.8280720110181922,1000.0
manavgat_2021,2,5-10,407,3371,0.8396264714864536,0.7516540406331861,0.9042854369423371,1000.0
manavgat_2021,2,10-inf,407,12524,0.8771270217693085,0.811772356255769,0.9220562543690612,1000.0
bejis_2022,0,all,1100,14090,0.8244685786179753,0.764593967919069,0.8837889809696836,1000.0
bejis_2022,0,0-0.5,1100,93,0.5512023460410558,0.45241949130127374,0.6583426930810996,1000.0
bejis_2022,0,0.5-1,1100,207,0.5585331576635924,0.47000037635652264,0.6541111248158454,1000.0
bejis_2022,0,1-2,1100,367,0.5990525142432499,0.5035428602567168,0.6905749577574191,1000.0
bejis_2022,0,2-5,1100,1216,0.66667052930622,0.5577174365520818,0.7763898953180663,1000.0
bejis_2022,0,5-10,1100,2654,0.8062331300952251,0.7173317777930981,0.8852500230722975,1000.0
bejis_2022,0,10-inf,1100,9553,0.8667034153954493,0.8121586897675211,0.9161517678515334,1000.0
bejis_2022,1,all,891,13883,0.8378999968714007,0.7801037004883641,0.8954695745755407,1000.0
bejis_2022,1,0-0.5,891,0,,,,
bejis_2022,1,0.5-1,891,93,0.5592725341829285,0.43137527796132175,0.6949704188895657,1000.0
bejis_2022,1,1-2,891,367,0.6131172457239669,0.511866825040154,0.7113586800212274,1000.0
bejis_2022,1,2-5,891,1216,0.6802874320692303,0.5695777711748609,0.7916826389554945,1000.0
bejis_2022,1,5-10,891,2654,0.8159711914421786,0.727604669502394,0.8921084743051353,1000.0
bejis_2022,1,10-inf,891,9553,0.8754027239843214,0.8194363074329671,0.9247935194701707,1000.0
bejis_2022,2,all,693,13700,0.8347599035190276,0.7754628473590253,0.890905004008373,1000.0
bejis_2022,2,0-0.5,693,0,,,,
bejis_2022,2,0.5-1,693,0,,,,
bejis_2022,2,1-2,693,277,0.6062846098947182,0.5009906243685102,0.7144523216422725,1000.0
bejis_2022,2,2-5,693,1216,0.67022670312144,0.564668747680361,0.7830755943336617,1000.0
