region,scar,k,A,B,A_minus_B,B_pos,B_neg
manavgat_2021,1,0,0.797429847262066,0.5893062864922891,0.2081235607697769,696,439
manavgat_2021,1,1,0.825787109796528,0.6278915787295676,0.19789553106696045,537,270
manavgat_2021,1,2,0.8483225989027066,0.6933702227819875,0.1549523761207191,407,119
bejis_2022,1,0,0.8244685786179753,0.5748131222457973,0.249655456372178,1100,557
bejis_2022,1,1,0.8378999968714007,0.5967227833894502,0.24117721348195054,891,350
bejis_2022,1,2,0.8347599035190276,0.6041596460758137,0.23060025744321389,693,167
mugla_2021,6,0,0.7773268638729566,0.5640261338770639,0.21330072999589267,914,352
mugla_2021,1,0,0.7773268638729566,0.6539734567306148,0.12335340714234178,738,506
mugla_2021,10,0,0.7773268638729566,0.6734775578535814,0.10384930601937514,639,301
mugla_2021,8,0,0.7773268638729566,0.7608859803674805,0.016440883505476123,548,406
mugla_2021,6,1,0.8137645613153668,0.5630069631945431,0.25075759812082365,775,227
mugla_2021,1,1,0.8137645613153668,0.6995187091389622,0.1142458521764046,553,325
mugla_2021,10,1,0.8137645613153668,0.7547885595269089,0.058976001788457855,483,167
mugla_2021,8,1,0.8137645613153668,0.8225916689757089,-0.008827107660342115,401,270
mugla_2021,6,2,0.8385365937507384,0.5860868231323823,0.25244977061835616,615,106
mugla_2021,1,2,0.8385365937507384,0.7337497527852858,0.10478684096545265,394,154
mugla_2021,10,2,0.8385365937507384,0.8203396851698427,0.018196908580895732,340,71
mugla_2021,8,2,0.8385365937507384,0.8717695797987768,-0.03323298604803837,259,137
evia_2021_extended,1,0,0.8641886346702445,0.7450929238950607,0.11909571077518388,2653,406
evia_2021_extended,1,1,0.8843753293501535,0.7707878734980071,0.11358745585214636,2412,228
evia_2021_extended,1,2,0.8961542068044906,0.7833458602406189,0.11280834656387173,2103,93
montiferru_2021,1,0,0.7199006195087421,0.6215490577925425,0.09835156171619952,442,316
montiferru_2021,5,0,0.7199006195087421,0.4610541044776119,0.25884651503113015,67,128
montiferru_2021,1,1,0.7564534661049406,0.6495206920738835,0.10693277403105705,329,195
montiferru_2021,5,1,0.7564534661049406,0.5232974910394265,0.2331559750655141,31,81
montiferru_2021,1,2,0.7891478419711572,0.650883430295195,0.13826441167596215,221,84
montiferru_2021,5,2,0.7891478419711572,0.562200956937799,0.22694688503335814,11,38
