measure,label,family,computable,n_directions,n_pairs,rho_published,rho,ci_published,ci,valid_reps,p_boot,p_iid,p_boot_bh,p_iid_bh,p_boot_holm
regime_dist_log_effn,Regime distance |Δ log effective component count| (primary),P(y) spatial structure,True,20.0,10.0,0.2898,0.2898133842251048,"[-0.3787, 0.7388]","[-0.3604323203233605, 0.7276550202286124]",20000.0,0.3646,0.21518134088922686,0.9051691086996382,0.653129973956221,1.0
regime_dist_largest_share,Regime distance |Δ largest-component share| (secondary),P(y) spatial structure,True,20.0,10.0,0.2898,0.2898133842251048,"[-0.3895, 0.7224]","[-0.3604323203233605, 0.7276550202286124]",20000.0,0.3646,0.21518134088922686,0.9051691086996382,0.653129973956221,1.0
domain_classifier_auc,Domain-classifier AUC (marginal separability),P(x) marginal,True,20.0,10.0,-0.317,-0.31698338899620837,"[-0.7754, 0.3276]","[-0.7692378180769862, 0.30772872744833185]",20000.0,0.2858,0.17327988648927908,0.9051691086996382,0.653129973956221,1.0
target_mean_dissimilarity,"Predictor-space mean dissimilarity (Emrehan, weighted AoA)",P(x) marginal,True,12.0,6.0,-0.1049,-0.10489510489510491,"[-0.5865, 0.4565]","[-0.5714285714285714, 0.4360902255639097]",20000.0,0.7573,0.7456094809807079,0.9418411764705882,0.8573039590296179,1.0
target_p95_dissimilarity,Predictor-space p95 dissimilarity (Emrehan),P(x) marginal,True,12.0,6.0,-0.0839,-0.08391608391608392,"[-0.5797, 0.4662]","[-0.5797101449275363, 0.42446043165467634]",20000.0,0.8219,0.7954145018538978,0.9418411764705882,0.8573039590296179,1.0
fraction_inside_weighted_aoa,Fraction of target inside weighted AoA (Emrehan),P(x) marginal,True,12.0,6.0,0.2168,0.21678321678321683,"[-0.5, 0.6]","[-0.4822695035460993, 0.5869565217391305]",20000.0,0.5716,0.49855598552418845,0.9051691086996382,0.7286587480738139,1.0
climate_distance,"Climatic distance (Emrehan, TerraClimate)",P(x) marginal,True,12.0,6.0,0.0565,0.05654027941921756,"[-0.6994, 0.7926]","[-0.7159943757874091, 0.7926290870042668]",19997.0,0.92443866579987,0.8614492822031619,0.9747,0.8614492822031619,1.0
geographic_distance_km,Geographic centroid distance km (Emrehan),geographic,True,12.0,6.0,-0.2403,-0.24029618753167464,"[-0.8393, 0.7175]","[-0.8366600265340755, 0.7460038465922508]",19997.0,0.5716857528629294,0.45187256460572595,0.9051691086996382,0.7154648939590661,1.0
unweighted_fraction_inside_support,Fraction of target inside unweighted support (Emrehan),P(x) marginal,True,12.0,6.0,0.0769,0.07692307692307693,"[-0.9248, 0.6087]","[-0.9130434782608695, 0.60431654676259]",20000.0,0.9747,0.8121826980280591,0.9747,0.8573039590296179,1.0
agree_count_9,"Sign-agreement count, all 9 features",P(y|x) conditional,True,20.0,10.0,0.1785,0.1785232246486792,"[-0.4001, 0.7183]","[-0.42106037194308094, 0.721815130433245]",20000.0,0.6259,0.45141752593739043,0.9147769230769232,0.7154648939590661,1.0
