source,target,baseline,thermal,delta,delta_ci_B10,support_B10,delta_ci_B2,support_B2
manavgat_2021,bejis_2022,0.3333337141066731,0.32708972760563193,-0.006243986501041188,"[-0.04623040706162397, 0.027727765716830024]",uncertain_ci_overlaps_zero,"[-0.02242458240573246, 0.010373615764028673]",uncertain_ci_overlaps_zero
manavgat_2021,mugla_2021,0.5058076999280104,0.46681256886302164,-0.03899513106498881,"[-0.07910081290451457, -0.0012967883505147063]",negative_bootstrap_support,"[-0.051432846839249806, -0.025263782990222344]",negative_bootstrap_support
manavgat_2021,evia_2021_extended,0.5992781372029754,0.6168057752932623,0.0175276380902869,"[-0.02516598696603578, 0.060689390645386025]",uncertain_ci_overlaps_zero,"[0.001558209622935805, 0.03274558904471981]",positive_bootstrap_support
manavgat_2021,montiferru_2021,0.5712630549766633,0.5172501602128065,-0.054012894763856845,"[-0.12097320005174643, 0.020738076096124138]",uncertain_ci_overlaps_zero,"[-0.08751202513368679, -0.021129219351258315]",negative_bootstrap_support
bejis_2022,manavgat_2021,0.43164637350859647,0.4328215020230224,0.001175128514425916,"[-0.04899567776111236, 0.050413745102228215]",uncertain_ci_overlaps_zero,"[-0.019381110619578052, 0.022601124607219983]",uncertain_ci_overlaps_zero
bejis_2022,mugla_2021,0.596627045495092,0.6189712929169591,0.022344247421867025,"[-0.017929652895036775, 0.060120008559956986]",uncertain_ci_overlaps_zero,"[0.009477489058931773, 0.03463186719540403]",positive_bootstrap_support
bejis_2022,evia_2021_extended,0.547831846418897,0.37578274941464807,-0.17204909700424897,"[-0.22034889744829503, -0.12414574106574092]",negative_bootstrap_support,"[-0.19258904728407245, -0.15006117545425757]",negative_bootstrap_support
bejis_2022,montiferru_2021,0.5683652712455138,0.59479963681775,0.026434365572236218,"[-0.046265412068414107, 0.09341099284145843]",uncertain_ci_overlaps_zero,"[-0.004092235000822356, 0.05442190113282731]",uncertain_ci_overlaps_zero
mugla_2021,manavgat_2021,0.5177559529413225,0.3937157376764261,-0.12404021526489639,"[-0.15917344317632184, -0.09225895685973068]",negative_bootstrap_support,"[-0.14622798099637327, -0.10223833068122003]",negative_bootstrap_support
mugla_2021,bejis_2022,0.4684228150681802,0.570770054243882,0.10234723917570188,"[0.03854553365383963, 0.15698164782210058]",positive_bootstrap_support,"[0.07818795026650294, 0.1268770944326267]",positive_bootstrap_support
mugla_2021,evia_2021_extended,0.5974045407283771,0.6501441758948361,0.052739635166458965,"[0.02140851355033036, 0.0857015046094809]",positive_bootstrap_support,"[0.03684272583007106, 0.06686592792093711]",positive_bootstrap_support
mugla_2021,montiferru_2021,0.6219486063229991,0.5249558231250616,-0.09699278319793747,"[-0.1990525767782006, 0.030431085238945173]",uncertain_ci_overlaps_zero,"[-0.14194289451028738, -0.04935829268235864]",negative_bootstrap_support
evia_2021_extended,manavgat_2021,0.6802558042277081,0.6619706247937407,-0.018285179433967458,"[-0.07991528218538518, 0.043667003127377965]",uncertain_ci_overlaps_zero,"[-0.045264007531794284, 0.00533738596760992]",uncertain_ci_overlaps_zero
evia_2021_extended,bejis_2022,0.3375710359863444,0.3779189540265149,0.04034791804017046,"[-0.008887809852245104, 0.09247141208999309]",uncertain_ci_overlaps_zero,"[0.020373565240371122, 0.06265092478996642]",positive_bootstrap_support
evia_2021_extended,mugla_2021,0.5035244329810953,0.5758889952745063,0.07236456229341104,"[-0.0007141603655044649, 0.14527997058608624]",uncertain_ci_overlaps_zero,"[0.05065414104250709, 0.09344188033582218]",positive_bootstrap_support
evia_2021_extended,montiferru_2021,0.5509307292647752,0.6615687599478948,0.11063803068311961,"[0.030358714683444983, 0.1980310575461925]",positive_bootstrap_support,"[0.06427226696661, 0.1542478190621596]",positive_bootstrap_support
montiferru_2021,manavgat_2021,0.499227141812268,0.5464533484098764,0.047226206597608344,"[-0.006341528174741826, 0.09543482828139196]",uncertain_ci_overlaps_zero,"[0.020864160635653488, 0.07145496843795797]",positive_bootstrap_support
montiferru_2021,bejis_2022,0.6024174102626031,0.5705591819683153,-0.03185822829428775,"[-0.06763250374097549, 0.0033828384563650204]",uncertain_ci_overlaps_zero,"[-0.048292623131006365, -0.014179821113431548]",negative_bootstrap_support
montiferru_2021,mugla_2021,0.649021335994169,0.6433853890710295,-0.005635946923139512,"[-0.0580602939657629, 0.043743378371453576]",uncertain_ci_overlaps_zero,"[-0.02054653765706516, 0.008091198096633499]",uncertain_ci_overlaps_zero
montiferru_2021,evia_2021_extended,0.5509654703434717,0.6144906607538629,0.06352519041039129,"[0.022525846616102223, 0.10467121648218253]",positive_bootstrap_support,"[0.046401278867892554, 0.07903557365644219]",positive_bootstrap_support
