source,target,baseline,thermal,delta,delta_ci_B10,support_B10,delta_ci_B2,support_B2
manavgat_2021,bejis_2022,0.33218736692689854,0.3258336344280276,-0.006353732498870945,"[-0.04597501506579216, 0.027936170361418915]",uncertain_ci_overlaps_zero,"[-0.022270530805339427, 0.011118252554732765]",uncertain_ci_overlaps_zero
manavgat_2021,mugla_2021,0.5079294316533509,0.47015987108700774,-0.037769560566343174,"[-0.07876996285529961, -0.00011910450602734477]",negative_bootstrap_support,"[-0.05068732905970143, -0.02456838716288867]",negative_bootstrap_support
manavgat_2021,evia_2021_extended,0.5938705512868914,0.6125620551965896,0.018691503909698204,"[-0.02403024084765082, 0.06120193171256158]",uncertain_ci_overlaps_zero,"[0.0020323923886388317, 0.03339380664913994]",positive_bootstrap_support
manavgat_2021,montiferru_2021,0.5779257792439125,0.5332600780053577,-0.044665701238554845,"[-0.11262356245338905, 0.0337751671124558]",uncertain_ci_overlaps_zero,"[-0.07959980661516526, -0.01365621279738223]",negative_bootstrap_support
bejis_2022,manavgat_2021,0.42090798972298404,0.44352842964630473,0.02262043992332069,"[-0.03781166806531788, 0.07925148064784097]",uncertain_ci_overlaps_zero,"[-0.0003983289241658569, 0.04512753321524543]",uncertain_ci_overlaps_zero
bejis_2022,mugla_2021,0.5922389554694063,0.6184747489978262,0.02623579352841987,"[-0.019805490037239897, 0.06704288149842863]",uncertain_ci_overlaps_zero,"[0.013376554493713357, 0.04073258425287637]",positive_bootstrap_support
bejis_2022,evia_2021_extended,0.5304608855916513,0.38282143313044736,-0.1476394524612039,"[-0.19892331050538464, -0.09517470484760346]",negative_bootstrap_support,"[-0.168768119803078, -0.12515194354367318]",negative_bootstrap_support
bejis_2022,montiferru_2021,0.553036703232642,0.5937253341599618,0.04068863092731978,"[-0.044897673422921267, 0.12100701044942884]",uncertain_ci_overlaps_zero,"[0.007215306821524026, 0.07305178271599966]",positive_bootstrap_support
mugla_2021,manavgat_2021,0.52151982986128,0.40099966584697444,-0.12052016401430554,"[-0.15829734872710455, -0.08549711678653112]",negative_bootstrap_support,"[-0.1425497087063784, -0.09754996109253715]",negative_bootstrap_support
mugla_2021,bejis_2022,0.4507383379572875,0.5831912381443964,0.13245290018710892,"[0.06508623899594333, 0.1925089472695829]",positive_bootstrap_support,"[0.10288329083099002, 0.16043105946459094]",positive_bootstrap_support
mugla_2021,evia_2021_extended,0.5997551855443022,0.6534051763551312,0.053649990810828996,"[0.02447909940778085, 0.08594371446928581]",positive_bootstrap_support,"[0.03958579351476604, 0.06759430558486704]",positive_bootstrap_support
mugla_2021,montiferru_2021,0.6105251713018012,0.5312433202707516,-0.07928185103104957,"[-0.1657617955078469, 0.023028503544159206]",uncertain_ci_overlaps_zero,"[-0.11817806670931169, -0.037785347199053576]",negative_bootstrap_support
evia_2021_extended,manavgat_2021,0.6757598037187197,0.6857777670301659,0.01001796331144622,"[-0.04201692592868805, 0.06334121275481586]",uncertain_ci_overlaps_zero,"[-0.013735902850144088, 0.030701002858584098]",uncertain_ci_overlaps_zero
evia_2021_extended,bejis_2022,0.3917341118781857,0.4480079359958707,0.056273824117685,"[0.015799805987448495, 0.09658020606435155]",positive_bootstrap_support,"[0.036424199297311104, 0.07724723039528994]",positive_bootstrap_support
evia_2021_extended,mugla_2021,0.5125008374843695,0.576836486299561,0.06433564881519149,"[0.003202310814033958, 0.1275196875062296]",positive_bootstrap_support,"[0.04538760904517306, 0.0857036656994477]",positive_bootstrap_support
evia_2021_extended,montiferru_2021,0.5494242131221113,0.6467042042389389,0.09727999111682761,"[0.007689374910109806, 0.19175501898142874]",positive_bootstrap_support,"[0.05573539124257422, 0.13966934122686722]",positive_bootstrap_support
montiferru_2021,manavgat_2021,0.5018395227508553,0.5670426836522615,0.06520316090140621,"[0.003003608427854135, 0.11969086320166579]",positive_bootstrap_support,"[0.039011950841552026, 0.09020295146082737]",positive_bootstrap_support
montiferru_2021,bejis_2022,0.6126267823730562,0.5483011162010453,-0.06432566617201096,"[-0.10102671594991317, -0.030842245418130458]",negative_bootstrap_support,"[-0.0835062002945706, -0.04483723216753089]",negative_bootstrap_support
montiferru_2021,mugla_2021,0.6512032487818434,0.6193519007685069,-0.031851348013336556,"[-0.09269658871488753, 0.021889090717578143]",uncertain_ci_overlaps_zero,"[-0.0479563828284335, -0.016082666554630823]",negative_bootstrap_support
montiferru_2021,evia_2021_extended,0.5564241415820402,0.5861929535806533,0.02976881199861303,"[-0.009553489676411177, 0.06543268324493892]",uncertain_ci_overlaps_zero,"[0.013903584381530734, 0.04597562031921864]",positive_bootstrap_support
