source,target,baseline,thermal,delta,delta_ci_B10,support_B10,delta_ci_B2,support_B2
manavgat_2021,bejis_2022,0.37069117362410486,0.3964026711400735,0.02571149751596863,"[-0.015674389877557465, 0.06811975653474152]",uncertain_ci_overlaps_zero,"[0.009765435606469594, 0.04286443116500948]",positive_bootstrap_support
manavgat_2021,mugla_2021,0.4656065622633644,0.4376617829318566,-0.027944779331507796,"[-0.05485841682219642, -0.00023796652888926142]",negative_bootstrap_support,"[-0.03880661029685625, -0.016452008579261882]",negative_bootstrap_support
manavgat_2021,evia_2021_extended,0.6225921429418566,0.6540092625033838,0.03141711956152715,"[-0.0035686579424093422, 0.06769260728350962]",uncertain_ci_overlaps_zero,"[0.0161407108275228, 0.04679978276861601]",positive_bootstrap_support
manavgat_2021,montiferru_2021,0.5339859997501608,0.5178084473417569,-0.016177552408403906,"[-0.09306528119198236, 0.0662630292705529]",uncertain_ci_overlaps_zero,"[-0.049242371504094516, 0.013817650082848874]",uncertain_ci_overlaps_zero
bejis_2022,manavgat_2021,0.2965551309319895,0.3141548720223256,0.01759974109033613,"[-0.012986269584797734, 0.04939774884013988]",uncertain_ci_overlaps_zero,"[0.0065724770854700505, 0.028818317633474307]",positive_bootstrap_support
bejis_2022,mugla_2021,0.5922389554694063,0.6184747489978262,0.02623579352841987,"[-0.019805490037239897, 0.06704288149842863]",uncertain_ci_overlaps_zero,"[0.013376554493713357, 0.04073258425287637]",positive_bootstrap_support
bejis_2022,evia_2021_extended,0.5304606592573883,0.38282143313044736,-0.14763922612694091,"[-0.19892307304513404, -0.09517430890786367]",negative_bootstrap_support,"[-0.16876783392067, -0.12515189374089905]",negative_bootstrap_support
bejis_2022,montiferru_2021,0.5530362405674126,0.5937253341599618,0.04068909359254913,"[-0.04489590494851846, 0.12100701044942884]",uncertain_ci_overlaps_zero,"[0.007215306821524026, 0.07305222521261469]",positive_bootstrap_support
mugla_2021,manavgat_2021,0.4222591457764537,0.3449553227686198,-0.0773038230078339,"[-0.10697016551499501, -0.04869504831049233]",negative_bootstrap_support,"[-0.0903075188017887, -0.06581065281398112]",negative_bootstrap_support
mugla_2021,bejis_2022,0.4507383379572875,0.5831912381443964,0.13245290018710892,"[0.06508623899594333, 0.1925089472695829]",positive_bootstrap_support,"[0.10288329083099002, 0.16043105946459094]",positive_bootstrap_support
mugla_2021,evia_2021_extended,0.5997551855443022,0.6534051763551312,0.053649990810828996,"[0.02447909940778085, 0.08594371446928581]",positive_bootstrap_support,"[0.03958579351476604, 0.06759430558486704]",positive_bootstrap_support
mugla_2021,montiferru_2021,0.6105251713018012,0.5312433202707516,-0.07928185103104957,"[-0.1657617955078469, 0.023028503544159206]",uncertain_ci_overlaps_zero,"[-0.11817806670931169, -0.037785347199053576]",negative_bootstrap_support
evia_2021_extended,manavgat_2021,0.7273654778585326,0.6768829881850658,-0.0504824896734668,"[-0.10038408384432358, -0.006509916142452356]",negative_bootstrap_support,"[-0.06702913078395552, -0.03515064362937754]",negative_bootstrap_support
evia_2021_extended,bejis_2022,0.3917341118781857,0.4480079359958707,0.056273824117685,"[0.015799805987448495, 0.09658020606435155]",positive_bootstrap_support,"[0.036424199297311104, 0.07724723039528994]",positive_bootstrap_support
evia_2021_extended,mugla_2021,0.5125008330596732,0.576836486299561,0.06433565323988777,"[0.0032023109192898733, 0.1275197030367424]",positive_bootstrap_support,"[0.04538760904517306, 0.0857036656994477]",positive_bootstrap_support
evia_2021_extended,montiferru_2021,0.5494242131221113,0.6467042042389389,0.09727999111682761,"[0.007689374910109806, 0.19175501898142874]",positive_bootstrap_support,"[0.05573539124257422, 0.13966934122686722]",positive_bootstrap_support
montiferru_2021,manavgat_2021,0.3379486623776111,0.40410656586843297,0.06615790349082185,"[0.024720434185050395, 0.11373671921105134]",positive_bootstrap_support,"[0.0525284616885304, 0.07969992792573673]",positive_bootstrap_support
montiferru_2021,bejis_2022,0.6126267823730563,0.5483011162010453,-0.06432566617201108,"[-0.10102671594991317, -0.030842245418130458]",negative_bootstrap_support,"[-0.0835062002945706, -0.04483723216753089]",negative_bootstrap_support
montiferru_2021,mugla_2021,0.6512032487818435,0.6193519007685069,-0.03185134801333667,"[-0.09269658871488753, 0.021889090717578143]",uncertain_ci_overlaps_zero,"[-0.0479563828284335, -0.016082666554630823]",negative_bootstrap_support
montiferru_2021,evia_2021_extended,0.5564241415820402,0.5861929535806533,0.02976881199861303,"[-0.009553489676411177, 0.06543268324493892]",uncertain_ci_overlaps_zero,"[0.013903584381530734, 0.04597562031921864]",positive_bootstrap_support
