kind,name,config,auc,auc_ci_low,auc_ci_high,delta_vs_full,delta_ci_low,delta_ci_high,parity_check_diff
transfer,manavgat_2021_to_bejis_2022,full,0.3258,0.2632,0.3878,,,,0
transfer,manavgat_2021_to_bejis_2022,drop_elev,0.4435,0.3717,0.5244,0.1176,0.0475,0.2031,
transfer,manavgat_2021_to_bejis_2022,drop_anom,0.3428,0.2835,0.4037,0.0170,-0.0007,0.0365,
transfer,manavgat_2021_to_bejis_2022,drop_both,0.4282,0.3748,0.4833,0.1023,0.0435,0.1693,
transfer,manavgat_2021_to_mugla_2021,full,0.4702,0.4113,0.5290,,,,0
transfer,manavgat_2021_to_mugla_2021,drop_elev,0.5060,0.4669,0.5451,0.0359,-0.0010,0.0736,
transfer,manavgat_2021_to_mugla_2021,drop_anom,0.4717,0.4135,0.5281,0.0015,-0.0074,0.0103,
transfer,manavgat_2021_to_mugla_2021,drop_both,0.5038,0.4635,0.5454,0.0336,-0.0069,0.0770,
transfer,manavgat_2021_to_evia_2021_extended,full,0.6126,0.5609,0.6584,,,,0
transfer,manavgat_2021_to_evia_2021_extended,drop_elev,0.5418,0.4793,0.5981,-0.0708,-0.1224,-0.0193,
transfer,manavgat_2021_to_evia_2021_extended,drop_anom,0.5846,0.5298,0.6338,-0.0280,-0.0374,-0.0193,
transfer,manavgat_2021_to_evia_2021_extended,drop_both,0.5549,0.4922,0.6120,-0.0576,-0.1068,-0.0051,
transfer,manavgat_2021_to_montiferru_2021,full,0.5333,0.4160,0.6727,,,,0
transfer,manavgat_2021_to_montiferru_2021,drop_elev,0.5503,0.4789,0.6276,0.0171,-0.0723,0.0997,
transfer,manavgat_2021_to_montiferru_2021,drop_anom,0.5272,0.4029,0.6745,-0.0060,-0.0286,0.0176,
transfer,manavgat_2021_to_montiferru_2021,drop_both,0.5346,0.4531,0.6262,0.0014,-0.0775,0.0710,
transfer,bejis_2022_to_manavgat_2021,full,0.4435,0.3511,0.5584,,,,0
transfer,bejis_2022_to_manavgat_2021,drop_elev,0.5117,0.4558,0.5837,0.0682,-0.0036,0.1310,
transfer,bejis_2022_to_manavgat_2021,drop_anom,0.4240,0.3266,0.5510,-0.0195,-0.0404,-0.0007,
transfer,bejis_2022_to_manavgat_2021,drop_both,0.5048,0.4435,0.5809,0.0613,-0.0057,0.1198,
transfer,bejis_2022_to_mugla_2021,full,0.6185,0.5601,0.6771,,,,0
transfer,bejis_2022_to_mugla_2021,drop_elev,0.5637,0.5082,0.6129,-0.0548,-0.1244,0.0153,
transfer,bejis_2022_to_mugla_2021,drop_anom,0.6120,0.5485,0.6737,-0.0065,-0.0296,0.0171,
transfer,bejis_2022_to_mugla_2021,drop_both,0.5889,0.5470,0.6294,-0.0295,-0.0902,0.0314,
transfer,bejis_2022_to_evia_2021_extended,full,0.3828,0.3295,0.4328,,,,0
transfer,bejis_2022_to_evia_2021_extended,drop_elev,0.3813,0.3268,0.4364,-0.0015,-0.0391,0.0421,
transfer,bejis_2022_to_evia_2021_extended,drop_anom,0.4283,0.3752,0.4815,0.0455,0.0307,0.0603,
transfer,bejis_2022_to_evia_2021_extended,drop_both,0.4454,0.3972,0.4935,0.0626,0.0264,0.0996,
transfer,bejis_2022_to_montiferru_2021,full,0.5937,0.4804,0.6942,,,,0
transfer,bejis_2022_to_montiferru_2021,drop_elev,0.5593,0.4316,0.6776,-0.0345,-0.1283,0.0571,
transfer,bejis_2022_to_montiferru_2021,drop_anom,0.5992,0.4680,0.7168,0.0054,-0.0330,0.0382,
transfer,bejis_2022_to_montiferru_2021,drop_both,0.5618,0.4249,0.6801,-0.0319,-0.1286,0.0683,
transfer,mugla_2021_to_manavgat_2021,full,0.4010,0.3519,0.4528,,,,0
transfer,mugla_2021_to_manavgat_2021,drop_elev,0.4559,0.3858,0.5363,0.0549,-0.0070,0.1166,
transfer,mugla_2021_to_manavgat_2021,drop_anom,0.4209,0.3734,0.4734,0.0199,0.0052,0.0330,
transfer,mugla_2021_to_manavgat_2021,drop_both,0.4683,0.4003,0.5500,0.0673,0.0047,0.1283,
transfer,mugla_2021_to_bejis_2022,full,0.5832,0.5338,0.6333,,,,0
transfer,mugla_2021_to_bejis_2022,drop_elev,0.5574,0.5051,0.6123,-0.0258,-0.0520,-0.0020,
transfer,mugla_2021_to_bejis_2022,drop_anom,0.5945,0.5433,0.6484,0.0113,-0.0037,0.0254,
transfer,mugla_2021_to_bejis_2022,drop_both,0.5608,0.5042,0.6207,-0.0224,-0.0553,0.0098,
transfer,mugla_2021_to_evia_2021_extended,full,0.6534,0.5942,0.7105,,,,0
transfer,mugla_2021_to_evia_2021_extended,drop_elev,0.6157,0.5510,0.6790,-0.0377,-0.0604,-0.0130,
transfer,mugla_2021_to_evia_2021_extended,drop_anom,0.6657,0.6007,0.7240,0.0123,-0.0015,0.0249,
transfer,mugla_2021_to_evia_2021_extended,drop_both,0.6179,0.5516,0.6833,-0.0355,-0.0627,-0.0086,
transfer,mugla_2021_to_montiferru_2021,full,0.5312,0.4534,0.6066,,,,0
transfer,mugla_2021_to_montiferru_2021,drop_elev,0.5439,0.4695,0.6215,0.0127,-0.0626,0.0883,
transfer,mugla_2021_to_montiferru_2021,drop_anom,0.5332,0.4511,0.6049,0.0019,-0.0479,0.0506,
transfer,mugla_2021_to_montiferru_2021,drop_both,0.5903,0.5240,0.6590,0.0591,-0.0102,0.1332,
transfer,evia_2021_extended_to_manavgat_2021,full,0.6858,0.5884,0.7637,,,,0
transfer,evia_2021_extended_to_manavgat_2021,drop_elev,0.6078,0.5357,0.6707,-0.0780,-0.1066,-0.0402,
transfer,evia_2021_extended_to_manavgat_2021,drop_anom,0.6957,0.5883,0.7802,0.0099,-0.0085,0.0297,
transfer,evia_2021_extended_to_manavgat_2021,drop_both,0.6441,0.5657,0.7119,-0.0417,-0.0726,-0.0046,
transfer,evia_2021_extended_to_bejis_2022,full,0.4480,0.3920,0.4975,,,,0
transfer,evia_2021_extended_to_bejis_2022,drop_elev,0.5230,0.4830,0.5585,0.0750,0.0234,0.1314,
transfer,evia_2021_extended_to_bejis_2022,drop_anom,0.4486,0.3834,0.5061,0.0005,-0.0232,0.0223,
transfer,evia_2021_extended_to_bejis_2022,drop_both,0.5041,0.4542,0.5504,0.0560,0.0004,0.1218,
transfer,evia_2021_extended_to_mugla_2021,full,0.5768,0.5153,0.6311,,,,0
transfer,evia_2021_extended_to_mugla_2021,drop_elev,0.6032,0.5587,0.6511,0.0264,-0.0137,0.0691,
transfer,evia_2021_extended_to_mugla_2021,drop_anom,0.5748,0.5091,0.6365,-0.0021,-0.0294,0.0247,
transfer,evia_2021_extended_to_mugla_2021,drop_both,0.5928,0.5410,0.6405,0.0160,-0.0187,0.0506,
transfer,evia_2021_extended_to_montiferru_2021,full,0.6467,0.5518,0.7460,,,,0
transfer,evia_2021_extended_to_montiferru_2021,drop_elev,0.6217,0.5294,0.7172,-0.0250,-0.0782,0.0292,
transfer,evia_2021_extended_to_montiferru_2021,drop_anom,0.6239,0.5229,0.7203,-0.0228,-0.0820,0.0449,
transfer,evia_2021_extended_to_montiferru_2021,drop_both,0.6311,0.5471,0.7248,-0.0156,-0.0839,0.0501,
transfer,montiferru_2021_to_manavgat_2021,full,0.5670,0.4961,0.6489,,,,0
transfer,montiferru_2021_to_manavgat_2021,drop_elev,0.6239,0.5606,0.6835,0.0569,0.0168,0.0917,
transfer,montiferru_2021_to_manavgat_2021,drop_anom,0.5574,0.4827,0.6413,-0.0096,-0.0204,0.0015,
transfer,montiferru_2021_to_manavgat_2021,drop_both,0.6262,0.5612,0.6948,0.0592,0.0261,0.0920,
transfer,montiferru_2021_to_bejis_2022,full,0.5483,0.4811,0.6265,,,,0
transfer,montiferru_2021_to_bejis_2022,drop_elev,0.5127,0.4492,0.5892,-0.0357,-0.0632,-0.0103,
transfer,montiferru_2021_to_bejis_2022,drop_anom,0.5283,0.4531,0.6176,-0.0200,-0.0414,0.0011,
transfer,montiferru_2021_to_bejis_2022,drop_both,0.5529,0.4949,0.6186,0.0046,-0.0246,0.0344,
transfer,montiferru_2021_to_mugla_2021,full,0.6194,0.5674,0.6704,,,,0
transfer,montiferru_2021_to_mugla_2021,drop_elev,0.6122,0.5708,0.6508,-0.0072,-0.0373,0.0199,
transfer,montiferru_2021_to_mugla_2021,drop_anom,0.6445,0.5910,0.6969,0.0251,0.0105,0.0407,
transfer,montiferru_2021_to_mugla_2021,drop_both,0.6353,0.5833,0.6815,0.0159,-0.0292,0.0589,
transfer,montiferru_2021_to_evia_2021_extended,full,0.5862,0.5154,0.6550,,,,0
transfer,montiferru_2021_to_evia_2021_extended,drop_elev,0.5900,0.5280,0.6543,0.0038,-0.0382,0.0465,
transfer,montiferru_2021_to_evia_2021_extended,drop_anom,0.5947,0.5219,0.6643,0.0085,-0.0039,0.0240,
transfer,montiferru_2021_to_evia_2021_extended,drop_both,0.5661,0.5048,0.6304,-0.0201,-0.0655,0.0281,
within,manavgat_2021,full,0.8696,0.8329,0.8973,,,,0
within,manavgat_2021,drop_elev,0.8141,0.7756,0.8417,-0.0555,-0.0702,-0.0414,
within,manavgat_2021,drop_anom,0.8673,0.8270,0.8974,-0.0023,-0.0072,0.0017,
within,manavgat_2021,drop_both,0.8093,0.7700,0.8379,-0.0603,-0.0743,-0.0467,
within,bejis_2022,full,0.9178,0.8914,0.9423,,,,0
within,bejis_2022,drop_elev,0.8041,0.7518,0.8550,-0.1137,-0.1469,-0.0788,
within,bejis_2022,drop_anom,0.9086,0.8804,0.9340,-0.0092,-0.0146,-0.0048,
within,bejis_2022,drop_both,0.7879,0.7356,0.8409,-0.1299,-0.1674,-0.0910,
within,mugla_2021,full,0.8590,0.8234,0.8890,,,,0
within,mugla_2021,drop_elev,0.7996,0.7607,0.8341,-0.0594,-0.0737,-0.0464,
within,mugla_2021,drop_anom,0.8503,0.8133,0.8799,-0.0087,-0.0123,-0.0053,
within,mugla_2021,drop_both,0.7855,0.7446,0.8224,-0.0735,-0.0916,-0.0584,
within,evia_2021_extended,full,0.9122,0.8838,0.9352,,,,0
within,evia_2021_extended,drop_elev,0.8888,0.8578,0.9167,-0.0234,-0.0330,-0.0128,
within,evia_2021_extended,drop_anom,0.8772,0.8410,0.9066,-0.0350,-0.0504,-0.0220,
within,evia_2021_extended,drop_both,0.8497,0.8122,0.8840,-0.0626,-0.0829,-0.0440,
within,montiferru_2021,full,0.8826,0.8374,0.9181,,,,0
within,montiferru_2021,drop_elev,0.8298,0.7646,0.8789,-0.0528,-0.0837,-0.0291,
within,montiferru_2021,drop_anom,0.8716,0.8234,0.9101,-0.0110,-0.0205,-0.0020,
within,montiferru_2021,drop_both,0.8037,0.7364,0.8574,-0.0789,-0.1190,-0.0469,
