source_frame,target_frame,direction,thermal,baseline,delta
full,full,manavgat_2021_to_bejis_2022,0.3964026711400735,0.37069117362410486,0.02571149751596863
full,full,manavgat_2021_to_mugla_2021,0.4376617829318566,0.4656065622633644,-0.027944779331507796
full,full,manavgat_2021_to_evia_2021_extended,0.6540092625033838,0.6225921429418566,0.03141711956152715
full,full,manavgat_2021_to_montiferru_2021,0.5178084473417569,0.5339859997501608,-0.016177552408403906
full,full,bejis_2022_to_manavgat_2021,0.3141548720223256,0.2965551309319895,0.01759974109033613
full,full,bejis_2022_to_mugla_2021,0.6184747489978262,0.5922389820175834,0.02623576698024277
full,full,bejis_2022_to_evia_2021_extended,0.38282143313044736,0.5304606875491712,-0.14763925441872383
full,full,bejis_2022_to_montiferru_2021,0.5937253341599618,0.5530362405674126,0.04068909359254913
full,full,mugla_2021_to_manavgat_2021,0.3449553227686198,0.4222591457764537,-0.0773038230078339
full,full,mugla_2021_to_bejis_2022,0.5831912381443964,0.4507383379572875,0.13245290018710892
full,full,mugla_2021_to_evia_2021_extended,0.6534051763551312,0.5997551855443022,0.053649990810828996
full,full,mugla_2021_to_montiferru_2021,0.5312433202707516,0.6105251713018012,-0.07928185103104957
full,full,evia_2021_extended_to_manavgat_2021,0.6768829881850658,0.7273654778585326,-0.0504824896734668
full,full,evia_2021_extended_to_bejis_2022,0.4480079359958707,0.39173411187818563,0.056273824117685056
full,full,evia_2021_extended_to_mugla_2021,0.576836486299561,0.5125008330596732,0.06433565323988777
full,full,evia_2021_extended_to_montiferru_2021,0.6467042042389389,0.5494242131221113,0.09727999111682761
full,full,montiferru_2021_to_manavgat_2021,0.40410656586843297,0.3379486623776111,0.06615790349082185
full,full,montiferru_2021_to_bejis_2022,0.5483011162010453,0.6126267823730563,-0.06432566617201108
full,full,montiferru_2021_to_mugla_2021,0.6193519007685069,0.6512032532065397,-0.03185135243803283
full,full,montiferru_2021_to_evia_2021_extended,0.5861929535806533,0.5564241415820402,0.02976881199861303
full,10km,manavgat_2021_to_bejis_2022,0.4619607763931247,0.4318304013249581,0.030130375068166626
full,10km,manavgat_2021_to_mugla_2021,0.44103655763413985,0.4565634842783411,-0.015526926644201244
full,10km,manavgat_2021_to_evia_2021_extended,0.634351349012564,0.634010836186654,0.00034051282590996657
full,10km,manavgat_2021_to_montiferru_2021,0.5209402152361806,0.5354725087462877,-0.014532293510107097
full,10km,bejis_2022_to_manavgat_2021,0.3743000412136125,0.37653542108204696,-0.002235379868434473
full,10km,bejis_2022_to_mugla_2021,0.6134536666697685,0.5985140530487092,0.014939613621059333
full,10km,bejis_2022_to_evia_2021_extended,0.41227961314117856,0.58209655332903,-0.16981694018785143
full,10km,bejis_2022_to_montiferru_2021,0.5894441649731976,0.5508587480470031,0.03858541692619455
full,10km,mugla_2021_to_manavgat_2021,0.4781284433850929,0.5159148443605225,-0.03778640097542957
full,10km,mugla_2021_to_bejis_2022,0.6000490800024237,0.48981721233665243,0.11023186766577131
full,10km,mugla_2021_to_evia_2021_extended,0.7197799434948968,0.676910993937863,0.0428689495570338
full,10km,mugla_2021_to_montiferru_2021,0.5283404447935458,0.608451115407255,-0.08011067061370925
full,10km,evia_2021_extended_to_manavgat_2021,0.6566392133458727,0.6778065614027793,-0.021167348056906565
full,10km,evia_2021_extended_to_bejis_2022,0.5159685726404233,0.46472420270242976,0.05124436993799353
full,10km,evia_2021_extended_to_mugla_2021,0.5730972998725343,0.5079609850418078,0.06513631483072657
full,10km,evia_2021_extended_to_montiferru_2021,0.6407084897236467,0.547201425652037,0.09350706407160969
full,10km,montiferru_2021_to_manavgat_2021,0.49850591482601614,0.4184193968137108,0.08008651801230532
full,10km,montiferru_2021_to_bejis_2022,0.6125059077780695,0.660898285229545,-0.04839237745147551
