connectivity,min_component_cells,region,component,n_target,auc
8,25,mugla_2021,6,1266,0.5951704545454546
8,25,mugla_2021,1,1244,0.5614013946463574
8,25,mugla_2021,10,940,0.6166612075554099
8,25,mugla_2021,8,954,0.5421415986480169
8,25,mugla_2021,7,133,0.4234800838574424
8,25,evia_2021_extended,1,3059,0.4647921583336273
8,25,montiferru_2021,1,758,0.5837032476086832
8,25,montiferru_2021,5,195,0.45778917910447764
8,25,montiferru_2021,3,104,0.6316964285714285
8,50,mugla_2021,6,1266,0.5951704545454546
8,50,mugla_2021,1,1244,0.5614013946463574
8,50,mugla_2021,10,940,0.6166612075554099
8,50,mugla_2021,8,954,0.5421415986480169
8,50,evia_2021_extended,1,3059,0.4647921583336273
8,50,montiferru_2021,1,758,0.5837999026290165
8,50,montiferru_2021,5,195,0.45778917910447764
8,100,mugla_2021,6,1266,0.5951704545454546
8,100,mugla_2021,1,1244,0.5614013946463574
8,100,mugla_2021,10,940,0.6166612075554099
8,100,mugla_2021,8,954,0.5421415986480169
8,100,evia_2021_extended,1,3059,0.4647921583336273
8,100,montiferru_2021,1,758,0.5837032476086832
8,200,mugla_2021,6,1266,0.5951704545454546
8,200,mugla_2021,1,1244,0.5614013946463574
8,200,mugla_2021,10,940,0.6166612075554099
8,200,mugla_2021,8,954,0.5421415986480169
8,200,evia_2021_extended,1,3059,0.4647921583336273
8,200,montiferru_2021,1,758,0.5837032476086832
4,25,mugla_2021,6,1266,0.5951704545454546
4,25,mugla_2021,1,1244,0.5614013946463574
4,25,mugla_2021,10,940,0.6166612075554099
4,25,mugla_2021,8,954,0.5421415986480169
4,25,mugla_2021,7,133,0.4234800838574424
4,25,evia_2021_extended,1,3059,0.4647921583336273
4,25,montiferru_2021,10,715,0.5791935923544409
4,25,montiferru_2021,5,193,0.45793269230769235
4,25,montiferru_2021,3,104,0.6316964285714285
4,50,mugla_2021,6,1266,0.5951704545454546
4,50,mugla_2021,1,1244,0.5614013946463574
4,50,mugla_2021,10,940,0.6166612075554099
4,50,mugla_2021,8,954,0.5421415986480169
4,50,evia_2021_extended,1,3059,0.4647921583336273
4,50,montiferru_2021,10,715,0.5791935923544409
4,50,montiferru_2021,5,193,0.45793269230769235
4,100,mugla_2021,6,1266,0.5951704545454546
4,100,mugla_2021,1,1244,0.5614013946463574
4,100,mugla_2021,10,940,0.6166612075554099
4,100,mugla_2021,8,954,0.5421415986480169
4,100,evia_2021_extended,1,3059,0.4647921583336273
4,100,montiferru_2021,10,715,0.5791935923544409
4,200,mugla_2021,6,1266,0.5951704545454546
4,200,mugla_2021,1,1244,0.5614013946463574
4,200,mugla_2021,10,940,0.6166612075554099
4,200,mugla_2021,8,954,0.5421415986480169
4,200,evia_2021_extended,1,3059,0.4647921583336273
4,200,montiferru_2021,10,715,0.5791935923544409
