region,scar,orientation,row,col,pool_n,collar_only_n,median_dist_km,placebo_auc,placebo_collar_only_auc
manavgat_2021,1,0,3,75,4086,1225,19.370918925027794,0.9497152782468246,0.9518253311546083
manavgat_2021,1,6,9,5,4014,1206,15.90990257669732,0.8551267327556278,0.8865773347911209
manavgat_2021,1,0,2,65,4015,1211,18.0056241213683,0.9454144912285912,0.9433973358917476
manavgat_2021,1,2,11,62,4045,1195,14.428097587693259,0.9307652621803687,0.94888868297064
manavgat_2021,1,0,8,77,4068,1221,17.830451480543058,0.9405988317847029,0.9320578128073869
manavgat_2021,1,2,4,73,4111,1231,18.900000000000002,0.9434241535051386,0.9612425736613908
manavgat_2021,1,6,4,1,4031,1197,18.471938176596414,0.8623253262513644,0.9075539501792529
manavgat_2021,1,0,2,46,3957,1207,16.112262410971343,0.9529511240727083,0.9135787971641856
manavgat_2021,1,3,8,3,3865,1092,15.698487188261169,0.7914648342372799,0.7975700619652919
manavgat_2021,1,2,1,77,4088,1202,20.567510787647592,0.9491873001796923,0.9616516481616387
manavgat_2021,1,3,1,2,3942,1132,17.915426313654944,0.7955968009735718,0.8237959078021443
manavgat_2021,1,0,15,74,4069,1237,14.650938536489736,0.9323596411643611,0.93865964118829
manavgat_2021,1,2,8,75,4090,1225,17.573061770789973,0.937079343393743,0.9578272085665612
manavgat_2021,1,0,0,64,3968,1160,18.553975315279473,0.9503019041600264,0.9478684720672033
manavgat_2021,1,6,1,11,4020,1199,17.92107697656589,0.8760839753532168,0.896435274710754
manavgat_2021,1,2,12,73,4083,1232,15.75,0.9288799989652529,0.9489761941635876
manavgat_2021,1,6,2,15,4007,1208,16.981166037701886,0.8815980892041994,0.9056818822839221
manavgat_2021,1,2,4,64,4064,1205,17.38188712424517,0.9436083146655221,0.956119519039776
manavgat_2021,1,2,1,58,4002,1181,17.838965147044902,0.9511322703213981,0.9466198916115034
manavgat_2021,1,2,9,65,4061,1206,15.620899461938805,0.9333220348795016,0.9490573820279635
manavgat_2021,1,2,13,67,4079,1220,14.4,0.9258065472672804,0.9474086072555645
manavgat_2021,1,2,6,54,3979,1176,15.51684568461,0.9434987688773214,0.9304943272027721
manavgat_2021,1,6,11,10,4007,1197,14.322447416555594,0.8514784816519982,0.8644840380337557
manavgat_2021,1,0,8,66,4039,1214,15.852523458427683,0.9386851283461548,0.9459732984572378
manavgat_2021,1,2,19,68,4087,1238,12.241323457861899,0.9149960255415747,0.9372519285653346
manavgat_2021,1,0,5,59,3993,1201,16.112262410971343,0.9444682367908748,0.9430293040864584
manavgat_2021,1,0,3,64,4009,1205,17.50378530489905,0.9436759624745515,0.9411356712166088
manavgat_2021,1,3,4,0,3891,1107,17.60184649404715,0.7963529168127907,0.8293520095905105
manavgat_2021,1,0,4,52,3971,1212,15.801344879471495,0.9524317056753455,0.9343248379352416
manavgat_2021,1,4,3,77,4071,1204,20.611768483077817,0.9580881432930057,0.9474624618675962
manavgat_2021,1,0,12,72,4081,1250,15.35944334928841,0.9347680508877513,0.9403761499148211
manavgat_2021,1,4,0,14,3945,1175,17.50378530489905,0.8908128159121481,0.879759614339048
manavgat_2021,1,0,4,68,4041,1215,17.69364292620375,0.9424311370631605,0.942095190022504
manavgat_2021,1,0,12,75,4075,1239,15.92262541165872,0.9338134843908404,0.9336448996484223
manavgat_2021,1,0,1,62,3981,1183,18.0,0.9491623542320057,0.9444466685195293
