frame,source,target,model,n,positives,prevalence,auc,ap,ap_lift,pauc01,cap10,cap10_norm,cap20,cap20_norm
ref_full_full,manavgat_2021,bejis_2022,thermal,15190,1100,0.07241606319947334,0.3964026711400735,0.05417448341892161,0.7481003664849265,0.47474336205052275,0.00909090909090909,-0.10101010101010101,0.05,-0.18750000000000003
ref_full_full,manavgat_2021,bejis_2022,baseline,15190,1100,0.07241606319947334,0.37069117362410486,0.052010675967464864,0.718220152677992,0.47592510212883005,0.012727272727272728,-0.09696969696969697,0.04454545454545455,-0.1943181818181818
ref_full_full,manavgat_2021,mugla_2021,thermal,41730,2911,0.06975796788880902,0.4376617829318566,0.05951686892404788,0.8531909791138845,0.4915923299505107,0.07145310889728615,-0.03171876789190428,0.15596015115080727,-0.05504981106149092
ref_full_full,manavgat_2021,mugla_2021,baseline,41730,2911,0.06975796788880902,0.4656065622633644,0.06519776046968895,0.9346281499141599,0.49611409930690575,0.08175884575747167,-0.02026794915836482,0.18722088629336997,-0.01597389213328755
ref_full_full,manavgat_2021,evia_2021_extended,thermal,9298,2664,0.28651322865132284,0.6540092625033838,0.4065333593047762,1.418899089645574,0.5376311446238299,0.17342342342342343,0.2948447392221886,0.3258258258258258,0.2526379258365992
ref_full_full,manavgat_2021,evia_2021_extended,baseline,9298,2664,0.28651322865132284,0.6225921429418566,0.36835056989917536,1.2856319815775274,0.5172275277355962,0.14339339339339338,0.17425384383479034,0.28453453453453453,0.16973168525776297
ref_full_full,manavgat_2021,montiferru_2021,thermal,2544,539,0.21187106918238993,0.5178084473417569,0.24319094268194025,1.1478251543281188,0.5175838355483228,0.14656771799628943,0.1251870324189526,0.26159554730983303,0.0827930174563591
ref_full_full,manavgat_2021,montiferru_2021,baseline,2544,539,0.21187106918238993,0.5339859997501608,0.22516683861700296,1.0627540583333126,0.49707559048867433,0.10760667903525047,0.020448877805486276,0.23376623376623376,0.045386533665835394
ref_full_full,bejis_2022,manavgat_2021,thermal,20511,2935,0.14309394958802593,0.3141548720223256,0.09776772462629946,0.683241499083485,0.482421376100313,0.03339011925042589,-0.11123122439690485,0.07189097103918228,-0.16013628620102213
ref_full_full,bejis_2022,manavgat_2021,baseline,20511,2935,0.14309394958802593,0.2965551309319895,0.09644753386308019,0.6740154572625683,0.4827194807392244,0.03645655877342419,-0.1061106053709604,0.08006814310051108,-0.14991482112436116
ref_full_full,bejis_2022,mugla_2021,thermal,41730,2911,0.06975796788880902,0.6184747489978262,0.09253859122869845,1.3265666135257939,0.5082949292565858,0.13603572655444865,0.0400396961716096,0.27619374785297146,0.09524218481621431
ref_full_full,bejis_2022,mugla_2021,baseline,41730,2911,0.06975796788880902,0.5922389908669757,0.09363146544008288,1.3422332713207346,0.5200974756283437,0.15321195465475781,0.05912439406084201,0.26932325661284784,0.08665407076605978
ref_full_full,bejis_2022,evia_2021_extended,thermal,9298,2664,0.28651322865132284,0.38282143313044736,0.2257835213181088,0.7880387316876035,0.4815382477029812,0.039414414414414414,-0.2432921314440759,0.11373873873873874,-0.1731986735001507
ref_full_full,bejis_2022,evia_2021_extended,baseline,9298,2664,0.28651322865132284,0.5304608855916513,0.28226178335034546,0.9851614345313485,0.4838108223895952,0.07545045045045046,-0.09858305697919803,0.16366366366366367,-0.07295749170937593
ref_full_full,bejis_2022,montiferru_2021,thermal,2544,539,0.21187106918238993,0.5937253341599618,0.28874094281489027,1.3628143942877196,0.5356667407742727,0.15769944341372913,0.15511221945137157,0.22077922077922077,0.027930174563590995
ref_full_full,bejis_2022,montiferru_2021,baseline,2544,539,0.21187106918238993,0.5530362405674126,0.22698718507235782,1.0713458234212956,0.49306257839436174,0.055658627087198514,-0.11920199501246885,0.20222634508348794,0.0029925187032418805
ref_full_full,mugla_2021,manavgat_2021,thermal,20511,2935,0.14309394958802593,0.3449553227686198,0.1007227330135432,0.7038923260104888,0.47625055497986973,0.013287904599659284,-0.1447997269003186,0.03304940374787053,-0.20868824531516186
ref_full_full,mugla_2021,manavgat_2021,baseline,20511,2935,0.14309394958802593,0.4222591457764537,0.11374056637797869,0.7948663567218811,0.4810389206836789,0.03645655877342419,-0.1061106053709604,0.08858603066439523,-0.13926746166950596
ref_full_full,mugla_2021,bejis_2022,thermal,15190,1100,0.07241606319947334,0.5831912381443964,0.08827191688193281,1.2189549249423266,0.5093785337593937,0.12090909090909091,0.023232323232323226,0.23545454545454544,0.04431818181818179
ref_full_full,mugla_2021,bejis_2022,baseline,15190,1100,0.07241606319947334,0.4507383379572875,0.06416586588786181,0.886072275306019,0.4976273511703641,0.08636363636363636,-0.015151515151515155,0.15636363636363637,-0.05454545454545455
ref_full_full,mugla_2021,evia_2021_extended,thermal,9298,2664,0.28651322865132284,0.6534051763551312,0.37875246411339963,1.321937091338735,0.5206552410271688,0.14451951951951952,0.17877600241181785,0.265015015015015,0.13053964425685854
ref_full_full,mugla_2021,evia_2021_extended,baseline,9298,2664,0.28651322865132284,0.5997551855443022,0.34369850447793965,1.1995903508392955,0.511713310346349,0.12462462462462462,0.09888453421766649,0.240990990990991,0.08230328610189928
ref_full_full,mugla_2021,montiferru_2021,thermal,2544,539,0.21187106918238993,0.5312433202707516,0.21430398922752314,1.0114830215117234,0.4875739077265337,0.08905380333951762,-0.02942643391521199,0.20037105751391465,0.0004987531172069614
ref_full_full,mugla_2021,montiferru_2021,baseline,2544,539,0.21187106918238993,0.6105251713018012,0.2825954007520012,1.333808347890707,0.5227583808762442,0.16512059369202226,0.17506234413965083,0.300556586270872,0.1351620947630923
ref_full_full,evia_2021_extended,manavgat_2021,thermal,20511,2935,0.14309394958802593,0.6768829881850658,0.32088833865905136,2.242501095139967,0.5837432841773225,0.2705281090289608,0.28476331360946733,0.4221465076660988,0.27768313458262345
ref_full_full,evia_2021_extended,manavgat_2021,baseline,20511,2935,0.14309394958802593,0.7273654778585326,0.29184880895484727,2.039560790621081,0.5639514134126723,0.25008517887563886,0.2506258534365043,0.43679727427597953,0.29599659284497437
ref_full_full,evia_2021_extended,bejis_2022,thermal,15190,1100,0.07241606319947334,0.4480079359958707,0.059184248321390825,0.8172806654562969,0.4742007124398518,0.007272727272727273,-0.10303030303030303,0.06,-0.17500000000000002
ref_full_full,evia_2021_extended,bejis_2022,baseline,15190,1100,0.07241606319947334,0.39173411187818563,0.053976090011806165,0.7453607338903051,0.47996543070690467,0.024545454545454544,-0.08383838383838385,0.060909090909090906,-0.17386363636363636
ref_full_full,evia_2021_extended,mugla_2021,thermal,41730,2911,0.06975796788880902,0.576836486299561,0.08561939439002765,1.2273779896584862,0.5140121257662359,0.1387839230504981,0.04309324783388678,0.24768120920645825,0.0596015115080728
ref_full_full,evia_2021_extended,mugla_2021,baseline,41730,2911,0.06975796788880902,0.5125008330596732,0.0816148991849096,1.169972429744513,0.515038217467903,0.13397457918241154,0.037749532424901706,0.2387495705942975,0.048436963242871854
ref_full_full,evia_2021_extended,montiferru_2021,thermal,2544,539,0.21187106918238993,0.6467042042389389,0.2829027511086257,1.335258995956111,0.5047558332953866,0.10946196660482375,0.025436408977556113,0.2541743970315399,0.07281795511221942
ref_full_full,evia_2021_extended,montiferru_2021,baseline,2544,539,0.21187106918238993,0.5494242131221113,0.25786601392099906,1.2170893124582962,0.5188622526293387,0.14100185528756956,0.1102244389027431,0.24675324675324675,0.06284289276807979
ref_full_full,montiferru_2021,manavgat_2021,thermal,20511,2935,0.14309394958802593,0.40410656586843297,0.11309560200174143,0.790359077566514,0.4856730000451779,0.05144804088586031,-0.08107646791078743,0.11754684838160136,-0.10306643952299831
ref_full_full,montiferru_2021,manavgat_2021,baseline,20511,2935,0.14309394958802593,0.33794866237761106,0.10149748008899191,0.7093065806150982,0.48250068225947035,0.03952299829642249,-0.10098998634501592,0.0868824531516184,-0.141396933560477
