cell_id,row_500m,col_500m,burned,valid_for_modeling,burnable_tree_shrub_grass
r43_c105,43,105,0,True,True
r43_c106,43,106,0,True,True
r43_c107,43,107,0,True,True
r43_c108,43,108,0,True,True
r44_c105,44,105,0,True,False
r44_c106,44,106,0,True,True
r44_c107,44,107,0,True,True
r44_c108,44,108,0,True,True
r45_c105,45,105,0,True,True
r45_c106,45,106,0,True,True
r45_c107,45,107,0,True,True
r45_c108,45,108,0,True,True
r46_c105,46,105,0,True,True
r46_c106,46,106,0,True,True
r46_c107,46,107,0,True,True
r46_c108,46,108,0,True,True
r47_c107,47,107,0,True,True
r47_c108,47,108,0,True,True
r52_c60,52,60,1,True,True
r52_c61,52,61,1,True,True
r52_c62,52,62,1,True,True
r52_c64,52,64,1,True,True
r52_c65,52,65,1,True,True
r53_c60,53,60,1,True,True
r53_c61,53,61,1,True,True
r53_c62,53,62,1,True,True
r53_c64,53,64,1,True,True
r53_c65,53,65,1,True,True
r85_c21,85,21,0,True,True
r85_c22,85,22,0,True,True
r85_c23,85,23,0,True,True
r85_c24,85,24,0,True,True
r86_c21,86,21,0,True,True
r86_c22,86,22,0,True,True
r86_c23,86,23,0,True,True
r86_c24,86,24,0,True,True
r86_c25,86,25,0,True,True
r87_c21,87,21,0,True,True
r87_c22,87,22,0,True,True
r87_c23,87,23,0,True,True
r87_c24,87,24,0,True,True
r87_c25,87,25,0,True,True
r88_c22,88,22,0,True,True
r88_c23,88,23,0,True,True
r88_c24,88,24,0,True,True
r88_c25,88,25,0,True,True
r89_c23,89,23,0,True,True
r89_c24,89,24,0,True,True
r89_c25,89,25,0,True,True
