cell_id,row_500m,col_500m,burned,hist5,gap
r8_c4,8,4,0,True,False
r8_c5,8,5,0,True,False
r9_c4,9,4,0,True,False
r9_c5,9,5,0,True,False
r64_c141,64,141,0,True,False
r64_c142,64,142,0,True,False
r64_c143,64,143,0,True,False
r64_c144,64,144,0,True,False
r64_c145,64,145,0,True,False
r64_c146,64,146,0,True,False
r64_c147,64,147,0,True,False
r65_c140,65,140,0,True,False
r65_c141,65,141,0,True,False
r65_c142,65,142,0,True,False
r65_c143,65,143,0,True,False
r65_c144,65,144,0,True,False
r65_c145,65,145,0,True,False
r65_c146,65,146,0,True,False
r65_c147,65,147,0,True,False
r66_c140,66,140,0,True,False
r66_c141,66,141,0,True,False
r66_c142,66,142,0,True,False
r66_c143,66,143,0,True,False
r66_c144,66,144,0,True,False
r66_c145,66,145,0,True,False
r66_c146,66,146,0,True,False
r66_c147,66,147,0,True,False
r67_c140,67,140,0,True,False
r67_c141,67,141,0,True,False
r67_c142,67,142,0,True,False
r67_c143,67,143,0,True,False
r67_c144,67,144,0,True,False
r67_c145,67,145,0,True,False
r67_c146,67,146,0,True,False
r67_c147,67,147,0,True,False
r68_c141,68,141,0,True,False
r68_c142,68,142,0,True,False
r68_c143,68,143,0,True,False
r68_c144,68,144,0,True,False
r68_c145,68,145,0,True,False
r68_c146,68,146,0,True,False
r68_c147,68,147,0,True,False
r72_c112,72,112,0,True,False
r72_c113,72,113,0,True,False
r72_c114,72,114,0,True,False
r72_c115,72,115,0,True,False
r72_c116,72,116,0,True,False
r72_c117,72,117,0,True,False
r72_c118,72,118,0,True,False
r72_c119,72,119,0,True,False
r72_c120,72,120,0,True,False
r72_c121,72,121,0,True,False
r72_c122,72,122,0,True,False
r73_c112,73,112,0,True,False
r73_c113,73,113,0,True,False
r73_c114,73,114,0,True,False
r73_c115,73,115,0,True,False
r73_c116,73,116,0,True,False
r73_c117,73,117,0,True,False
r73_c118,73,118,0,True,False
r73_c119,73,119,0,True,False
r73_c120,73,120,0,True,False
r73_c121,73,121,0,True,False
r73_c122,73,122,0,True,False
r73_c123,73,123,0,True,False
r73_c124,73,124,0,True,False
r73_c125,73,125,0,True,False
r73_c129,73,129,0,True,False
r73_c130,73,130,0,True,False
r73_c131,73,131,0,True,False
r73_c132,73,132,0,True,False
r73_c133,73,133,0,True,False
r74_c112,74,112,0,True,False
r74_c113,74,113,0,True,False
r74_c114,74,114,0,True,False
r74_c115,74,115,0,True,False
r74_c116,74,116,0,True,False
r74_c117,74,117,0,True,False
r74_c118,74,118,0,True,False
r74_c119,74,119,0,True,False
r74_c120,74,120,0,True,False
r74_c121,74,121,0,True,False
r74_c122,74,122,0,True,False
r74_c123,74,123,0,True,False
r74_c124,74,124,0,True,False
r74_c125,74,125,0,True,False
r74_c127,74,127,0,True,False
r74_c128,74,128,0,True,False
r74_c129,74,129,0,True,False
r74_c130,74,130,0,True,False
r74_c131,74,131,0,True,False
r74_c132,74,132,0,True,False
r74_c133,74,133,0,True,False
r75_c112,75,112,0,True,False
r75_c113,75,113,0,True,False
r75_c114,75,114,0,True,False
r75_c115,75,115,0,True,False
r75_c116,75,116,0,True,False
r75_c117,75,117,0,True,False
r75_c118,75,118,0,True,False
r75_c119,75,119,0,True,False
r75_c120,75,120,0,True,False
r75_c121,75,121,0,True,False
r75_c122,75,122,0,True,False
r75_c123,75,123,0,True,False
r75_c124,75,124,0,True,False
r75_c125,75,125,0,True,False
r75_c127,75,127,0,True,False
r75_c128,75,128,0,True,False
r75_c129,75,129,0,True,False
r75_c130,75,130,0,True,False
r75_c131,75,131,0,True,False
r75_c132,75,132,0,True,False
r75_c133,75,133,0,True,False
r76_c112,76,112,0,True,False
r76_c113,76,113,0,True,False
r76_c114,76,114,0,True,False
r76_c115,76,115,0,True,False
r76_c116,76,116,0,True,False
r76_c117,76,117,0,True,False
r76_c118,76,118,0,True,False
r76_c119,76,119,0,True,False
r76_c120,76,120,0,True,False
r76_c121,76,121,0,True,False
r76_c122,76,122,0,True,False
r76_c123,76,123,0,True,False
r76_c127,76,127,0,True,False
r76_c128,76,128,0,True,False
r76_c129,76,129,0,True,False
r76_c130,76,130,0,True,False
r76_c131,76,131,0,True,False
r76_c132,76,132,0,True,False
r76_c133,76,133,0,True,False
r77_c112,77,112,0,True,False
r77_c113,77,113,0,True,False
r77_c114,77,114,0,True,False
r77_c115,77,115,0,True,False
r77_c116,77,116,0,True,False
r77_c117,77,117,0,True,False
r77_c118,77,118,0,True,False
r77_c119,77,119,0,True,False
r77_c120,77,120,0,True,False
r77_c128,77,128,0,True,False
r77_c129,77,129,0,True,False
r77_c130,77,130,0,True,False
r77_c131,77,131,0,True,False
r77_c132,77,132,0,True,False
r78_c112,78,112,0,True,False
r78_c113,78,113,0,True,False
r78_c114,78,114,0,True,False
r78_c115,78,115,0,True,False
r78_c116,78,116,0,True,False
r78_c117,78,117,0,True,False
r78_c118,78,118,0,True,False
r78_c119,78,119,0,True,False
r78_c129,78,129,0,True,False
r78_c130,78,130,0,True,False
r78_c131,78,131,0,True,False
r78_c132,78,132,0,True,False
r79_c112,79,112,0,True,False
r79_c113,79,113,0,True,False
r79_c114,79,114,0,True,False
r79_c115,79,115,0,True,False
