cell_id,row_500m,col_500m,burned,hist5,gap
r80_c70,80,70,1,True,False
r80_c71,80,71,1,True,False
r80_c72,80,72,1,True,False
r80_c73,80,73,1,True,False
r80_c74,80,74,1,True,False
r81_c69,81,69,1,True,False
r81_c70,81,70,1,True,False
r81_c71,81,71,1,True,False
r81_c72,81,72,1,True,False
r81_c73,81,73,1,True,False
r81_c74,81,74,1,True,False
r81_c75,81,75,1,True,False
r82_c60,82,60,1,True,False
r82_c61,82,61,1,True,False
r82_c62,82,62,1,True,False
r82_c63,82,63,1,True,False
r82_c64,82,64,1,True,False
r82_c65,82,65,1,True,False
r82_c66,82,66,1,True,False
r82_c67,82,67,1,True,False
r82_c68,82,68,1,True,False
r82_c69,82,69,1,True,False
r82_c70,82,70,1,True,False
r82_c71,82,71,1,True,False
r82_c72,82,72,1,True,False
r82_c73,82,73,1,True,False
r82_c74,82,74,1,True,False
r83_c60,83,60,1,True,False
r83_c61,83,61,1,True,False
r83_c62,83,62,1,True,False
r83_c63,83,63,1,True,False
r83_c64,83,64,1,True,False
r83_c65,83,65,1,True,False
r83_c66,83,66,1,True,False
r83_c67,83,67,1,True,False
r83_c68,83,68,1,True,False
r83_c69,83,69,1,True,False
r83_c70,83,70,1,True,False
r83_c71,83,71,1,True,False
r83_c72,83,72,1,True,False
r83_c73,83,73,1,True,False
r83_c74,83,74,1,True,False
r84_c60,84,60,1,True,False
r84_c61,84,61,1,True,False
r84_c62,84,62,1,True,False
r84_c63,84,63,1,True,False
r84_c64,84,64,1,True,False
r84_c65,84,65,1,True,False
r84_c66,84,66,1,True,False
r84_c67,84,67,0,True,False
r84_c68,84,68,1,True,False
r84_c69,84,69,1,True,False
r84_c70,84,70,1,True,False
r84_c71,84,71,1,True,False
r84_c72,84,72,1,True,False
r84_c73,84,73,1,True,False
r84_c74,84,74,1,True,False
r84_c75,84,75,1,True,False
r85_c60,85,60,1,True,False
r85_c61,85,61,1,True,False
r85_c62,85,62,1,True,False
r85_c63,85,63,1,True,False
r85_c64,85,64,0,True,False
r85_c65,85,65,0,True,False
r85_c66,85,66,0,True,False
r85_c67,85,67,0,True,False
r85_c68,85,68,0,True,False
r85_c69,85,69,1,True,False
r85_c70,85,70,1,True,False
r85_c71,85,71,1,True,False
r85_c72,85,72,1,True,False
r85_c73,85,73,1,True,False
r85_c74,85,74,1,True,False
r85_c75,85,75,1,True,False
r86_c62,86,62,0,True,False
r86_c63,86,63,0,True,False
r86_c64,86,64,0,True,False
r86_c65,86,65,0,True,False
r86_c66,86,66,0,True,False
r86_c67,86,67,0,True,False
r86_c68,86,68,0,True,False
r86_c69,86,69,1,True,False
r86_c70,86,70,1,True,False
r86_c71,86,71,1,True,False
r86_c72,86,72,1,True,False
r86_c73,86,73,1,True,False
r86_c74,86,74,1,True,False
r87_c62,87,62,0,True,False
r87_c63,87,63,0,True,False
r87_c64,87,64,0,True,False
r87_c65,87,65,0,True,False
r87_c66,87,66,0,True,False
r87_c67,87,67,0,True,False
r87_c68,87,68,0,True,False
r87_c69,87,69,0,True,False
r87_c70,87,70,0,True,False
r87_c71,87,71,1,True,False
r87_c72,87,72,1,True,False
r87_c73,87,73,1,True,False
r88_c64,88,64,0,True,False
r88_c65,88,65,0,True,False
r88_c66,88,66,0,True,False
r88_c67,88,67,0,True,False
r88_c68,88,68,0,True,False
r88_c69,88,69,0,True,False
r88_c70,88,70,0,True,False
r88_c71,88,71,1,True,False
r88_c72,88,72,1,True,False
r89_c64,89,64,0,True,False
r89_c65,89,65,0,True,False
r89_c66,89,66,0,True,False
r89_c67,89,67,0,True,False
r89_c68,89,68,0,True,False
r89_c69,89,69,0,True,False
r89_c70,89,70,0,True,False
r89_c71,89,71,1,True,False
r89_c72,89,72,1,True,False
r90_c66,90,66,0,True,False
r90_c67,90,67,0,True,False
r90_c68,90,68,0,True,False
r90_c69,90,69,0,True,False
r90_c70,90,70,0,True,False
r90_c71,90,71,0,True,False
r90_c72,90,72,1,True,False
r90_c73,90,73,1,True,False
r91_c68,91,68,0,True,False
r91_c69,91,69,0,True,False
r91_c70,91,70,0,True,False
r91_c71,91,71,0,True,False
r91_c72,91,72,1,True,False
r91_c73,91,73,1,True,False
r92_c67,92,67,0,True,False
r92_c68,92,68,0,True,False
r92_c69,92,69,0,True,False
r92_c70,92,70,0,True,False
r92_c71,92,71,0,True,False
r92_c72,92,72,1,True,False
r92_c73,92,73,1,True,False
r93_c67,93,67,0,True,False
r93_c68,93,68,0,True,False
r93_c69,93,69,0,True,False
r93_c70,93,70,0,True,False
r93_c71,93,71,0,True,False
r93_c72,93,72,0,True,False
r94_c69,94,69,0,True,False
r94_c70,94,70,0,True,False
r94_c71,94,71,0,True,False
r94_c72,94,72,1,True,False
r95_c70,95,70,0,True,False
r95_c71,95,71,0,True,False
r108_c128,108,128,0,True,False
r108_c129,108,129,0,True,False
r108_c130,108,130,0,True,False
r108_c131,108,131,0,True,False
r108_c132,108,132,0,True,False
r108_c133,108,133,0,True,False
r108_c134,108,134,0,True,False
r108_c135,108,135,0,True,False
r108_c136,108,136,0,True,False
r108_c137,108,137,0,True,False
r108_c138,108,138,0,True,False
r108_c139,108,139,0,True,False
r108_c140,108,140,0,True,False
r108_c141,108,141,0,True,False
r109_c127,109,127,0,True,False
r109_c128,109,128,0,True,False
r109_c129,109,129,0,True,False
r109_c130,109,130,0,True,False
r109_c131,109,131,0,True,False
r109_c132,109,132,0,True,False
r109_c133,109,133,0,True,False
