cell_id,row_500m,col_500m,burned,hist5,gap
r1_c29,1,29,1,True,False
r1_c32,1,32,0,True,False
r1_c33,1,33,0,True,False
r2_c27,2,27,0,True,False
r2_c28,2,28,0,True,False
r2_c29,2,29,1,True,False
r2_c30,2,30,1,True,False
r2_c31,2,31,0,True,False
r2_c32,2,32,0,True,False
r2_c33,2,33,0,True,False
r2_c34,2,34,0,True,False
r2_c35,2,35,0,True,False
r3_c26,3,26,0,True,False
r3_c27,3,27,0,True,False
r3_c28,3,28,0,True,False
r3_c29,3,29,0,True,False
r3_c30,3,30,0,True,False
r3_c31,3,31,0,True,False
r3_c34,3,34,0,True,False
r4_c25,4,25,0,True,False
r4_c26,4,26,1,True,False
r4_c27,4,27,1,True,False
r4_c28,4,28,1,True,False
r4_c29,4,29,1,True,False
r4_c31,4,31,1,True,False
r4_c32,4,32,1,True,False
r4_c33,4,33,1,True,False
r4_c34,4,34,1,True,False
r5_c27,5,27,1,True,False
r5_c28,5,28,1,True,False
r5_c29,5,29,1,True,False
r5_c30,5,30,1,True,False
r5_c31,5,31,1,True,False
r5_c34,5,34,1,True,False
r6_c24,6,24,1,True,False
r6_c31,6,31,1,True,False
r6_c33,6,33,1,True,False
r7_c24,7,24,1,True,False
r7_c25,7,25,1,True,False
r7_c28,7,28,1,True,False
r7_c29,7,29,1,True,False
r7_c30,7,30,1,True,False
r7_c32,7,32,1,True,False
r7_c61,7,61,0,True,False
r7_c62,7,62,0,True,False
r7_c63,7,63,0,True,False
r7_c64,7,64,0,True,False
r8_c25,8,25,1,True,False
r8_c26,8,26,1,True,False
r8_c61,8,61,0,True,False
r8_c62,8,62,0,True,False
r8_c63,8,63,0,True,False
r9_c62,9,62,0,True,False
r9_c63,9,63,0,True,False
r10_c26,10,26,1,True,False
r10_c27,10,27,1,True,False
r11_c26,11,26,1,True,False
r11_c27,11,27,1,True,False
