cell_id,row_500m,col_500m,burned,hist5,gap
r10_c127,10,127,0,True,False
r10_c128,10,128,0,True,False
r11_c126,11,126,0,True,False
r11_c127,11,127,0,True,False
r11_c128,11,128,0,True,False
r20_c160,20,160,0,True,False
r20_c161,20,161,0,True,False
r20_c162,20,162,0,True,False
r20_c163,20,163,0,True,False
r20_c164,20,164,0,True,False
r20_c165,20,165,0,True,False
r20_c166,20,166,0,True,False
r21_c159,21,159,0,True,False
r21_c160,21,160,0,True,False
r21_c161,21,161,0,True,False
r21_c162,21,162,0,True,False
r21_c163,21,163,0,True,False
r21_c164,21,164,0,True,False
r21_c165,21,165,0,True,False
r21_c166,21,166,0,True,False
r22_c162,22,162,0,True,False
r22_c163,22,163,0,True,False
r22_c164,22,164,0,True,False
r22_c165,22,165,0,True,False
r22_c166,22,166,0,True,False
r22_c167,22,167,0,True,False
r23_c164,23,164,0,True,False
r23_c165,23,165,0,True,False
r23_c166,23,166,0,True,False
r23_c167,23,167,0,True,False
r24_c164,24,164,0,True,False
r24_c165,24,165,0,True,False
r24_c166,24,166,0,True,False
r24_c167,24,167,0,True,False
r47_c121,47,121,0,True,False
r47_c122,47,122,0,True,False
r48_c121,48,121,0,True,False
r48_c122,48,122,0,True,False
r78_c208,78,208,0,True,False
r78_c209,78,209,0,True,False
r78_c210,78,210,0,True,False
r78_c212,78,212,0,True,False
r78_c213,78,213,0,True,False
r78_c214,78,214,0,True,False
r78_c215,78,215,0,True,False
r78_c216,78,216,0,True,False
r79_c208,79,208,0,True,False
r79_c209,79,209,0,True,False
r79_c210,79,210,0,True,False
r79_c211,79,211,0,True,False
r79_c212,79,212,0,True,False
r79_c213,79,213,0,True,False
r79_c214,79,214,0,True,False
r79_c215,79,215,0,True,False
r79_c216,79,216,0,True,False
r80_c131,80,131,1,True,False
r80_c132,80,132,1,True,False
r80_c133,80,133,1,True,False
r80_c134,80,134,1,True,False
r80_c207,80,207,0,True,False
r80_c208,80,208,0,True,False
r80_c209,80,209,0,True,False
r80_c210,80,210,0,True,False
r80_c211,80,211,0,True,False
r80_c212,80,212,0,True,False
r80_c213,80,213,0,True,False
r80_c214,80,214,0,True,False
r80_c215,80,215,0,True,False
r81_c130,81,130,1,True,False
r81_c131,81,131,1,True,False
r81_c132,81,132,1,True,False
r81_c133,81,133,1,True,False
r81_c134,81,134,1,True,False
r81_c135,81,135,1,True,False
r81_c210,81,210,0,True,False
r81_c211,81,211,0,True,False
r81_c212,81,212,0,True,False
r81_c213,81,213,0,True,False
r81_c214,81,214,0,True,False
