source,target,baseline,thermal,delta,delta_ci_B10,support_B10,delta_ci_B2,support_B2
manavgat_2021,bejis_2022,0.37392282485949463,0.39937655437116915,0.025453729511674517,"[-0.01591310762556956, 0.06788600204388734]",uncertain_ci_overlaps_zero,"[0.010028921336988302, 0.0436633076874438]",positive_bootstrap_support
manavgat_2021,mugla_2021,0.46392498827815776,0.4351098849869872,-0.02881510329117054,"[-0.05566134419088192, -0.0012089063078046882]",negative_bootstrap_support,"[-0.040811641260378076, -0.016171810201962747]",negative_bootstrap_support
manavgat_2021,evia_2021_extended,0.6273657770424775,0.6552217863299313,0.027856009287453798,"[-0.00905257152681292, 0.06615563411769827]",uncertain_ci_overlaps_zero,"[0.012113621654540815, 0.04303046113660413]",positive_bootstrap_support
manavgat_2021,montiferru_2021,0.5285836589914018,0.5043170250151243,-0.024266633976277485,"[-0.10207947614147962, 0.05581427277756282]",uncertain_ci_overlaps_zero,"[-0.05248186608572127, 0.007263390899144875]",uncertain_ci_overlaps_zero
bejis_2022,manavgat_2021,0.3060338493950633,0.30455275662414055,-0.0014810927709227317,"[-0.0292241627830111, 0.02696799146303432]",uncertain_ci_overlaps_zero,"[-0.011713537798495275, 0.008644114281984916]",uncertain_ci_overlaps_zero
bejis_2022,mugla_2021,0.5966270723903324,0.6189712929169591,0.022344220526626657,"[-0.017929645651829064, 0.060120056954423934]",uncertain_ci_overlaps_zero,"[0.009477513393451237, 0.034631988112146496]",positive_bootstrap_support
bejis_2022,evia_2021_extended,0.547831449425202,0.37578274941464807,-0.17204870001055395,"[-0.2203486421333662, -0.1241453071824026]",negative_bootstrap_support,"[-0.19258874406701923, -0.15006073738146478]",negative_bootstrap_support
bejis_2022,montiferru_2021,0.5683642745873088,0.59479963681775,0.026435362230441295,"[-0.046263334720015106, 0.09341099284145843]",uncertain_ci_overlaps_zero,"[-0.0040911877996625155, 0.05442195189816556]",uncertain_ci_overlaps_zero
mugla_2021,manavgat_2021,0.4196177186018723,0.3395574071503731,-0.08006031145149922,"[-0.10913068557456095, -0.053557249703636296]",negative_bootstrap_support,"[-0.09268324175215534, -0.06770900266946009]",negative_bootstrap_support
mugla_2021,bejis_2022,0.46842281506818023,0.570770054243882,0.10234723917570182,"[0.03854553365383963, 0.15698164782210058]",positive_bootstrap_support,"[0.07818795026650294, 0.1268770944326267]",positive_bootstrap_support
mugla_2021,evia_2021_extended,0.5974045407283771,0.6501441758948361,0.052739635166458965,"[0.02140851355033036, 0.0857015046094809]",positive_bootstrap_support,"[0.03684272583007106, 0.06686592792093711]",positive_bootstrap_support
mugla_2021,montiferru_2021,0.6219486063229991,0.5249558231250616,-0.09699278319793747,"[-0.1990525767782006, 0.030431085238945173]",uncertain_ci_overlaps_zero,"[-0.14194289451028738, -0.04935829268235864]",negative_bootstrap_support
evia_2021_extended,manavgat_2021,0.7415789709368281,0.6409476411615964,-0.1006313297752317,"[-0.1619852401546741, -0.045914512120242716]",negative_bootstrap_support,"[-0.11917524183209778, -0.08346390264068941]",negative_bootstrap_support
evia_2021_extended,bejis_2022,0.3375710359863444,0.3779189540265149,0.04034791804017046,"[-0.008887809852245104, 0.09247141208999309]",uncertain_ci_overlaps_zero,"[0.020373565240371122, 0.06265092478996642]",positive_bootstrap_support
evia_2021_extended,mugla_2021,0.5035244240160153,0.5758889952745063,0.07236457125849105,"[-0.0007141601452803094, 0.14527997118854782]",uncertain_ci_overlaps_zero,"[0.05065414104250709, 0.0934418805570182]",positive_bootstrap_support
evia_2021_extended,montiferru_2021,0.5509307292647752,0.6615687599478948,0.11063803068311961,"[0.030358714683444983, 0.1980310575461925]",positive_bootstrap_support,"[0.06427226696661, 0.1542478190621596]",positive_bootstrap_support
montiferru_2021,manavgat_2021,0.3366718709654407,0.38970028628166486,0.05302841531622415,"[0.011188354967706166, 0.09907212632834168]",positive_bootstrap_support,"[0.03890523259449823, 0.06648129715970647]",positive_bootstrap_support
montiferru_2021,bejis_2022,0.6024174102626031,0.5705591819683153,-0.03185822829428775,"[-0.06763250374097537, 0.0033828384563650204]",uncertain_ci_overlaps_zero,"[-0.048292623131006365, -0.014179821113431548]",negative_bootstrap_support
montiferru_2021,mugla_2021,0.6490213404767091,0.6433853890710295,-0.005635951405679629,"[-0.05806029396576301, 0.043743378371453576]",uncertain_ci_overlaps_zero,"[-0.02054653765706516, 0.008091193557325302]",uncertain_ci_overlaps_zero
montiferru_2021,evia_2021_extended,0.5509654703434717,0.6144906607538629,0.06352519041039129,"[0.022525846616102223, 0.10467121648218253]",positive_bootstrap_support,"[0.046401278867892554, 0.07903557365644219]",positive_bootstrap_support
