direction,source,target,positive_count,negative_count,raw_thermal_roc,raw_thermal_pr,raw_thermal_roc_lo,raw_thermal_roc_hi,raw_thermal_pr_lo,raw_thermal_pr_hi,raw_baseline_roc,raw_baseline_pr,raw_baseline_roc_lo,raw_baseline_roc_hi,raw_baseline_pr_lo,raw_baseline_pr_hi,z_thermal_roc,z_thermal_pr,z_thermal_roc_lo,z_thermal_roc_hi,z_thermal_pr_lo,z_thermal_pr_hi,z_baseline_roc,z_baseline_pr,z_baseline_roc_lo,z_baseline_roc_hi,z_baseline_pr_lo,z_baseline_pr_hi,coral_thermal_roc,coral_thermal_pr,coral_thermal_roc_lo,coral_thermal_roc_hi,coral_thermal_pr_lo,coral_thermal_pr_hi,coral_baseline_roc,coral_baseline_pr,coral_baseline_roc_lo,coral_baseline_roc_hi,coral_baseline_pr_lo,coral_baseline_pr_hi,within_thermal_roc,within_thermal_pr,within_thermal_roc_lo,within_thermal_roc_hi,within_thermal_pr_lo,within_thermal_pr_hi,within_baseline_roc,within_baseline_pr,within_baseline_roc_lo,within_baseline_roc_hi,within_baseline_pr_lo,within_baseline_pr_hi,prevalence
bejis_2022_to_evia_2021_extended,bejis_2022,evia_2021_extended,2664,6634,0.3828214331304473,0.2257835213181088,0.3630438786042756,0.4019174661402667,0.208885527139773,0.2427065553670514,0.5304610270505659,0.2822618576116462,0.5124590543904082,0.5489162227051457,0.2624688457224259,0.3037897143467472,0.5315998278954264,0.2909285420233045,0.5092765451292832,0.5508467833166735,0.2699746024728818,0.3133874540278703,0.5842327856949503,0.3280115979933249,0.5626402508723732,0.6055160420776279,0.3032289525442013,0.3527646389605802,0.4990973789586994,0.2748417434786117,0.4789378316382308,0.5178399231307814,0.2558501076535456,0.2964035377771772,0.5985424016871861,0.3359096391753359,0.5781425895087429,0.6194897599294047,0.3108197245699196,0.3614589498995204,0.9122372202621674,0.8163670997686907,0.9032670850463208,0.921311229847984,0.7930609904928257,0.841474452810321,0.7589523122760988,0.5159513545668625,0.7423696348521028,0.7743826155067334,0.4855330055775207,0.5531852279021499,0.28651322865132284
bejis_2022_to_manavgat_2021,bejis_2022,manavgat_2021,784,19727,0.4435284296463047,0.034406342979776,0.4077646922401823,0.4799414802678467,0.0288933750363246,0.0416596063890152,0.420907989722984,0.0331903448874847,0.385712730678352,0.4592227649418804,0.0279824349362569,0.0400270729603793,0.4573382668320535,0.0385131893896018,0.4195795818925588,0.4968199708716592,0.0320786371378872,0.0468129691303208,0.4414940920607103,0.0343524328578081,0.4070723607040091,0.4796967974989678,0.028982143044696,0.0410612266268807,0.5553095674321841,0.0427097053649487,0.5278017445727373,0.5828440794043487,0.0366220321881148,0.0498053134314518,0.4560562584896076,0.0349798677271478,0.4201339788070818,0.4910682146404256,0.0293973705184062,0.0427466857714958,0.8696419777927898,0.2156263996380977,0.8538888391904638,0.8832456142641114,0.1786297350186277,0.2566208229446284,0.8027358197042693,0.1188361147290672,0.7835229096136569,0.8206194050343537,0.0995675649239981,0.1428079865183181,0.03822339232606894
bejis_2022_to_montiferru_2021,bejis_2022,montiferru_2021,539,2005,0.5937253341599618,0.2887409428148902,0.5599207417498522,0.6305896470126982,0.235999998884532,0.3487982103417781,0.5530357779021833,0.2269871850723578,0.5156477602808358,0.5956459653532006,0.1913227384767576,0.2678417488560292,0.5495051795372422,0.2540425162902778,0.4997703555020247,0.6008547538204455,0.2084309923218886,0.3097793783676864,0.536642160831687,0.2392981451568708,0.4912044107232755,0.5842645864865014,0.1970717014442033,0.2888592846839335,0.5739649022157038,0.2972916197493216,0.5299856732461299,0.6206741289102083,0.2408256031882668,0.3565887531560864,0.557180333026432,0.2470028863210578,0.511688263422548,0.6032333181397066,0.2044687941860276,0.297386461232884,0.8826347859479317,0.6846394141329942,0.8607664526480031,0.9028682174503468,0.6195366777820278,0.741358094385819,0.7811972850804343,0.4759114438128332,0.7505831035276824,0.8086343867839564,0.4114558472435762,0.5383753808318318,0.21187106918238993
bejis_2022_to_mugla_2021,bejis_2022,mugla_2021,2911,38819,0.6184747489978262,0.0925385912286984,0.6007719815536623,0.6345509090127365,0.0845728668968239,0.1015645611401889,0.5922389997163681,0.0936314654400828,0.5744073247287705,0.6089843455527543,0.0846657667466319,0.1039834429110609,0.5177332840752557,0.0688239034545231,0.5012550025897887,0.5352596621204385,0.0635291549947754,0.0746571493682763,0.5649705351959404,0.0819456319784706,0.5478618587706711,0.5812175006640783,0.0746646345958783,0.0900358326005493,0.5066377964680288,0.0690723899914225,0.4893203960731929,0.5241975570805645,0.0635129042053065,0.0749279641038294,0.5701682656206,0.0835876596838193,0.5533610367253833,0.5864502743013172,0.0759948601835327,0.0921939719195412,0.8589830389802724,0.4467473901441791,0.8481203922419467,0.869914747777123,0.4145333271981496,0.4782379095090955,0.7433200295403336,0.2249450861168977,0.7301716362761909,0.7554337410871782,0.2012045323354268,0.2508982745555573,0.06975796788880902
evia_2021_extended_to_bejis_2022,evia_2021_extended,bejis_2022,1100,14090,0.4480079359958707,0.0591842483213908,0.4257771326040634,0.4698767655478585,0.052661060795988,0.0668855824074006,0.3917341441383315,0.0539760900118061,0.3691127263898981,0.415099646274749,0.0480451860125357,0.0609413679669114,0.5494716433318279,0.0765526215444452,0.5239327513919875,0.5752930612358387,0.0674068600426196,0.0872640621783949,0.48099683850571,0.0692113409305138,0.4561244106101535,0.5082139470784642,0.0603825486099991,0.080784323994488,0.5489253500225821,0.0745688917143,0.525074567158925,0.5734955434916881,0.0661413726454507,0.0844345870213331,0.4862510807148849,0.070481275873518,0.4602416359377028,0.5132165721221006,0.0614455233452518,0.081979088101434,0.9178110845861024,0.4978078062944499,0.9071861695437556,0.9278181938423607,0.4487944812205537,0.5503967096573044,0.8616776566230079,0.3027735748414686,0.8483941657155816,0.8744242952483523,0.2696320147990121,0.3400293028438292,0.07241606319947334
evia_2021_extended_to_manavgat_2021,evia_2021_extended,manavgat_2021,784,19727,0.6857777670301659,0.0937917104825443,0.6529112976117774,0.716409771259136,0.0759511722808804,0.1168171694698802,0.6757598037187197,0.0767791128316813,0.6416022619609535,0.7104881011907782,0.0637094833929644,0.0938913073176206,0.5163020833872151,0.0361148483525623,0.4889308094010603,0.5436458184872212,0.0311424517761187,0.0415828731069732,0.5749988296885136,0.0433722038178807,0.5481204644119825,0.6004423919417186,0.0368133823153323,0.0501979399504564,0.5273082809947622,0.0371490175437376,0.4998776168465104,0.552824569666375,0.0320495648671702,0.0428595997210329,0.5719880902378693,0.0439476266320354,0.5443183463077348,0.599536055628999,0.0374324536803862,0.0511972758942397,0.8696419777927898,0.2156263996380977,0.8538888391904638,0.8832456142641114,0.1786297350186277,0.2566208229446284,0.8027358197042693,0.1188361147290672,0.7835229096136569,0.8206194050343537,0.0995675649239981,0.1428079865183181,0.03822339232606894
evia_2021_extended_to_montiferru_2021,evia_2021_extended,montiferru_2021,539,2005,0.6467042042389389,0.2829027511086257,0.6076923033613082,0.6823574673192492,0.2392864493283328,0.3313673566232759,0.5494242131221113,0.257866013920999,0.5124112445618861,0.5899330148393352,0.2159283363888109,0.3034415538831641,0.5676115832866812,0.2363348341852078,0.527835991770352,0.6085431314591581,0.2007858422391352,0.2766206587457487,0.5194629382018053,0.2245149557179805,0.4791979563478967,0.5603657912433049,0.1907342287694816,0.2618904159156886,0.5814674815743572,0.2380960255993517,0.5392032021202131,0.6234716065110919,0.2017263926102543,0.2787344606435681,0.5188013269238777,0.2313340122120726,0.4782035190605931,0.5597801279343003,0.1971437123376982,0.2700954979751015,0.8826347859479317,0.6846394141329942,0.8607664526480031,0.9028682174503468,0.6195366777820278,0.741358094385819,0.7811972850804343,0.4759114438128332,0.7505831035276824,0.8086343867839564,0.4114558472435762,0.5383753808318318,0.21187106918238993
evia_2021_extended_to_mugla_2021,evia_2021_extended,mugla_2021,2911,38819,0.576836486299561,0.0856193943900276,0.5597352372977346,0.5925311618284088,0.0782512619994441,0.093495995790724,0.5125008330596732,0.0816148991849096,0.4912046254086655,0.5320623140941606,0.0737139814413903,0.0908557394381581,0.5013427713990719,0.0664215647014893,0.48529203907811,0.5178266905607353,0.0611161730227691,0.0721202830852435,0.4902003067925041,0.0673573201525682,0.4717162176074556,0.5062106062434975,0.061469181151865,0.0733867554052418,0.5302390241229922,0.0717027194431094,0.514515120199803,0.5463484994608052,0.0659448461395666,0.0777073380759437,0.4976908926540477,0.069409639286389,0.4800665317584893,0.5138536914379345,0.0635324178133165,0.0754279408739938,0.8589830389802724,0.4467473901441791,0.8481203922419467,0.869914747777123,0.4145333271981496,0.4782379095090955,0.7433200295403336,0.2249450861168977,0.7301716362761909,0.7554337410871782,0.2012045323354268,0.2508982745555573,0.06975796788880902
manavgat_2021_to_bejis_2022,manavgat_2021,bejis_2022,1100,14090,0.3258336344280276,0.0487581216869248,0.3045153867775331,0.3489117706909987,0.0434319038875256,0.0548259989950097,0.3321873669268985,0.0492849230291798,0.3095603068146479,0.3545689315470789,0.0439967893973968,0.055787912752355,0.4770999741918833,0.0666674192031275,0.4506650532294769,0.5018363136676169,0.0584351987088424,0.0761353201782046,0.4081059423188592,0.0570647227405756,0.3837408969176105,0.4332306280665958,0.0506137870022341,0.0652388553885876,0.5105400025808117,0.0695807189177977,0.4839527646503201,0.5342108088326657,0.0612173808431104,0.0790826121143335,0.4198956384282857,0.0574490602641839,0.3965886645487772,0.4426968213825941,0.0508020437485711,0.0654662609654865,0.9178110845861024,0.4978078062944499,0.9071861695437556,0.9278181938423607,0.4487944812205537,0.5503967096573044,0.8616776566230079,0.3027735748414686,0.8483941657155816,0.8744242952483523,0.2696320147990121,0.3400293028438292,0.07241606319947334
manavgat_2021_to_evia_2021_extended,manavgat_2021,evia_2021_extended,2664,6634,0.6125620551965896,0.3426989575695243,0.5931717771385647,0.6314064442015456,0.3181961104162294,0.3690043893797403,0.5938705512868914,0.3528525870102405,0.5742126983914929,0.6126647963747973,0.3274009377221532,0.3808891579217104,0.5422100386488388,0.3124834949186598,0.5198656109154567,0.5645670415104483,0.2880166320557132,0.3381687284028198,0.5309580570923652,0.3075900669093374,0.508960538064011,0.5550535179237919,0.2845138285142154,0.3325772388295104,0.539335536923719,0.3239938001758473,0.5177010989733599,0.5609611055337709,0.2991286108365896,0.3515347395806732,0.5474027973556916,0.3300255751122564,0.52509649495089,0.5709134398431639,0.3049703960684559,0.3576979636857054,0.9122372202621674,0.8163670997686907,0.9032670850463208,0.921311229847984,0.7930609904928257,0.841474452810321,0.7589523122760988,0.5159513545668625,0.7423696348521028,0.7743826155067334,0.4855330055775207,0.5531852279021499,0.28651322865132284
