direction,source,target,positive_count,negative_count,raw_thermal_roc,raw_thermal_pr,raw_thermal_roc_lo,raw_thermal_roc_hi,raw_thermal_pr_lo,raw_thermal_pr_hi,raw_baseline_roc,raw_baseline_pr,raw_baseline_roc_lo,raw_baseline_roc_hi,raw_baseline_pr_lo,raw_baseline_pr_hi,z_thermal_roc,z_thermal_pr,z_thermal_roc_lo,z_thermal_roc_hi,z_thermal_pr_lo,z_thermal_pr_hi,z_baseline_roc,z_baseline_pr,z_baseline_roc_lo,z_baseline_roc_hi,z_baseline_pr_lo,z_baseline_pr_hi,coral_thermal_roc,coral_thermal_pr,coral_thermal_roc_lo,coral_thermal_roc_hi,coral_thermal_pr_lo,coral_thermal_pr_hi,coral_baseline_roc,coral_baseline_pr,coral_baseline_roc_lo,coral_baseline_roc_hi,coral_baseline_pr_lo,coral_baseline_pr_hi,within_thermal_roc,within_thermal_pr,within_thermal_roc_lo,within_thermal_roc_hi,within_thermal_pr_lo,within_thermal_pr_hi,within_baseline_roc,within_baseline_pr,within_baseline_roc_lo,within_baseline_roc_hi,within_baseline_pr_lo,within_baseline_pr_hi,prevalence
bejis_2022_to_evia_2021_extended,bejis_2022,evia_2021_extended,2664,6634,0.3828214331304473,0.2257835213181088,0.3630438786042756,0.4019174661402667,0.208885527139773,0.2427065553670514,0.5304610270505659,0.2822618576116462,0.5124590543904082,0.5489162227051457,0.2624688457224259,0.3037897143467472,0.5315998278954264,0.2909285420233045,0.5092765451292832,0.5508467833166735,0.2699746024728818,0.3133874540278703,0.5842327856949503,0.3280115979933249,0.5626402508723732,0.6055160420776279,0.3032289525442013,0.3527646389605802,0.4990973789586994,0.2748417434786117,0.4789378316382308,0.5178399231307814,0.2558501076535456,0.2964035377771772,0.5985424016871861,0.3359096391753359,0.5781425895087429,0.6194897599294047,0.3108197245699196,0.3614589498995204,0.9122372202621674,0.8163670997686907,0.9032670850463208,0.921311229847984,0.7930609904928257,0.841474452810321,0.7589523122760988,0.5159513545668625,0.7423696348521028,0.7743826155067334,0.4855330055775207,0.5531852279021499,0.28651322865132284
bejis_2022_to_manavgat_2021,bejis_2022,manavgat_2021,2935,17576,0.3141548720223256,0.0977677246262994,0.2957115634276732,0.3316060274032394,0.090269238047643,0.1053727279210396,0.2965551309319895,0.0964475338630801,0.2778560515403547,0.3151136914647681,0.089217989650058,0.1042591947332028,0.3021117343690753,0.1022181382000891,0.2824061971697872,0.3225276180371704,0.0936562415701978,0.1112897835754633,0.2939418899397428,0.0962235608467442,0.2764482967638535,0.3116551455889798,0.0886575165882561,0.1036126072178389,0.405748507915781,0.1159604747741022,0.3875561420565985,0.4231108792265929,0.1070848631229886,0.1251190532364625,0.308760513601093,0.0976901114985216,0.2910539149040116,0.3264888972950295,0.0902537832151521,0.1051261810587256,0.90807357717935,0.6455894428110062,0.8998280741144038,0.9155196449645824,0.6152598551123337,0.6724335093709514,0.8411807102607785,0.4698773243148263,0.8308795205673329,0.8511486406522597,0.4414327706193686,0.5013782079611082,0.14309394958802593
bejis_2022_to_montiferru_2021,bejis_2022,montiferru_2021,539,2005,0.5937253341599618,0.2887409428148902,0.5599207417498522,0.6305896470126982,0.235999998884532,0.3487982103417781,0.5530357779021833,0.2269871850723578,0.5156477602808358,0.5956459653532006,0.1913227384767576,0.2678417488560292,0.5495051795372422,0.2540425162902778,0.4997703555020247,0.6008547538204455,0.2084309923218886,0.3097793783676864,0.536642160831687,0.2392981451568708,0.4912044107232755,0.5842645864865014,0.1970717014442033,0.2888592846839335,0.5739649022157038,0.2972916197493216,0.5299856732461299,0.6206741289102083,0.2408256031882668,0.3565887531560864,0.557180333026432,0.2470028863210578,0.511688263422548,0.6032333181397066,0.2044687941860276,0.297386461232884,0.8826347859479317,0.6846394141329942,0.8607664526480031,0.9028682174503468,0.6195366777820278,0.741358094385819,0.7811972850804343,0.4759114438128332,0.7505831035276824,0.8086343867839564,0.4114558472435762,0.5383753808318318,0.21187106918238993
bejis_2022_to_mugla_2021,bejis_2022,mugla_2021,2911,38819,0.6184747489978262,0.0925385912286984,0.6007719815536623,0.6345509090127365,0.0845728668968239,0.1015645611401889,0.5922389997163681,0.0936314654400828,0.5744073247287705,0.6089843455527543,0.0846657667466319,0.1039834429110609,0.5177332840752557,0.0688239034545231,0.5012550025897887,0.5352596621204385,0.0635291549947754,0.0746571493682763,0.5649705351959404,0.0819456319784706,0.5478618587706711,0.5812175006640783,0.0746646345958783,0.0900358326005493,0.5066377964680288,0.0690723899914225,0.4893203960731929,0.5241975570805645,0.0635129042053065,0.0749279641038294,0.5701682656206,0.0835876596838193,0.5533610367253833,0.5864502743013172,0.0759948601835327,0.0921939719195412,0.8589830389802724,0.4467473901441791,0.8481203922419467,0.869914747777123,0.4145333271981496,0.4782379095090955,0.7433200295403336,0.2249450861168977,0.7301716362761909,0.7554337410871782,0.2012045323354268,0.2508982745555573,0.06975796788880902
evia_2021_extended_to_bejis_2022,evia_2021_extended,bejis_2022,1100,14090,0.4480079359958707,0.0591842483213908,0.4257771326040634,0.4698767655478585,0.052661060795988,0.0668855824074006,0.3917341441383315,0.0539760900118061,0.3691127263898981,0.415099646274749,0.0480451860125357,0.0609413679669114,0.5494716433318279,0.0765526215444452,0.5239327513919875,0.5752930612358387,0.0674068600426196,0.0872640621783949,0.48099683850571,0.0692113409305138,0.4561244106101535,0.5082139470784642,0.0603825486099991,0.080784323994488,0.5489253500225821,0.0745688917143,0.525074567158925,0.5734955434916881,0.0661413726454507,0.0844345870213331,0.4862510807148849,0.070481275873518,0.4602416359377028,0.5132165721221006,0.0614455233452518,0.081979088101434,0.9178110845861024,0.4978078062944499,0.9071861695437556,0.9278181938423607,0.4487944812205537,0.5503967096573044,0.8616776566230079,0.3027735748414686,0.8483941657155816,0.8744242952483523,0.2696320147990121,0.3400293028438292,0.07241606319947334
evia_2021_extended_to_manavgat_2021,evia_2021_extended,manavgat_2021,2935,17576,0.6768829881850658,0.3208883386590513,0.658331739396282,0.6972678207893488,0.2950486854214439,0.3511072193398621,0.7273654778585326,0.2918488089548472,0.711462335803398,0.7432359984950387,0.2686766393049238,0.3183173373649051,0.4035196186684801,0.1109094709142872,0.3855432301066274,0.4211768632101874,0.1023971568854748,0.1190719666550455,0.562074532097742,0.149492338416609,0.5488717007917147,0.5756027706138565,0.1386209004711446,0.1604979594154272,0.4165194290805412,0.1137759041177485,0.3992731300474425,0.4347980832759316,0.1048347977614221,0.1219652082667231,0.5355900081340592,0.1438541511768004,0.5213807886912132,0.551115332470705,0.1331503174729683,0.1546326830521828,0.90807357717935,0.6455894428110062,0.8998280741144038,0.9155196449645824,0.6152598551123337,0.6724335093709514,0.8411807102607785,0.4698773243148263,0.8308795205673329,0.8511486406522597,0.4414327706193686,0.5013782079611082,0.14309394958802593
evia_2021_extended_to_montiferru_2021,evia_2021_extended,montiferru_2021,539,2005,0.6467042042389389,0.2829027511086257,0.6076923033613082,0.6823574673192492,0.2392864493283328,0.3313673566232759,0.5494242131221113,0.257866013920999,0.5124112445618861,0.5899330148393352,0.2159283363888109,0.3034415538831641,0.5676115832866812,0.2363348341852078,0.527835991770352,0.6085431314591581,0.2007858422391352,0.2766206587457487,0.5194629382018053,0.2245149557179805,0.4791979563478967,0.5603657912433049,0.1907342287694816,0.2618904159156886,0.5814674815743572,0.2380960255993517,0.5392032021202131,0.6234716065110919,0.2017263926102543,0.2787344606435681,0.5188013269238777,0.2313340122120726,0.4782035190605931,0.5597801279343003,0.1971437123376982,0.2700954979751015,0.8826347859479317,0.6846394141329942,0.8607664526480031,0.9028682174503468,0.6195366777820278,0.741358094385819,0.7811972850804343,0.4759114438128332,0.7505831035276824,0.8086343867839564,0.4114558472435762,0.5383753808318318,0.21187106918238993
evia_2021_extended_to_mugla_2021,evia_2021_extended,mugla_2021,2911,38819,0.576836486299561,0.0856193943900276,0.5597352372977346,0.5925311618284088,0.0782512619994441,0.093495995790724,0.5125008330596732,0.0816148991849096,0.4912046254086655,0.5320623140941606,0.0737139814413903,0.0908557394381581,0.5013427713990719,0.0664215647014893,0.48529203907811,0.5178266905607353,0.0611161730227691,0.0721202830852435,0.4902003067925041,0.0673573201525682,0.4717162176074556,0.5062106062434975,0.061469181151865,0.0733867554052418,0.5302390241229922,0.0717027194431094,0.514515120199803,0.5463484994608052,0.0659448461395666,0.0777073380759437,0.4976908926540477,0.069409639286389,0.4800665317584893,0.5138536914379345,0.0635324178133165,0.0754279408739938,0.8589830389802724,0.4467473901441791,0.8481203922419467,0.869914747777123,0.4145333271981496,0.4782379095090955,0.7433200295403336,0.2249450861168977,0.7301716362761909,0.7554337410871782,0.2012045323354268,0.2508982745555573,0.06975796788880902
manavgat_2021_to_bejis_2022,manavgat_2021,bejis_2022,1100,14090,0.3964026711400735,0.0541744834189216,0.3725380745561713,0.4219023718773863,0.0481710225455962,0.0610630211881328,0.3706911736241048,0.0520106759674648,0.3478759510962382,0.3928717868755974,0.0462920943325803,0.0586155661824706,0.4504022194980321,0.0596285222042615,0.4225229429305946,0.4765031100800025,0.0527049405132908,0.0674672922526081,0.3849989031550422,0.0532224008305505,0.3586780069672394,0.408906810346338,0.0468432791210631,0.0598886278775957,0.4668473772501451,0.0615547447327539,0.4407173741413762,0.4914690881758951,0.0544527618130921,0.0698238621768332,0.3853711852377572,0.0532914993516609,0.3583843318579822,0.4094411093977446,0.0469032348744387,0.0601521026319376,0.9178110845861024,0.4978078062944499,0.9071861695437556,0.9278181938423607,0.4487944812205537,0.5503967096573044,0.8616776566230079,0.3027735748414686,0.8483941657155816,0.8744242952483523,0.2696320147990121,0.3400293028438292,0.07241606319947334
manavgat_2021_to_evia_2021_extended,manavgat_2021,evia_2021_extended,2664,6634,0.6540092625033838,0.4065333593047762,0.6331866094363996,0.6762614442736252,0.3760588397718326,0.4386122480965639,0.6225921429418566,0.3683505698991753,0.6030000337861765,0.643320635046776,0.342405218110682,0.3959514190652652,0.5291373959880894,0.3199569292475066,0.5044222163870348,0.5531388080036106,0.2923723194398674,0.3488359459899897,0.5297370403264283,0.306605909116239,0.5071537827865383,0.5538009835747506,0.2828308848758428,0.333265158849537,0.5043160812304617,0.3030561286527748,0.4805021698125317,0.5281874378330395,0.278012513503123,0.3297302565186961,0.5519671106892241,0.324167149363051,0.5284597212493386,0.5758530138552554,0.2982254178956961,0.3517198948953824,0.9122372202621674,0.8163670997686907,0.9032670850463208,0.921311229847984,0.7930609904928257,0.841474452810321,0.7589523122760988,0.5159513545668625,0.7423696348521028,0.7743826155067334,0.4855330055775207,0.5531852279021499,0.28651322865132284
