feature,a,b,auc_a,auc_b,point_reversal,strict_supported,pair_dir,pair_reversal_status,auc_difference_bejis_minus_manavgat,auc_difference_ci_low,auc_difference_ci_high,auc_difference_target_minus_source
elevation_mean,manavgat_2021,bejis_2022,0.232040982011245,0.6432824053164721,True,True,manavgat_2021__bejis_2022,bootstrap_supported_direction_reversal,0.4127480337215531,0.3149057379699328,0.5105155381448641,
elevation_mean,manavgat_2021,mugla_2021,0.232040982011245,0.6114025048859928,True,True,manavgat_2021__mugla_2021,bootstrap_supported_direction_reversal,,0.2842964916041037,0.4787847095149601,0.3791158751615408
elevation_mean,manavgat_2021,evia_2021_extended,0.232040982011245,0.540559580910425,True,False,manavgat_2021__evia_2021_extended,point_direction_reversal_interval_uncertain,,0.2031759971037008,0.4133411190742479,0.3047394966196552
elevation_mean,manavgat_2021,montiferru_2021,0.232040982011245,0.5837706290859124,True,False,montiferru_2021__manavgat_2021,point_direction_reversal_interval_uncertain,,-0.5401443474895913,-0.150026285594663,-0.3510055657657506
elevation_mean,bejis_2022,mugla_2021,0.6432824053164721,0.6114025048859928,False,False,bejis_2022__mugla_2021,no_direction_reversal,,-0.1482291348517599,0.0833934412740623,-0.0336321585600122
elevation_mean,bejis_2022,evia_2021_extended,0.6432824053164721,0.540559580910425,False,False,bejis_2022__evia_2021_extended,no_direction_reversal,,-0.2323512731495908,0.0096960276553015,-0.1080085371018979
elevation_mean,bejis_2022,montiferru_2021,0.6432824053164721,0.5837706290859124,False,False,montiferru_2021__bejis_2022,no_direction_reversal,,-0.1367786938983011,0.2690444524043321,0.0617424679558024
elevation_mean,mugla_2021,evia_2021_extended,0.6114025048859928,0.540559580910425,False,False,mugla_2021__evia_2021_extended,no_direction_reversal,,-0.1960945666010094,0.0449023709825403,-0.0743763785418856
elevation_mean,mugla_2021,montiferru_2021,0.6114025048859928,0.5837706290859124,False,False,montiferru_2021__mugla_2021,no_direction_reversal,,-0.1600549260984954,0.2217192258687435,0.0281103093957902
elevation_mean,evia_2021_extended,montiferru_2021,0.540559580910425,0.5837706290859124,False,False,montiferru_2021__evia_2021_extended,no_direction_reversal,,-0.247035225445548,0.1574211342066065,-0.0462660691460954
slope_mean,manavgat_2021,bejis_2022,0.4001814073550815,0.5207878895412608,True,False,manavgat_2021__bejis_2022,point_direction_reversal_interval_uncertain,0.1222792382847794,0.0219072028895673,0.2304817806904778,
slope_mean,manavgat_2021,mugla_2021,0.4001814073550815,0.6368180084143384,True,True,manavgat_2021__mugla_2021,bootstrap_supported_direction_reversal,,0.1585550185341756,0.3126828843099465,0.2363514149432445
slope_mean,manavgat_2021,evia_2021_extended,0.4001814073550815,0.486543098344048,False,False,manavgat_2021__evia_2021_extended,no_direction_reversal,,-0.0088428214475179,0.1711831882035311,0.0846237945440743
slope_mean,manavgat_2021,montiferru_2021,0.4001814073550815,0.6519721105399766,True,True,montiferru_2021__manavgat_2021,bootstrap_supported_direction_reversal,,-0.3862185085689696,-0.0976187072195973,-0.2490982313145201
slope_mean,bejis_2022,mugla_2021,0.5207878895412608,0.6368180084143384,False,False,bejis_2022__mugla_2021,no_direction_reversal,,0.0130858406833473,0.2120856774919815,0.114072176658465
slope_mean,bejis_2022,evia_2021_extended,0.5207878895412608,0.486543098344048,True,False,bejis_2022__evia_2021_extended,point_direction_reversal_interval_uncertain,,-0.1449034373213622,0.0721041322122568,-0.037655443740705
slope_mean,bejis_2022,montiferru_2021,0.5207878895412608,0.6519721105399766,False,False,montiferru_2021__bejis_2022,no_direction_reversal,,-0.2685244513187697,0.0377148844770264,-0.1268189930297407
