analysis_id,direction,method,model_family,roc_auc,pr_auc,positive_count,negative_count
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,manavgat_2021_to_bejis_2022,within,baseline,0.8616776566230079,0.3027735748414686,1100,14090
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,manavgat_2021_to_bejis_2022,within,thermal,0.9178110845861024,0.49780780629444993,1100,14090
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,manavgat_2021_to_bejis_2022,raw_source_only,baseline,0.37069117362410486,0.052010675967464864,1100,14090
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,manavgat_2021_to_bejis_2022,raw_source_only,thermal,0.3964026711400735,0.05417448341892161,1100,14090
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,manavgat_2021_to_bejis_2022,regionwise_zscore,baseline,0.38499890315504226,0.053222400830550534,1100,14090
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,manavgat_2021_to_bejis_2022,regionwise_zscore,thermal,0.45040221949803216,0.059628522204261555,1100,14090
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,manavgat_2021_to_bejis_2022,coral_after_regionwise_zscore,baseline,0.38537118523775726,0.05329149935166093,1100,14090
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,manavgat_2021_to_bejis_2022,coral_after_regionwise_zscore,thermal,0.46684737725014513,0.061554744732753935,1100,14090
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,bejis_2022_to_manavgat_2021,within,baseline,0.8411807102607785,0.4698773243148263,2935,17576
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,bejis_2022_to_manavgat_2021,within,thermal,0.90807357717935,0.6455894428110062,2935,17576
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,bejis_2022_to_manavgat_2021,raw_source_only,baseline,0.2965551309319895,0.09644753386308019,2935,17576
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,bejis_2022_to_manavgat_2021,raw_source_only,thermal,0.3141548720223256,0.09776772462629946,2935,17576
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,bejis_2022_to_manavgat_2021,regionwise_zscore,baseline,0.2939418899397428,0.09622356084674427,2935,17576
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,bejis_2022_to_manavgat_2021,regionwise_zscore,thermal,0.30211173436907535,0.10221813820008911,2935,17576
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,bejis_2022_to_manavgat_2021,coral_after_regionwise_zscore,baseline,0.308760513601093,0.09769011149852169,2935,17576
ea075fc3b67796a0e52fd383366d5f9ab45650efd7a4792d60749c08779a17c6,bejis_2022_to_manavgat_2021,coral_after_regionwise_zscore,thermal,0.40574850791578104,0.11596047477410229,2935,17576
