transfer_direction,population,model,bin_index,requested_n_bins,actual_n_bins,predicted_probability_mean,observed_burned_fraction,row_count,positive_count
bejis_2022_to_manavgat_2021,all_valid,baseline,0,10,10,0.0032041619084189716,0.1837748344370861,2416,444
bejis_2022_to_manavgat_2021,all_valid,baseline,1,10,10,0.011909065122639175,0.12531141006477328,4014,503
bejis_2022_to_manavgat_2021,all_valid,baseline,2,10,10,0.015076634629843391,0.299625468164794,801,240
bejis_2022_to_manavgat_2021,all_valid,baseline,3,10,10,0.0192163894260598,0.2533277870216306,2404,609
bejis_2022_to_manavgat_2021,all_valid,baseline,4,10,10,0.028098453783142414,0.17310087173100872,2409,417
bejis_2022_to_manavgat_2021,all_valid,baseline,5,10,10,0.05150507214786177,0.0834717607973422,2408,201
bejis_2022_to_manavgat_2021,all_valid,baseline,6,10,10,0.10291184928360148,0.07970112079701121,2409,192
bejis_2022_to_manavgat_2021,all_valid,baseline,7,10,10,0.20840740222543633,0.06727574750830564,2408,162
bejis_2022_to_manavgat_2021,all_valid,baseline,8,10,10,0.38742283811797334,0.06268161062681611,2409,151
bejis_2022_to_manavgat_2021,all_valid,baseline,9,10,10,0.6788752259979846,0.052718970527189705,2409,127
bejis_2022_to_manavgat_2021,all_valid,thermal,0,10,10,0.014736358027005588,0.1261934412619344,2409,304
bejis_2022_to_manavgat_2021,all_valid,thermal,1,10,10,0.02831183847072957,0.23702781237027812,2409,571
bejis_2022_to_manavgat_2021,all_valid,thermal,2,10,10,0.04574691378032257,0.19227574750830564,2408,463
bejis_2022_to_manavgat_2021,all_valid,thermal,3,10,10,0.06796980472111627,0.17766708177667082,2409,428
bejis_2022_to_manavgat_2021,all_valid,thermal,4,10,10,0.09707182642389924,0.12494811124948112,2409,301
bejis_2022_to_manavgat_2021,all_valid,thermal,5,10,10,0.13063123967312867,0.10382059800664452,2408,250
bejis_2022_to_manavgat_2021,all_valid,thermal,6,10,10,0.17854204619125372,0.11457036114570361,2409,276
bejis_2022_to_manavgat_2021,all_valid,thermal,7,10,10,0.2420855307090737,0.08388704318936877,2408,202
bejis_2022_to_manavgat_2021,all_valid,thermal,8,10,10,0.3386660608740869,0.05188875051888751,2409,125
bejis_2022_to_manavgat_2021,all_valid,thermal,9,10,10,0.5518964592772141,0.052303860523038606,2409,126
bejis_2022_to_manavgat_2021,burnable_tree_shrub,baseline,0,10,10,0.021824753342695683,0.21642266072565244,1571,340
bejis_2022_to_manavgat_2021,burnable_tree_shrub,baseline,1,10,10,0.0245942026049884,0.28312863606981253,1547,438
bejis_2022_to_manavgat_2021,burnable_tree_shrub,baseline,2,10,10,0.027451305548655727,0.30634715025906734,1544,473
bejis_2022_to_manavgat_2021,burnable_tree_shrub,baseline,3,10,10,0.04086822804510566,0.24726336123631681,1553,384
bejis_2022_to_manavgat_2021,burnable_tree_shrub,baseline,4,10,10,0.07499030679559567,0.08622908622908623,1554,134
bejis_2022_to_manavgat_2021,burnable_tree_shrub,baseline,5,10,10,0.12287035725547013,0.09137709137709138,1554,142
bejis_2022_to_manavgat_2021,burnable_tree_shrub,baseline,6,10,10,0.20555869371169228,0.07405022537025113,1553,115
bejis_2022_to_manavgat_2021,burnable_tree_shrub,baseline,7,10,10,0.33952542430662386,0.06241956241956242,1554,97
