population,landcover_category,source_experiment_id,target_experiment_id,source_count,target_count,source_proportion,target_proportion,unseen_in_source,unseen_in_target
burnable_tree_shrub_grass,10,manavgat_2021,bejis_2022,15254,9043,0.7436985032421627,0.5953258722843976,False,False
burnable_tree_shrub_grass,20,manavgat_2021,bejis_2022,484,3743,0.023597094242113988,0.24641211323238973,False,False
burnable_tree_shrub_grass,30,manavgat_2021,bejis_2022,4545,2207,0.2215884159719175,0.14529295589203423,False,False
burnable_tree_shrub_grass,40,manavgat_2021,bejis_2022,193,168,0.009409585100677685,0.011059907834101382,False,False
burnable_tree_shrub_grass,50,manavgat_2021,bejis_2022,20,19,0.0009750865389303301,0.001250822909809085,False,False
burnable_tree_shrub_grass,60,manavgat_2021,bejis_2022,7,6,0.0003412802886256155,0.00039499670836076365,False,False
burnable_tree_shrub_grass,80,manavgat_2021,bejis_2022,8,4,0.00039003461557213205,0.00026333113890717575,False,False
all_valid,10,manavgat_2021,bejis_2022,15276,9046,0.6342010212977955,0.5740211942382131,False,False
all_valid,20,manavgat_2021,bejis_2022,484,3743,0.02009382654543945,0.23751507075322037,False,False
all_valid,30,manavgat_2021,bejis_2022,4604,2225,0.19114044920496534,0.14118916174884194,False,False
all_valid,40,manavgat_2021,bejis_2022,1260,645,0.05231037489102005,0.04092899295640586,False,False
all_valid,50,manavgat_2021,bejis_2022,272,61,0.011292398389172583,0.0038708039850244304,False,False
all_valid,60,manavgat_2021,bejis_2022,186,18,0.007722007722007722,0.001142204454597373,False,False
all_valid,80,manavgat_2021,bejis_2022,2002,21,0.08311537343795408,0.001332571863696935,False,False
all_valid,90,manavgat_2021,bejis_2022,3,0,0.00012454851164528583,0.0,False,True
burnable_tree_shrub,10,manavgat_2021,bejis_2022,14748,8922,0.9491569056506629,0.6914671006742618,False,False
burnable_tree_shrub,20,manavgat_2021,bejis_2022,482,3689,0.031020723387823402,0.2859025032938076,False,False
burnable_tree_shrub,30,manavgat_2021,bejis_2022,308,278,0.019822370961513708,0.02154537704409827,False,False
burnable_tree_shrub,40,manavgat_2021,bejis_2022,0,9,0.0,0.0006975122064636131,True,False
burnable_tree_shrub,50,manavgat_2021,bejis_2022,0,2,0.0,0.00015500271254746957,True,False
burnable_tree_shrub,60,manavgat_2021,bejis_2022,0,1,0.0,7.750135627373479e-05,True,False
burnable_tree_shrub,80,manavgat_2021,bejis_2022,0,2,0.0,0.00015500271254746957,True,False
