analysis_id,direction,method,model_family,roc_auc,pr_auc,positive_count,negative_count
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,manavgat_2021_to_evia_2021,within,baseline,0.8136051646227905,0.8947985365699564,2663,1283
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,manavgat_2021_to_evia_2021,within,thermal,0.8984139044654833,0.943680028325139,2663,1283
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,manavgat_2021_to_evia_2021,raw_source_only,baseline,0.6279142394447861,0.7529795986226415,2663,1283
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,manavgat_2021_to_evia_2021,raw_source_only,thermal,0.62206607741139,0.7732794385058308,2663,1283
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,manavgat_2021_to_evia_2021,regionwise_zscore,baseline,0.42025224278082285,0.6224391003850532,2663,1283
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,manavgat_2021_to_evia_2021,regionwise_zscore,thermal,0.4600031200343965,0.6714060443839198,2663,1283
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,manavgat_2021_to_evia_2021,coral_after_regionwise_zscore,baseline,0.44765834979449043,0.6364409453673315,2663,1283
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,manavgat_2021_to_evia_2021,coral_after_regionwise_zscore,thermal,0.4525890870796917,0.660049846401813,2663,1283
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,evia_2021_to_manavgat_2021,within,baseline,0.8411807102607785,0.4698773243148263,2935,17576
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,evia_2021_to_manavgat_2021,within,thermal,0.90807357717935,0.6455894428110062,2935,17576
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,evia_2021_to_manavgat_2021,raw_source_only,baseline,0.7013431278055331,0.26645420113682705,2935,17576
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,evia_2021_to_manavgat_2021,raw_source_only,thermal,0.543205424153581,0.22250511975527193,2935,17576
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,evia_2021_to_manavgat_2021,regionwise_zscore,baseline,0.34724665197004745,0.10103540609689951,2935,17576
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,evia_2021_to_manavgat_2021,regionwise_zscore,thermal,0.30279719751031103,0.09546119794538631,2935,17576
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,evia_2021_to_manavgat_2021,coral_after_regionwise_zscore,baseline,0.3711771472481834,0.10479100044396614,2935,17576
49487007d122e6aeec6365b6c966a8d11c6337a441b24b9ad26846606ffd4c1f,evia_2021_to_manavgat_2021,coral_after_regionwise_zscore,thermal,0.3331810685005649,0.0995192439404257,2935,17576
