transfer_direction,population,model,bin_index,requested_n_bins,actual_n_bins,predicted_probability_mean,observed_burned_fraction,row_count,positive_count
evia_2021_to_manavgat_2021,all_valid,baseline,0,10,10,0.022596223771550468,0.0029057700290577005,2409,7
evia_2021_to_manavgat_2021,all_valid,baseline,1,10,10,0.15788413403921145,0.038605230386052306,2409,93
evia_2021_to_manavgat_2021,all_valid,baseline,2,10,10,0.266578376869964,0.05232558139534884,2408,126
evia_2021_to_manavgat_2021,all_valid,baseline,3,10,10,0.3141521271733616,0.0493980904939809,2409,119
evia_2021_to_manavgat_2021,all_valid,baseline,4,10,10,0.3566153252227715,0.06434205064342051,2409,155
evia_2021_to_manavgat_2021,all_valid,baseline,5,10,10,0.4307026859910422,0.09634551495016612,2408,232
evia_2021_to_manavgat_2021,all_valid,baseline,6,10,10,0.5652367569779377,0.17725197177251972,2409,427
evia_2021_to_manavgat_2021,all_valid,baseline,7,10,10,0.724636638303646,0.2196843853820598,2408,529
evia_2021_to_manavgat_2021,all_valid,baseline,8,10,10,0.8744840227285228,0.2590286425902864,2409,624
evia_2021_to_manavgat_2021,all_valid,baseline,9,10,10,0.9663556861174308,0.3046907430469074,2409,734
evia_2021_to_manavgat_2021,all_valid,thermal,0,10,10,0.1778355344154448,0.0639269406392694,2409,154
evia_2021_to_manavgat_2021,all_valid,thermal,1,10,10,0.27828651143480204,0.1,2410,241
evia_2021_to_manavgat_2021,all_valid,thermal,2,10,10,0.3372365523184069,0.08807644370585792,2407,212
evia_2021_to_manavgat_2021,all_valid,thermal,3,10,10,0.38559252770883684,0.07264425072644251,2409,175
evia_2021_to_manavgat_2021,all_valid,thermal,4,10,10,0.4253747059568121,0.06973848069738481,2409,168
evia_2021_to_manavgat_2021,all_valid,thermal,5,10,10,0.4764164699838574,0.09136212624584718,2408,220
evia_2021_to_manavgat_2021,all_valid,thermal,6,10,10,0.5379774342037175,0.08385222083852222,2409,202
evia_2021_to_manavgat_2021,all_valid,thermal,7,10,10,0.6179720918890607,0.12375415282392027,2408,298
evia_2021_to_manavgat_2021,all_valid,thermal,8,10,10,0.7485060327925905,0.22748028227480283,2409,548
evia_2021_to_manavgat_2021,all_valid,thermal,9,10,10,0.9061216115409084,0.3437110834371108,2409,828
evia_2021_to_manavgat_2021,burnable_tree_shrub,baseline,0,10,10,0.1377999729575905,0.0694980694980695,1554,108
evia_2021_to_manavgat_2021,burnable_tree_shrub,baseline,1,10,10,0.2174201216692828,0.08494208494208494,1554,132
evia_2021_to_manavgat_2021,burnable_tree_shrub,baseline,2,10,10,0.265259148888111,0.05662805662805663,1554,88
evia_2021_to_manavgat_2021,burnable_tree_shrub,baseline,3,10,10,0.2912558395001987,0.051513200257566,1553,80
evia_2021_to_manavgat_2021,burnable_tree_shrub,baseline,4,10,10,0.32232763597208763,0.06241956241956242,1554,97
evia_2021_to_manavgat_2021,burnable_tree_shrub,baseline,5,10,10,0.37329585807629956,0.1048906048906049,1554,163
evia_2021_to_manavgat_2021,burnable_tree_shrub,baseline,6,10,10,0.494081920859093,0.2343850611719253,1553,364
evia_2021_to_manavgat_2021,burnable_tree_shrub,baseline,7,10,10,0.6544343193192768,0.24002574002574004,1554,373
evia_2021_to_manavgat_2021,burnable_tree_shrub,baseline,8,10,10,0.7953660120382483,0.24646074646074645,1554,383
evia_2021_to_manavgat_2021,burnable_tree_shrub,baseline,9,10,10,0.9097311802061661,0.32754182754182753,1554,509
evia_2021_to_manavgat_2021,burnable_tree_shrub,thermal,0,10,10,0.15552605165345754,0.1743886743886744,1554,271
evia_2021_to_manavgat_2021,burnable_tree_shrub,thermal,1,10,10,0.3029693649416196,0.14285714285714285,1554,222
evia_2021_to_manavgat_2021,burnable_tree_shrub,thermal,2,10,10,0.38999950583947357,0.10617760617760617,1554,165
evia_2021_to_manavgat_2021,burnable_tree_shrub,thermal,3,10,10,0.44539796806010407,0.07533805537669028,1553,117
evia_2021_to_manavgat_2021,burnable_tree_shrub,thermal,4,10,10,0.4915780097471433,0.09523809523809523,1554,148
evia_2021_to_manavgat_2021,burnable_tree_shrub,thermal,5,10,10,0.5385253276189513,0.10231660231660232,1554,159
evia_2021_to_manavgat_2021,burnable_tree_shrub,thermal,6,10,10,0.5943978972119949,0.12556342562781714,1553,195
evia_2021_to_manavgat_2021,burnable_tree_shrub,thermal,7,10,10,0.6620384942494475,0.1435006435006435,1554,223
evia_2021_to_manavgat_2021,burnable_tree_shrub,thermal,8,10,10,0.7383243891350281,0.18018018018018017,1554,280
evia_2021_to_manavgat_2021,burnable_tree_shrub,thermal,9,10,10,0.8528570187644343,0.3326898326898327,1554,517
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,baseline,0,10,10,0.07365085957124481,0.03313840155945419,2052,68
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,baseline,1,10,10,0.15076899196064364,0.08044856167723062,2051,165
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,baseline,2,10,10,0.22089934832530397,0.0848366650414432,2051,174
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,baseline,3,10,10,0.2711948992565983,0.0628961482203803,2051,129
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,baseline,4,10,10,0.3064118577647011,0.07606045831301804,2051,156
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,baseline,5,10,10,0.3598879238311635,0.10775231594344223,2051,221
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,baseline,6,10,10,0.444425168219243,0.17747440273037543,2051,364
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,baseline,7,10,10,0.5908242581252395,0.2476840565577767,2051,508
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,baseline,8,10,10,0.758934286166147,0.2476840565577767,2051,508
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,baseline,9,10,10,0.9039205455940916,0.3130180399804973,2051,642
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,thermal,0,10,10,0.16518255366241483,0.1827485380116959,2052,375
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,thermal,1,10,10,0.25708184639951487,0.18576304241833252,2051,381
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,thermal,2,10,10,0.32841029449893744,0.113603120429059,2051,233
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,thermal,3,10,10,0.3915623321931208,0.09068746952705997,2051,186
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,thermal,4,10,10,0.44636212154610416,0.08386153096050707,2051,172
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,thermal,5,10,10,0.49881363939005935,0.0931253047294003,2051,191
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,thermal,6,10,10,0.5548367957354634,0.09458800585080449,2051,194
evia_2021_to_manavgat_2021,burnable_tree_shrub_grass,thermal,7,10,10,0.6229277002654167,0.11409068746952707,2051,234
