feature,population,source_experiment_id,target_experiment_id,source_mean_difference,target_mean_difference,source_median_difference,target_median_difference,source_rank_biserial_correlation,target_rank_biserial_correlation,source_raw_auc,target_raw_auc,mean_direction_flip,median_direction_flip,rank_effect_direction_flip,raw_auc_below_0_5_in_one_region_only,relationship_flip_score
current_lst_mean,all_valid,manavgat_2021,evia_2021,2.704559061776969,4.744773393993871,2.745187759399414,6.715909957885742,0.31416737689116636,0.6459983671437097,0.6570836884455832,0.8229991835718549,False,False,False,False,0
current_lst_mean,burnable_tree_shrub,manavgat_2021,evia_2021,1.6437616870074692,-0.8227322094790139,1.8629035949707031,-0.4842948913574219,0.2635742216542112,-0.11093251803695048,0.6317871108271056,0.44453374098152476,True,True,True,True,3
current_lst_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,2.428260977000747,-1.2391634302803425,2.571887969970703,-1.0457305908203125,0.3293982858407771,-0.16844789995960785,0.6646991429203886,0.4157760500201961,True,True,True,True,3
current_tvdi_mean,all_valid,manavgat_2021,evia_2021,0.15285120532534474,0.22141695453517596,0.17817187309265137,0.34780487418174744,0.3431551765631933,0.5140872526561102,0.6715775882815966,0.7570436263280551,False,False,False,False,0
current_tvdi_mean,burnable_tree_shrub,manavgat_2021,evia_2021,0.1060486481862511,-0.0774343994935261,0.1269226372241974,-0.06045889854431152,0.29507170701872587,-0.21065053097240882,0.6475358535093629,0.3946747345137956,True,True,True,True,3
current_tvdi_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,0.140937282437906,-0.09409173812770832,0.16818594932556152,-0.08696934580802917,0.3541669762724604,-0.24966103616637814,0.6770834881362302,0.37516948191681093,True,True,True,True,3
downscaled_lst_mean,all_valid,manavgat_2021,evia_2021,2.7985054000393745,-1.036501290570655,2.8571815490722656,-0.9092254638671875,0.34395996647635685,-0.14610904016627035,0.6719799832381784,0.4269454799168648,True,True,True,True,3
downscaled_lst_mean,burnable_tree_shrub,manavgat_2021,evia_2021,1.7470278195542548,-0.7762828144576375,2.0503921508789062,-0.4028301239013672,0.3027815905511362,-0.10290921621932081,0.6513907952755681,0.4485453918903396,True,True,True,True,3
downscaled_lst_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,2.51116496243921,-1.2356776848083513,2.728487014770508,-0.8808193206787109,0.3663008989337324,-0.16962789398085354,0.6831504494668662,0.41518605300957323,True,True,True,True,3
elevation_mean,all_valid,manavgat_2021,evia_2021,-414.6361886979624,229.62112370121358,-567.7796478271484,253.2636947631836,-0.3251519724661007,0.799418019972645,0.33742401376694964,0.8997090099863225,True,True,True,True,3
elevation_mean,burnable_tree_shrub,manavgat_2021,evia_2021,-411.0413914186174,56.9916313720762,-573.6948852539062,120.21522521972656,-0.4938588822063841,0.25246097493186426,0.25307055889680796,0.6262304874659321,True,True,True,True,3
elevation_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,-532.7315651615031,65.89637571034837,-717.404541015625,123.71987915039062,-0.53591803597751,0.2943969040829426,0.232040982011245,0.6471984520414713,True,True,True,True,3
fused_lst_mean,all_valid,manavgat_2021,evia_2021,2.717535182060459,4.730548116028032,2.790761947631836,6.722006797790527,0.3172303781227179,0.6444890687184386,0.658615189061359,0.8222445343592193,False,False,False,False,0
fused_lst_mean,burnable_tree_shrub,manavgat_2021,evia_2021,1.6486879422582135,-0.8368985418466792,1.8745002746582031,-0.49887847900390625,0.2650209799071017,-0.11232333456399357,0.6325104899535509,0.4438383327180032,True,True,True,True,3
fused_lst_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,2.441145394758486,-1.2645176143481436,2.611307144165039,-1.0715217590332031,0.33246358089356765,-0.17188374857205746,0.6662317904467838,0.41405812571397127,True,True,True,True,3
lst_anomaly_mean,all_valid,manavgat_2021,evia_2021,0.024472541916557178,-0.14730939290160405,0.04680512845516205,-0.25853171944618225,0.03948239047491331,-0.14111999361711913,0.5197411952374567,0.42944000319144043,True,True,True,True,3
lst_anomaly_mean,burnable_tree_shrub,manavgat_2021,evia_2021,-0.10715647264197761,0.18718295140151797,-0.04672469198703766,0.1780894696712494,-0.018016852366025793,0.13152157310416346,0.4909915738169871,0.5657607865520817,True,True,True,True,3
lst_anomaly_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,-0.021451775896591807,0.14715963359487455,0.004381448030471802,0.13070449233055115,0.01753841698497327,0.09736680078911664,0.5087692084924866,0.5486834003945583,True,False,False,False,1
ndvi_mean,all_valid,manavgat_2021,evia_2021,0.06551835329935651,0.3556050679367384,0.05809512734413147,0.3992696776986122,0.22647277804834842,0.7244219275881734,0.6132363890241742,0.8622109637940867,False,False,False,False,0
ndvi_mean,burnable_tree_shrub,manavgat_2021,evia_2021,0.01490659408928352,0.00042147279140813954,0.023421525955200195,-0.010240435600280762,0.1148813281210519,-0.028153334492341253,0.557440664060526,0.4859233327538294,False,True,True,True,2
ndvi_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,0.02718269696024167,0.01659613464500398,0.0321994423866272,0.018386125564575195,0.128011191503979,0.06196517093310394,0.5640055957519895,0.530982585466552,False,False,False,False,0
slope_mean,all_valid,manavgat_2021,evia_2021,0.23781001193337303,10.819494560683143,-1.920083999633789,14.779291152954102,-0.03487937426859733,0.7336835585293859,0.48256031286570134,0.866841779264693,False,True,True,True,2
slope_mean,burnable_tree_shrub,manavgat_2021,evia_2021,-1.6678712751380331,-0.590672508012215,-2.6250228881835938,-0.1916952133178711,-0.17435429070738018,-0.02458165406025503,0.4128228546463099,0.4877091729698725,False,False,False,False,0
slope_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,-2.1281918980021395,0.17917540906527485,-3.3373279571533203,0.37343692779541016,-0.19963718528983687,0.04147509138393435,0.40018140735508156,0.5207375456919672,True,True,True,True,3
