transfer_direction,population,model,bin_index,requested_n_bins,actual_n_bins,predicted_probability_mean,observed_burned_fraction,row_count,positive_count
evia_2021_extended_to_manavgat_2021,all_valid,baseline,0,10,10,0.003916473810622214,0.0062266500622665,2409,15
evia_2021_extended_to_manavgat_2021,all_valid,baseline,1,10,10,0.033495740279525496,0.048152760481527605,2409,116
evia_2021_extended_to_manavgat_2021,all_valid,baseline,2,10,10,0.05644848733804199,0.040697674418604654,2408,98
evia_2021_extended_to_manavgat_2021,all_valid,baseline,3,10,10,0.07641703859767973,0.044001660440016604,2409,106
evia_2021_extended_to_manavgat_2021,all_valid,baseline,4,10,10,0.10421433077768516,0.06019095060190951,2409,145
evia_2021_extended_to_manavgat_2021,all_valid,baseline,5,10,10,0.1518345514137145,0.10091362126245847,2408,243
evia_2021_extended_to_manavgat_2021,all_valid,baseline,6,10,10,0.23803993721860858,0.14238273142382732,2409,343
evia_2021_extended_to_manavgat_2021,all_valid,baseline,7,10,10,0.4078131096525708,0.21303986710963455,2408,513
evia_2021_extended_to_manavgat_2021,all_valid,baseline,8,10,10,0.6015990580009755,0.25072644250726445,2409,604
evia_2021_extended_to_manavgat_2021,all_valid,baseline,9,10,10,0.8085463220862058,0.35823993358239936,2409,863
evia_2021_extended_to_manavgat_2021,all_valid,thermal,0,10,10,0.025145834800592643,0.0813615608136156,2409,196
evia_2021_extended_to_manavgat_2021,all_valid,thermal,1,10,10,0.05144149014905241,0.044416770444167704,2409,107
evia_2021_extended_to_manavgat_2021,all_valid,thermal,2,10,10,0.07326284350003545,0.051079734219269105,2408,123
evia_2021_extended_to_manavgat_2021,all_valid,thermal,3,10,10,0.09851000794846199,0.061851390618513906,2409,149
evia_2021_extended_to_manavgat_2021,all_valid,thermal,4,10,10,0.12950402976462985,0.07181403071814031,2409,173
evia_2021_extended_to_manavgat_2021,all_valid,thermal,5,10,10,0.16649855212205558,0.06470344255495646,2411,156
evia_2021_extended_to_manavgat_2021,all_valid,thermal,6,10,10,0.20782592477583078,0.10390689941812137,2406,250
evia_2021_extended_to_manavgat_2021,all_valid,thermal,7,10,10,0.27286501516700423,0.1686046511627907,2408,406
evia_2021_extended_to_manavgat_2021,all_valid,thermal,8,10,10,0.3817919389451413,0.21793275217932753,2409,525
evia_2021_extended_to_manavgat_2021,all_valid,thermal,9,10,10,0.5894648689444899,0.39892071398920714,2409,961
evia_2021_extended_to_manavgat_2021,burnable_tree_shrub,baseline,0,10,10,0.039691362121841364,0.0444015444015444,1554,69
evia_2021_extended_to_manavgat_2021,burnable_tree_shrub,baseline,1,10,10,0.054996279688821856,0.0444015444015444,1554,69
evia_2021_extended_to_manavgat_2021,burnable_tree_shrub,baseline,2,10,10,0.07112127207935677,0.05855855855855856,1554,91
evia_2021_extended_to_manavgat_2021,burnable_tree_shrub,baseline,3,10,10,0.090731057999828,0.0695428203477141,1553,108
evia_2021_extended_to_manavgat_2021,burnable_tree_shrub,baseline,4,10,10,0.11584667637884599,0.08172458172458172,1554,127
evia_2021_extended_to_manavgat_2021,burnable_tree_shrub,baseline,5,10,10,0.1622304292679831,0.12805662805662807,1554,199
