feature,population,region_experiment_id,burned_count,unburned_count,burned_mean,unburned_mean,burned_median,unburned_median,raw_auc,inverse_auc,rank_biserial_correlation,mean_difference,median_difference
ndvi_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,0.5284558057175788,0.5012731087573371,0.5439432263374329,0.5117437839508057,0.5640055957519895,0.4359944042480105,0.128011191503979,0.02718269696024167,0.0321994423866272
elevation_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,403.85461699861077,936.5861821601139,286.5644836425781,1003.9690246582031,0.232040982011245,0.767959017988755,-0.53591803597751,-532.7315651615031,-717.404541015625
slope_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,16.651308149779677,18.779500047781816,15.800135612487793,19.137463569641113,0.40018140735508156,0.5998185926449184,-0.19963718528983687,-2.1281918980021395,-3.3373279571533203
lst_anomaly_mean,burnable_tree_shrub_grass,manavgat_2021,2901,17257,-0.28627843026874966,-0.26482665437215785,-0.3801524341106415,-0.3845338821411133,0.5087692084924866,0.4912307915075133,0.01753841698497327,-0.021451775896591807,0.004381448030471802
current_lst_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17516,37.715104896896335,35.28684391989559,37.363975524902344,34.79208755493164,0.6646991429203886,0.33530085707961144,0.3293982858407771,2.428260977000747,2.571887969970703
current_tvdi_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17516,0.6167279790061981,0.47579069656829215,0.6215698719024658,0.4533839225769043,0.6770834881362302,0.3229165118637698,0.3541669762724604,0.140937282437906,0.16818594932556152
tvdi_difference_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17515,-0.04814380695971542,-0.032549167718153166,-0.04921964555978775,-0.03831816464662552,0.4603939869501002,0.5396060130498999,-0.0792120260997996,-0.015594639241562257,-0.010901480913162231
downscaled_lst_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,37.776970536786,35.26580557434679,37.42384338378906,34.695356369018555,0.6831504494668662,0.3168495505331337,0.3663008989337324,2.51116496243921,2.728487014770508
fused_lst_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,37.71511174840456,35.273966353646074,37.363975524902344,34.752668380737305,0.6662317904467838,0.333768209553216,0.33246358089356765,2.441145394758486,2.611307144165039
ndvi_mean,burnable_tree_shrub_grass,evia_2021_extended,2664,6634,0.6152870444015967,0.5588490345619478,0.6234641373157501,0.559615820646286,0.6391494562092995,0.3608505437907006,0.27829891241859905,0.05643800983964886,0.06384831666946411
elevation_mean,burnable_tree_shrub_grass,evia_2021_extended,2664,6634,301.9793722779006,302.70418538526485,262.8730926513672,228.12908172607422,0.540559580910425,0.45944041908957495,0.08111916182085,-0.7248131073642412,34.74401092529297
slope_mean,burnable_tree_shrub_grass,evia_2021_extended,2664,6634,15.375094120208924,15.977667321875256,15.05971908569336,15.663115501403809,0.486543098344048,0.513456901655952,-0.02691380331190396,-0.6025732016663312,-0.6033964157104492
lst_anomaly_mean,burnable_tree_shrub_grass,evia_2021_extended,2565,6450,0.5786416215122304,0.15845361887457934,0.5270716547966003,0.11597520485520363,0.6400549435604515,0.35994505643954844,0.2801098871209029,0.4201880026376511,0.4110964499413967
current_lst_mean,burnable_tree_shrub_grass,evia_2021_extended,2649,6626,34.47454323774016,36.6173129209823,34.17230987548828,36.12302589416504,0.37651907667348405,0.623480923326516,-0.2469618466530319,-2.1427696832421432,-1.9507160186767578
current_tvdi_mean,burnable_tree_shrub_grass,evia_2021_extended,2649,6626,0.4886340073813646,0.5891966125604104,0.4897002577781677,0.6088389158248901,0.36188826587369816,0.6381117341263018,-0.2762234682526037,-0.10056260517904586,-0.11913865804672241
tvdi_difference_mean,burnable_tree_shrub_grass,evia_2021_extended,2649,6624,-0.010601878747412882,-0.01664180080405423,-0.0025020684115588665,-0.006544530624523759,0.5191031776643451,0.4808968223356549,0.03820635532869021,0.006039922056641349,0.004042462212964892
downscaled_lst_mean,burnable_tree_shrub_grass,evia_2021_extended,2657,6495,34.47406938787596,36.59015502694756,34.2847785949707,35.9800910949707,0.3765491129362415,0.6234508870637585,-0.24690177412751702,-2.1160856390716063,-1.6953125
fused_lst_mean,burnable_tree_shrub_grass,evia_2021_extended,2664,6634,34.475980152954925,36.633475947962275,34.21380615234375,36.12302589416504,0.37566126384147186,0.6243387361585281,-0.24867747231705628,-2.1574957950073497,-1.909219741821289
ndvi_mean,all_valid,manavgat_2021,3046,21041,0.5170244236428334,0.4515060703434769,0.5385438203811646,0.4804486930370331,0.6132363890241742,0.3867636109758258,0.22647277804834842,0.06551835329935651,0.05809512734413147
elevation_mean,all_valid,manavgat_2021,3046,21041,391.5885774386375,806.2247661365999,272.45252990722656,840.232177734375,0.33742401376694964,0.6625759862330503,-0.3251519724661007,-414.6361886979624,-567.7796478271484
slope_mean,all_valid,manavgat_2021,3046,21041,16.260615047807935,16.022805035874562,15.528253555297852,17.44833755493164,0.48256031286570134,0.5174396871342987,-0.03487937426859733,0.23781001193337303,-1.920083999633789
lst_anomaly_mean,all_valid,manavgat_2021,3005,19034,-0.2739605993206473,-0.2984331412372045,-0.36865514516830444,-0.4154602736234665,0.5197411952374567,0.48025880476254335,0.03948239047491331,0.024472541916557178,0.04680512845516205
current_lst_mean,all_valid,manavgat_2021,3046,20966,37.6462057643397,34.94164670256273,37.31201362609863,34.56682586669922,0.6570836884455832,0.34291631155441676,0.31416737689116636,2.704559061776969,2.745187759399414
current_tvdi_mean,all_valid,manavgat_2021,3046,20964,0.6148454392043285,0.4619942338789838,0.6201779544353485,0.44200608134269714,0.6715775882815966,0.3284224117184034,0.3431551765631933,0.15285120532534474,0.17817187309265137
tvdi_difference_mean,all_valid,manavgat_2021,3046,20960,-0.046601380802089365,-0.0366628728791121,-0.04711359553039074,-0.0432641189545393,0.4772716329888278,0.5227283670111722,-0.0454567340223444,-0.009938507922977263,-0.0038494765758514404
downscaled_lst_mean,all_valid,manavgat_2021,3046,21041,37.71667980412003,34.91817440408065,37.36603927612305,34.50885772705078,0.6719799832381784,0.32802001676182163,0.34395996647635685,2.7985054000393745,2.8571815490722656
fused_lst_mean,all_valid,manavgat_2021,3046,21041,37.6462123661705,34.92867718411004,37.31201362609863,34.5212516784668,0.658615189061359,0.3413848109386411,0.3172303781227179,2.717535182060459,2.790761947631836
ndvi_mean,all_valid,evia_2021_extended,2788,20118,0.6012836197842784,0.2758092910797904,0.6190108358860016,0.208794966340065,0.8650349059629963,0.13496509403700377,0.7300698119259925,0.32547432870448795,0.4102158695459366
elevation_mean,all_valid,evia_2021_extended,2788,20118,290.47260561289744,101.882659004799,254.09134674072266,0.0,0.8370732923242112,0.16292670767578887,0.6741465846484225,188.58994660809844,254.09134674072266
slope_mean,all_valid,evia_2021_extended,2788,20118,14.873610228540608,5.475235747952362,14.813324928283691,0.0,0.8196131258145094,0.18038687418549068,0.6392262516290188,9.398374480588245,14.813324928283691
lst_anomaly_mean,all_valid,evia_2021_extended,2678,14080,0.5805477915252485,0.413225780567856,0.531056135892868,0.47172674536705017,0.5462714394222283,0.4537285605777718,0.09254287884445667,0.16732201095739246,0.05932939052581787
current_lst_mean,all_valid,evia_2021_extended,2773,20108,34.46760892678889,30.40837755112186,34.17197799682617,27.473671913146973,0.7710557454226081,0.2289442545773917,0.5421114908452163,4.059231375667032,6.698306083679199
current_tvdi_mean,all_valid,evia_2021_extended,2773,19820,0.4926496527550337,0.3730196828634504,0.4924660623073578,0.3128286153078079,0.6663723784525933,0.3336276215474066,0.3327447569051867,0.11962996989158331,0.17963744699954987
tvdi_difference_mean,all_valid,evia_2021_extended,2773,19799,-0.007520099519935636,0.08885268446621689,-0.00036827760050073266,0.046089183539152145,0.3268907606187952,0.6731092393812048,-0.34621847876240963,-0.09637278398615252,-0.04645746113965288
downscaled_lst_mean,all_valid,evia_2021_extended,2755,7476,34.52937629408932,36.34000430635235,34.319393157958984,35.782039642333984,0.40173969891796524,0.5982603010820349,-0.19652060216406952,-1.810628012263031,-1.462646484375
fused_lst_mean,all_valid,evia_2021_extended,2788,20118,34.469088106962666,30.417291524526625,34.20858192443848,27.479214668273926,0.770580066132059,0.229419933867941,0.541160132264118,4.05179658243604,6.729367256164551
ndvi_mean,burnable_tree_shrub,manavgat_2021,2297,13241,0.56586140068552,0.5509548065962365,0.5741269588470459,0.5507054328918457,0.557440664060526,0.44255933593947405,0.1148813281210519,0.01490659408928352,0.023421525955200195
elevation_mean,burnable_tree_shrub,manavgat_2021,2297,13241,452.1553583705638,863.1967497891812,344.6873779296875,918.3822631835938,0.25307055889680796,0.746929441103192,-0.4938588822063841,-411.0413914186174,-573.6948852539062
slope_mean,burnable_tree_shrub,manavgat_2021,2297,13241,17.963575169684113,19.631446444822146,16.979076385498047,19.60409927368164,0.4128228546463099,0.58717714535369,-0.17435429070738018,-1.6678712751380331,-2.6250228881835938
lst_anomaly_mean,burnable_tree_shrub,manavgat_2021,2272,12981,-0.32330655669239017,-0.21615008405041256,-0.41405047476291656,-0.3673257827758789,0.4909915738169871,0.5090084261830129,-0.018016852366025793,-0.10715647264197761,-0.04672469198703766
current_lst_mean,burnable_tree_shrub,manavgat_2021,2297,13219,36.65903564323588,35.01527395622841,36.55059814453125,34.68769454956055,0.6317871108271056,0.3682128891728944,0.2635742216542112,1.6437616870074692,1.8629035949707031
current_tvdi_mean,burnable_tree_shrub,manavgat_2021,2297,13219,0.5744478069128234,0.4683991587265723,0.5798513889312744,0.452928751707077,0.6475358535093629,0.35246414649063695,0.29507170701872587,0.1060486481862511,0.1269226372241974
tvdi_difference_mean,burnable_tree_shrub,manavgat_2021,2297,13219,-0.0522294660735969,-0.030454031937222976,-0.05702391639351845,-0.03831816464662552,0.4457783009989809,0.5542216990010191,-0.10844339800203817,-0.021775434136373926,-0.01870575174689293
downscaled_lst_mean,burnable_tree_shrub,manavgat_2021,2297,13241,36.82188285492169,35.074855035367435,36.71596145629883,34.66556930541992,0.6513907952755681,0.3486092047244319,0.3027815905511362,1.7470278195542548,2.0503921508789062
fused_lst_mean,burnable_tree_shrub,manavgat_2021,2297,13241,36.65904439777512,35.010356455516906,36.55059814453125,34.67609786987305,0.6325104899535509,0.3674895100464491,0.2650209799071017,1.6486879422582135,1.8745002746582031
ndvi_mean,burnable_tree_shrub,evia_2021_extended,2464,5699,0.6275242236261438,0.584309137940595,0.6303370594978333,0.5846138596534729,0.6186142391123528,0.3813857608876472,0.2372284782247056,0.04321508568554877,0.04572319984436035
elevation_mean,burnable_tree_shrub,evia_2021_extended,2464,5699,309.4179777855223,306.2992562575808,274.22450256347656,236.16339111328125,0.5377673985297033,0.46223260147029666,0.07553479705940669,3.1187215279414886,38.06111145019531
slope_mean,burnable_tree_shrub,evia_2021_extended,2464,5699,15.917870705536046,16.95120218335003,15.453518867492676,16.651201248168945,0.4641409378040805,0.5358590621959196,-0.071718124391839,-1.0333314778139844,-1.1976823806762695
lst_anomaly_mean,burnable_tree_shrub,evia_2021_extended,2366,5522,0.5442583776646102,0.09829443763206794,0.48834268748760223,0.04981701634824276,0.650724543614522,0.34927545638547786,0.30144908722904407,0.44596394003254225,0.4385256711393595
current_lst_mean,burnable_tree_shrub,evia_2021_extended,2449,5695,34.07878593018027,35.87538963264284,33.9333381652832,35.30631637573242,0.3938810379682306,0.6061189620317695,-0.2122379240635388,-1.7966037024625763,-1.3729782104492188
current_tvdi_mean,burnable_tree_shrub,evia_2021_extended,2449,5695,0.4713954604194694,0.56095847207295,0.47467267513275146,0.5655277371406555,0.37702547240259676,0.6229745275974031,-0.24594905519480648,-0.08956301165348063,-0.09085506200790405
tvdi_difference_mean,burnable_tree_shrub,evia_2021_extended,2449,5694,-0.014335270272157872,-0.02133801573788793,-0.006541150156408548,-0.011575480923056602,0.5214528112160357,0.4785471887839642,0.04290562243207141,0.007002745465730058,0.005034330766648054
downscaled_lst_mean,burnable_tree_shrub,evia_2021_extended,2458,5595,34.12961498754019,35.88237827120347,34.02256774902344,35.178932189941406,0.3976056734370671,0.602394326562933,-0.2047886531258658,-1.7527632836632847,-1.1563644409179688
fused_lst_mean,burnable_tree_shrub,evia_2021_extended,2464,5699,34.08520385971317,35.890509046991994,33.993309020996094,35.30778121948242,0.3937310715254214,0.6062689284745786,-0.21253785694915717,-1.805305187278826,-1.3144721984863281
