analysis_id,direction,method,model_family,roc_auc,pr_auc,positive_count,negative_count
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,montiferru_2021_to_manavgat_2021,within,baseline,0.8411807102607785,0.4698773243148263,2935,17576
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,montiferru_2021_to_manavgat_2021,within,thermal,0.90807357717935,0.6455894428110062,2935,17576
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,montiferru_2021_to_manavgat_2021,raw_source_only,baseline,0.3379486623776111,0.10149748008899191,2935,17576
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,montiferru_2021_to_manavgat_2021,raw_source_only,thermal,0.40410656586843297,0.11309560200174143,2935,17576
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,montiferru_2021_to_manavgat_2021,regionwise_zscore,baseline,0.4796763183340454,0.14633739464730725,2935,17576
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,montiferru_2021_to_manavgat_2021,regionwise_zscore,thermal,0.3879846123605133,0.11903533750412558,2935,17576
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,montiferru_2021_to_manavgat_2021,coral_after_regionwise_zscore,baseline,0.5337376777532317,0.16599706400692318,2935,17576
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,montiferru_2021_to_manavgat_2021,coral_after_regionwise_zscore,thermal,0.4360785072411737,0.12515209110497844,2935,17576
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,manavgat_2021_to_montiferru_2021,within,baseline,0.7811972850804343,0.47591144381283323,539,2005
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,manavgat_2021_to_montiferru_2021,within,thermal,0.8826347859479317,0.6846394141329942,539,2005
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,manavgat_2021_to_montiferru_2021,raw_source_only,baseline,0.5339859997501608,0.22516683861700296,539,2005
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,manavgat_2021_to_montiferru_2021,raw_source_only,thermal,0.5178084473417569,0.24319094268194025,539,2005
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,manavgat_2021_to_montiferru_2021,regionwise_zscore,baseline,0.5389258764036107,0.21385156149778944,539,2005
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,manavgat_2021_to_montiferru_2021,regionwise_zscore,thermal,0.5267545422158888,0.2091878478679505,539,2005
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,manavgat_2021_to_montiferru_2021,coral_after_regionwise_zscore,baseline,0.5223013893836836,0.2084478791158746,539,2005
27f5f9a83a56105b8be62adf87793be3debe9f20b06219b750e85ef879936a15,manavgat_2021_to_montiferru_2021,coral_after_regionwise_zscore,thermal,0.5050120524292238,0.20279149626507642,539,2005
