transfer_direction,population,model,bin_index,requested_n_bins,actual_n_bins,predicted_probability_mean,observed_burned_fraction,row_count,positive_count
manavgat_2021_to_montiferru_2021,all_valid,baseline,0,10,10,0.01968970691181996,0.1069182389937107,318,34
manavgat_2021_to_montiferru_2021,all_valid,baseline,1,10,10,0.0931294939746549,0.21451104100946372,317,68
manavgat_2021_to_montiferru_2021,all_valid,baseline,2,10,10,0.1324555057159729,0.2113564668769716,317,67
manavgat_2021_to_montiferru_2021,all_valid,baseline,3,10,10,0.16729323139167496,0.2082018927444795,317,66
manavgat_2021_to_montiferru_2021,all_valid,baseline,4,10,10,0.20601435776155153,0.2641509433962264,318,84
manavgat_2021_to_montiferru_2021,all_valid,baseline,5,10,10,0.26727501702226475,0.1861198738170347,317,59
manavgat_2021_to_montiferru_2021,all_valid,baseline,6,10,10,0.3830639754195727,0.24605678233438485,317,78
manavgat_2021_to_montiferru_2021,all_valid,baseline,7,10,10,0.5629840245992098,0.2870662460567823,317,91
manavgat_2021_to_montiferru_2021,all_valid,baseline,8,10,10,0.7343207635826283,0.2334384858044164,317,74
manavgat_2021_to_montiferru_2021,all_valid,baseline,9,10,10,0.889864214731146,0.2389937106918239,318,76
manavgat_2021_to_montiferru_2021,all_valid,thermal,0,10,10,0.07060070604715657,0.2578616352201258,318,82
manavgat_2021_to_montiferru_2021,all_valid,thermal,1,10,10,0.11923524136909822,0.17350157728706625,317,55
manavgat_2021_to_montiferru_2021,all_valid,thermal,2,10,10,0.14954229275168066,0.14511041009463724,317,46
manavgat_2021_to_montiferru_2021,all_valid,thermal,3,10,10,0.19215847093345048,0.2082018927444795,317,66
manavgat_2021_to_montiferru_2021,all_valid,thermal,4,10,10,0.24764248178884957,0.22955974842767296,318,73
manavgat_2021_to_montiferru_2021,all_valid,thermal,5,10,10,0.30776274832091083,0.1861198738170347,317,59
manavgat_2021_to_montiferru_2021,all_valid,thermal,6,10,10,0.37384484690210557,0.25236593059936907,317,80
manavgat_2021_to_montiferru_2021,all_valid,thermal,7,10,10,0.45236980220204903,0.1892744479495268,317,60
manavgat_2021_to_montiferru_2021,all_valid,thermal,8,10,10,0.5823677624900522,0.24921135646687698,317,79
manavgat_2021_to_montiferru_2021,all_valid,thermal,9,10,10,0.7631954497107679,0.3050314465408805,318,97
manavgat_2021_to_montiferru_2021,burnable_tree_shrub,baseline,0,10,10,0.08356117259209002,0.30538922155688625,167,51
