population,landcover_category,source_experiment_id,target_experiment_id,source_count,target_count,source_proportion,target_proportion,unseen_in_source,unseen_in_target
burnable_tree_shrub_grass,10,montiferru_2021,manavgat_2021,1759,15254,0.6914308176100629,0.7436985032421627,False,False
burnable_tree_shrub_grass,20,montiferru_2021,manavgat_2021,26,484,0.010220125786163521,0.023597094242113988,False,False
burnable_tree_shrub_grass,30,montiferru_2021,manavgat_2021,636,4545,0.25,0.2215884159719175,False,False
burnable_tree_shrub_grass,40,montiferru_2021,manavgat_2021,118,193,0.046383647798742135,0.009409585100677685,False,False
burnable_tree_shrub_grass,50,montiferru_2021,manavgat_2021,2,20,0.0007861635220125787,0.0009750865389303301,False,False
burnable_tree_shrub_grass,60,montiferru_2021,manavgat_2021,0,7,0.0,0.0003412802886256155,True,False
burnable_tree_shrub_grass,80,montiferru_2021,manavgat_2021,3,8,0.0011792452830188679,0.00039003461557213205,False,False
all_valid,10,montiferru_2021,manavgat_2021,1759,15276,0.5543649543019225,0.6342010212977955,False,False
all_valid,20,montiferru_2021,manavgat_2021,26,484,0.008194138039710053,0.02009382654543945,False,False
all_valid,30,montiferru_2021,manavgat_2021,637,4604,0.2007563819728963,0.19114044920496534,False,False
all_valid,40,montiferru_2021,manavgat_2021,494,1260,0.15568862275449102,0.05231037489102005,False,False
all_valid,50,montiferru_2021,manavgat_2021,21,272,0.006618342262842736,0.011292398389172583,False,False
all_valid,60,montiferru_2021,manavgat_2021,0,186,0.0,0.007722007722007722,True,False
all_valid,80,montiferru_2021,manavgat_2021,236,2002,0.07437756066813742,0.08311537343795408,False,False
all_valid,90,montiferru_2021,manavgat_2021,0,3,0.0,0.00012454851164528583,True,False
burnable_tree_shrub,10,montiferru_2021,manavgat_2021,1640,14748,0.9820359281437125,0.9491569056506629,False,False
burnable_tree_shrub,20,montiferru_2021,manavgat_2021,25,482,0.014970059880239521,0.031020723387823402,False,False
burnable_tree_shrub,30,montiferru_2021,manavgat_2021,5,308,0.0029940119760479044,0.019822370961513708,False,False
