feature,population,region_experiment_id,burned_count,unburned_count,burned_mean,unburned_mean,burned_median,unburned_median,raw_auc,inverse_auc,rank_biserial_correlation,mean_difference,median_difference
ndvi_mean,burnable_tree_shrub_grass,montiferru_2021,539,2005,0.615424055281287,0.5793323073155268,0.6181037425994873,0.5644292831420898,0.5862731853113042,0.41372681468869565,0.17254637062260847,0.0360917479657602,0.05367445945739746
elevation_mean,burnable_tree_shrub_grass,montiferru_2021,539,2005,456.7148911116959,383.03722760718955,424.2523193359375,356.18487548828125,0.5837706290859124,0.4162293709140876,0.16754125817182475,73.67766350450637,68.06744384765625
slope_mean,burnable_tree_shrub_grass,montiferru_2021,539,2005,10.623458071409662,7.67614257347554,9.148451805114746,5.886207580566406,0.6519721105399766,0.34802788946002344,0.3039442210799532,2.947315497934121,3.26224422454834
lst_anomaly_mean,burnable_tree_shrub_grass,montiferru_2021,539,2005,-0.6760594965045553,-0.49652533072776783,-0.6554248332977295,-0.4291751980781555,0.39519013227598904,0.6048098677240109,-0.20961973544802193,-0.1795341657767875,-0.22624963521957397
current_lst_mean,burnable_tree_shrub_grass,montiferru_2021,539,2005,34.00808304625672,36.095905198361216,34.42359161376953,37.1414680480957,0.3704643770906685,0.6295356229093314,-0.25907124581866303,-2.0878221521044935,-2.717876434326172
current_tvdi_mean,burnable_tree_shrub_grass,montiferru_2021,539,2005,0.5510074642730608,0.6413237145045154,0.5883014798164368,0.7063643932342529,0.3555286181577596,0.6444713818422404,-0.2889427636844808,-0.09031625023145462,-0.11806291341781616
tvdi_difference_mean,burnable_tree_shrub_grass,montiferru_2021,539,2005,-0.16400922031475187,-0.11929731464431671,-0.15143467485904694,-0.11281142383813858,0.37762180818824925,0.6223781918117507,-0.2447563836235015,-0.04471190567043516,-0.038623251020908356
downscaled_lst_mean,burnable_tree_shrub_grass,montiferru_2021,539,2002,34.06553235522891,36.192415552777604,34.57616424560547,37.302555084228516,0.364736376795746,0.6352636232042539,-0.270527246408508,-2.1268831975486933,-2.726390838623047
fused_lst_mean,burnable_tree_shrub_grass,montiferru_2021,539,2005,34.008139056487074,36.09891919352467,34.42359161376953,37.1414680480957,0.37047270506479624,0.6295272949352037,-0.2590545898704075,-2.090780137037598,-2.717876434326172
ndvi_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,0.5284558057175788,0.5012731087573371,0.5439432263374329,0.5117437839508057,0.5640055957519895,0.4359944042480105,0.128011191503979,0.02718269696024167,0.0321994423866272
elevation_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,403.85461699861077,936.5861821601139,286.5644836425781,1003.9690246582031,0.232040982011245,0.767959017988755,-0.53591803597751,-532.7315651615031,-717.404541015625
slope_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,16.651308149779677,18.779500047781816,15.800135612487793,19.137463569641113,0.40018140735508156,0.5998185926449184,-0.19963718528983687,-2.1281918980021395,-3.3373279571533203
lst_anomaly_mean,burnable_tree_shrub_grass,manavgat_2021,2901,17257,-0.28627843026874966,-0.26482665437215785,-0.3801524341106415,-0.3845338821411133,0.5087692084924866,0.4912307915075133,0.01753841698497327,-0.021451775896591807,0.004381448030471802
current_lst_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17516,37.715104896896335,35.28684391989559,37.363975524902344,34.79208755493164,0.6646991429203886,0.33530085707961144,0.3293982858407771,2.428260977000747,2.571887969970703
current_tvdi_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17516,0.6167279790061981,0.47579069656829215,0.6215698719024658,0.4533839225769043,0.6770834881362302,0.3229165118637698,0.3541669762724604,0.140937282437906,0.16818594932556152
tvdi_difference_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17515,-0.04814380695971542,-0.032549167718153166,-0.04921964555978775,-0.03831816464662552,0.4603939869501002,0.5396060130498999,-0.0792120260997996,-0.015594639241562257,-0.010901480913162231
downscaled_lst_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,37.776970536786,35.26580557434679,37.42384338378906,34.695356369018555,0.6831504494668662,0.3168495505331337,0.3663008989337324,2.51116496243921,2.728487014770508
fused_lst_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,37.71511174840456,35.273966353646074,37.363975524902344,34.752668380737305,0.6662317904467838,0.333768209553216,0.33246358089356765,2.441145394758486,2.611307144165039
ndvi_mean,all_valid,montiferru_2021,697,2476,0.5695024083556882,0.5251697421121684,0.5664382576942444,0.5228299498558044,0.5731339365802667,0.4268660634197333,0.14626787316053336,0.044332666243519836,0.04360830783843994
elevation_mean,all_valid,montiferru_2021,697,2476,416.2836999003822,342.5012817624902,348.96966552734375,324.92022705078125,0.5862089546011873,0.41379104539881284,0.17241790920237454,73.78241813789202,24.0494384765625
slope_mean,all_valid,montiferru_2021,697,2476,9.086223363705312,6.648885528992902,7.276615619659424,5.091913461685181,0.6198704116186842,0.3801295883813157,0.23974082323736834,2.4373378347124097,2.184702157974243
lst_anomaly_mean,all_valid,montiferru_2021,697,2423,-0.5810753700593647,-0.4760831548718146,-0.5846892595291138,-0.41991934180259705,0.4399356714792658,0.5600643285207342,-0.12012865704146836,-0.10499221518755014,-0.16476991772651672
current_lst_mean,all_valid,montiferru_2021,697,2476,35.52849902860403,35.5983444107561,35.95717239379883,37.14274024963379,0.47415852151964455,0.5258414784803553,-0.0516829569607109,-0.06984538215206726,-1.185567855834961
current_tvdi_mean,all_valid,montiferru_2021,697,2476,0.6039295744215097,0.6104568359819429,0.6491767764091492,0.7056604325771332,0.44827242532617284,0.5517275746738272,-0.10345514934765432,-0.006527261560433151,-0.05648365616798401
tvdi_difference_mean,all_valid,montiferru_2021,697,2476,-0.14255589531531068,-0.10479673052677108,-0.13309793174266815,-0.09567694738507271,0.395715077078548,0.604284922921452,-0.20856984584290394,-0.037759164788539606,-0.037420984357595444
downscaled_lst_mean,all_valid,montiferru_2021,697,2292,35.50587579680652,36.6893402993367,36.3772087097168,37.82930374145508,0.4231754890693348,0.5768245109306652,-0.15364902186133045,-1.1834645025301782,-1.4520950317382812
fused_lst_mean,all_valid,montiferru_2021,697,2476,35.52854234211072,35.60080804655355,35.95717239379883,37.14274024963379,0.4741637365770218,0.5258362634229783,-0.05167252684595636,-0.07226570444283453,-1.185567855834961
ndvi_mean,all_valid,manavgat_2021,3046,21041,0.5170244236428334,0.4515060703434769,0.5385438203811646,0.4804486930370331,0.6132363890241742,0.3867636109758258,0.22647277804834842,0.06551835329935651,0.05809512734413147
elevation_mean,all_valid,manavgat_2021,3046,21041,391.5885774386375,806.2247661365999,272.45252990722656,840.232177734375,0.33742401376694964,0.6625759862330503,-0.3251519724661007,-414.6361886979624,-567.7796478271484
slope_mean,all_valid,manavgat_2021,3046,21041,16.260615047807935,16.022805035874562,15.528253555297852,17.44833755493164,0.48256031286570134,0.5174396871342987,-0.03487937426859733,0.23781001193337303,-1.920083999633789
lst_anomaly_mean,all_valid,manavgat_2021,3005,19034,-0.2739605993206473,-0.2984331412372045,-0.36865514516830444,-0.4154602736234665,0.5197411952374567,0.48025880476254335,0.03948239047491331,0.024472541916557178,0.04680512845516205
current_lst_mean,all_valid,manavgat_2021,3046,20966,37.6462057643397,34.94164670256273,37.31201362609863,34.56682586669922,0.6570836884455832,0.34291631155441676,0.31416737689116636,2.704559061776969,2.745187759399414
current_tvdi_mean,all_valid,manavgat_2021,3046,20964,0.6148454392043285,0.4619942338789838,0.6201779544353485,0.44200608134269714,0.6715775882815966,0.3284224117184034,0.3431551765631933,0.15285120532534474,0.17817187309265137
tvdi_difference_mean,all_valid,manavgat_2021,3046,20960,-0.046601380802089365,-0.0366628728791121,-0.04711359553039074,-0.0432641189545393,0.4772716329888278,0.5227283670111722,-0.0454567340223444,-0.009938507922977263,-0.0038494765758514404
