analysis_id,direction,method,model_family,roc_auc,pr_auc,positive_count,negative_count
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,mugla_2021_to_manavgat_2021,within,baseline,0.8411807102607785,0.4698773243148263,2935,17576
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,mugla_2021_to_manavgat_2021,within,thermal,0.90807357717935,0.6455894428110062,2935,17576
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,mugla_2021_to_manavgat_2021,raw_source_only,baseline,0.4222591457764537,0.11374056637797869,2935,17576
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,mugla_2021_to_manavgat_2021,raw_source_only,thermal,0.3449553227686198,0.1007227330135432,2935,17576
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,mugla_2021_to_manavgat_2021,regionwise_zscore,baseline,0.5040034846961049,0.14387269504148395,2935,17576
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,mugla_2021_to_manavgat_2021,regionwise_zscore,thermal,0.4848188621001691,0.13515389825055135,2935,17576
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,mugla_2021_to_manavgat_2021,coral_after_regionwise_zscore,baseline,0.5169926816729333,0.143924054924037,2935,17576
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,mugla_2021_to_manavgat_2021,coral_after_regionwise_zscore,thermal,0.4761153896555548,0.13380908190988589,2935,17576
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,manavgat_2021_to_mugla_2021,within,baseline,0.7433200295403336,0.22494508611689773,2911,38819
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,manavgat_2021_to_mugla_2021,within,thermal,0.8589830389802724,0.44674739014417914,2911,38819
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,manavgat_2021_to_mugla_2021,raw_source_only,baseline,0.4656065622633644,0.06519776046968895,2911,38819
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,manavgat_2021_to_mugla_2021,raw_source_only,thermal,0.4376617829318566,0.05951686892404788,2911,38819
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,manavgat_2021_to_mugla_2021,regionwise_zscore,baseline,0.4612404844585688,0.060960667912937874,2911,38819
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,manavgat_2021_to_mugla_2021,regionwise_zscore,thermal,0.4267463273627929,0.05742824987998013,2911,38819
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,manavgat_2021_to_mugla_2021,coral_after_regionwise_zscore,baseline,0.4753198942508232,0.06408822149528663,2911,38819
2843b998c142c98d266cbb16e299412fcf6b15cefd7f5c6f600dca321500107c,manavgat_2021_to_mugla_2021,coral_after_regionwise_zscore,thermal,0.41742050141736736,0.057108657720288655,2911,38819
