transfer_direction,population,model,bin_index,requested_n_bins,actual_n_bins,predicted_probability_mean,observed_burned_fraction,row_count,positive_count
manavgat_2021_to_mugla_2021,all_valid,baseline,0,10,10,0.00028184524970713135,0.0006060606060606061,8250,5
manavgat_2021_to_mugla_2021,all_valid,baseline,1,10,10,0.0019382797682571183,0.0014456089627755693,8301,12
manavgat_2021_to_mugla_2021,all_valid,baseline,2,10,10,0.0043391515067052995,0.0012576356449874237,5566,7
manavgat_2021_to_mugla_2021,all_valid,baseline,3,10,10,0.010510854728397408,0.02816504717645402,7101,200
manavgat_2021_to_mugla_2021,all_valid,baseline,4,10,10,0.06014711442746379,0.08076659822039699,7305,590
manavgat_2021_to_mugla_2021,all_valid,baseline,5,10,10,0.18695937475745375,0.05093099671412924,7304,372
manavgat_2021_to_mugla_2021,all_valid,baseline,6,10,10,0.3267059708953849,0.05805038335158817,7304,424
manavgat_2021_to_mugla_2021,all_valid,baseline,7,10,10,0.4647289888755247,0.06338124572210814,7305,463
manavgat_2021_to_mugla_2021,all_valid,baseline,8,10,10,0.5979006146253752,0.06859255202628696,7304,501
manavgat_2021_to_mugla_2021,all_valid,baseline,9,10,10,0.7792077819859381,0.06187542778918549,7305,452
manavgat_2021_to_mugla_2021,all_valid,thermal,0,10,10,2.4070729499032028e-05,0.0006536802196365538,7649,5
manavgat_2021_to_mugla_2021,all_valid,thermal,1,10,10,7.601082472011947e-05,0.000284050560999858,7041,2
manavgat_2021_to_mugla_2021,all_valid,thermal,2,10,10,0.006748013690673627,0.008977900552486187,7240,65
manavgat_2021_to_mugla_2021,all_valid,thermal,3,10,10,0.03296987001787109,0.02428649835345774,7288,177
manavgat_2021_to_mugla_2021,all_valid,thermal,4,10,10,0.09979897902607435,0.07638603696098563,7305,558
manavgat_2021_to_mugla_2021,all_valid,thermal,5,10,10,0.22758600210130295,0.06763417305585981,7304,494
manavgat_2021_to_mugla_2021,all_valid,thermal,6,10,10,0.3552826441476457,0.06434830230010953,7304,470
