population,landcover_category,source_experiment_id,target_experiment_id,source_count,target_count,source_proportion,target_proportion,unseen_in_source,unseen_in_target
burnable_tree_shrub_grass,10,mugla_2021,manavgat_2021,36039,15254,0.8636232925952552,0.7436985032421627,False,False
burnable_tree_shrub_grass,20,mugla_2021,manavgat_2021,1852,484,0.04438054157680326,0.023597094242113988,False,False
burnable_tree_shrub_grass,30,mugla_2021,manavgat_2021,3286,4545,0.0787443086508507,0.2215884159719175,False,False
burnable_tree_shrub_grass,40,mugla_2021,manavgat_2021,313,193,0.0075005990893841365,0.009409585100677685,False,False
burnable_tree_shrub_grass,50,mugla_2021,manavgat_2021,87,20,0.0020848310567936736,0.0009750865389303301,False,False
burnable_tree_shrub_grass,60,mugla_2021,manavgat_2021,46,7,0.0011023244668104482,0.0003412802886256155,False,False
burnable_tree_shrub_grass,80,mugla_2021,manavgat_2021,100,8,0.0023963575365444525,0.00039003461557213205,False,False
burnable_tree_shrub_grass,90,mugla_2021,manavgat_2021,7,0,0.00016774502755811168,0.0,False,True
all_valid,10,mugla_2021,manavgat_2021,36108,15276,0.494325415839551,0.6342010212977955,False,False
all_valid,20,mugla_2021,manavgat_2021,1852,484,0.025354233691559997,0.02009382654543945,False,False
all_valid,30,mugla_2021,manavgat_2021,3345,4604,0.04579368882195907,0.19114044920496534,False,False
all_valid,40,mugla_2021,manavgat_2021,2370,1260,0.03244575261824902,0.05231037489102005,False,False
all_valid,50,mugla_2021,manavgat_2021,636,272,0.008706961462112396,0.011292398389172583,False,False
all_valid,60,mugla_2021,manavgat_2021,229,186,0.0031350537339995895,0.007722007722007722,False,False
all_valid,80,mugla_2021,manavgat_2021,28410,2002,0.38893832568964337,0.08311537343795408,False,False
all_valid,90,mugla_2021,manavgat_2021,95,3,0.0013005681429255939,0.00012454851164528583,False,False
burnable_tree_shrub,10,mugla_2021,manavgat_2021,35259,14748,0.9423256808402598,0.9491569056506629,False,False
burnable_tree_shrub,20,mugla_2021,manavgat_2021,1825,482,0.04877462116150413,0.031020723387823402,False,False
burnable_tree_shrub,30,mugla_2021,manavgat_2021,285,308,0.007616858647139001,0.019822370961513708,False,False
burnable_tree_shrub,40,mugla_2021,manavgat_2021,9,0,0.00024053237833070529,0.0,False,True
burnable_tree_shrub,50,mugla_2021,manavgat_2021,5,0,0.00013362909907261406,0.0,False,True
burnable_tree_shrub,60,mugla_2021,manavgat_2021,1,0,2.672581981452281e-05,0.0,False,True
burnable_tree_shrub,80,mugla_2021,manavgat_2021,32,0,0.0008552262340647299,0.0,False,True
burnable_tree_shrub,90,mugla_2021,manavgat_2021,1,0,2.672581981452281e-05,0.0,False,True
