experiment_id,component_id,size_cells,min_row,min_col,max_row,max_col,touches_edge,approximate_area_km2,burn_date_min,burn_date_max,burn_date_span,burn_date_unique_valid_count,population
bejis_2022,1,1103,40,53,78,96,False,275.75,227.0,237.0,10.0,9,all_valid_burned
bejis_2022,1,1100,40,53,78,96,False,275.0,227.0,237.0,10.0,9,burnable_tree_shrub_grass_burned
bejis_2022,1,1100,40,53,78,96,False,275.0,227.0,237.0,10.0,9,burnable_tree_shrub_grass_valid_for_modeling_burned
evia_2021_extended,1,2777,24,27,97,90,False,694.25,215.0,226.0,11.0,11,all_valid_burned
evia_2021_extended,2,11,108,34,110,37,False,2.75,218.0,218.0,0.0,1,all_valid_burned
evia_2021_extended,1,2653,24,27,97,89,False,663.25,215.0,226.0,11.0,11,burnable_tree_shrub_grass_burned
evia_2021_extended,2,11,108,34,110,37,False,2.75,218.0,218.0,0.0,1,burnable_tree_shrub_grass_burned
evia_2021_extended,1,2653,24,27,97,89,False,663.25,215.0,226.0,11.0,11,burnable_tree_shrub_grass_valid_for_modeling_burned
evia_2021_extended,2,11,108,34,110,37,False,2.75,218.0,218.0,0.0,1,burnable_tree_shrub_grass_valid_for_modeling_burned
manavgat_2021,1,3046,63,47,129,144,False,761.5,209.0,241.0,32.0,14,all_valid_burned
manavgat_2021,1,2934,63,47,129,144,False,733.5,209.0,241.0,32.0,14,burnable_tree_shrub_grass_burned
manavgat_2021,2,1,110,103,110,103,False,0.25,209.0,209.0,0.0,1,burnable_tree_shrub_grass_burned
manavgat_2021,1,2934,63,47,129,144,False,733.5,209.0,241.0,32.0,14,burnable_tree_shrub_grass_valid_for_modeling_burned
manavgat_2021,2,1,110,103,110,103,False,0.25,209.0,209.0,0.0,1,burnable_tree_shrub_grass_valid_for_modeling_burned
montiferru_2021,1,7,0,29,2,31,True,1.75,206.0,208.0,2.0,2,all_valid_burned
montiferru_2021,2,690,1,4,33,49,False,172.5,205.0,219.0,14.0,9,all_valid_burned
montiferru_2021,1,416,1,10,33,49,False,104.0,205.0,219.0,14.0,8,burnable_tree_shrub_grass_burned
montiferru_2021,2,3,1,29,2,30,False,0.75,206.0,208.0,2.0,2,burnable_tree_shrub_grass_burned
montiferru_2021,3,48,2,4,10,15,False,12.0,206.0,208.0,2.0,3,burnable_tree_shrub_grass_burned
montiferru_2021,4,1,2,23,2,23,False,0.25,206.0,206.0,0.0,1,burnable_tree_shrub_grass_burned
montiferru_2021,5,55,4,26,10,40,False,13.75,205.0,211.0,6.0,4,burnable_tree_shrub_grass_burned
montiferru_2021,6,6,5,24,8,26,False,1.5,206.0,206.0,0.0,1,burnable_tree_shrub_grass_burned
montiferru_2021,7,9,10,26,14,28,False,2.25,206.0,211.0,5.0,2,burnable_tree_shrub_grass_burned
montiferru_2021,8,1,28,16,28,16,False,0.25,206.0,206.0,0.0,1,burnable_tree_shrub_grass_burned
montiferru_2021,1,416,1,10,33,49,False,104.0,205.0,219.0,14.0,8,burnable_tree_shrub_grass_valid_for_modeling_burned
montiferru_2021,2,3,1,29,2,30,False,0.75,206.0,208.0,2.0,2,burnable_tree_shrub_grass_valid_for_modeling_burned
montiferru_2021,3,48,2,4,10,15,False,12.0,206.0,208.0,2.0,3,burnable_tree_shrub_grass_valid_for_modeling_burned
montiferru_2021,4,1,2,23,2,23,False,0.25,206.0,206.0,0.0,1,burnable_tree_shrub_grass_valid_for_modeling_burned
montiferru_2021,5,55,4,26,10,40,False,13.75,205.0,211.0,6.0,4,burnable_tree_shrub_grass_valid_for_modeling_burned
montiferru_2021,6,6,5,24,8,26,False,1.5,206.0,206.0,0.0,1,burnable_tree_shrub_grass_valid_for_modeling_burned
montiferru_2021,7,9,10,26,14,28,False,2.25,206.0,211.0,5.0,2,burnable_tree_shrub_grass_valid_for_modeling_burned
montiferru_2021,8,1,28,16,28,16,False,0.25,206.0,206.0,0.0,1,burnable_tree_shrub_grass_valid_for_modeling_burned
mugla_2021,1,741,0,261,40,300,True,185.25,214.0,224.0,10.0,10,all_valid_burned
mugla_2021,2,29,13,116,19,122,False,7.25,229.0,235.0,6.0,6,all_valid_burned
mugla_2021,3,18,30,100,32,106,False,4.5,216.0,223.0,7.0,4,all_valid_burned
mugla_2021,4,14,33,337,36,340,False,3.5,216.0,216.0,0.0,1,all_valid_burned
mugla_2021,5,969,71,121,100,176,False,242.25,210.0,222.0,12.0,13,all_valid_burned
mugla_2021,6,27,84,36,88,42,False,6.75,222.0,224.0,2.0,3,all_valid_burned
mugla_2021,7,548,84,354,110,392,True,137.0,210.0,223.0,13.0,14,all_valid_burned
mugla_2021,8,11,91,75,93,78,False,2.75,212.0,213.0,1.0,2,all_valid_burned
mugla_2021,9,669,131,221,163,261,False,167.25,210.0,219.0,9.0,9,all_valid_burned
mugla_2021,1,738,0,261,40,300,True,184.5,214.0,224.0,10.0,10,burnable_tree_shrub_grass_burned
mugla_2021,2,2,14,116,15,116,False,0.5,235.0,235.0,0.0,1,burnable_tree_shrub_grass_burned
mugla_2021,3,1,19,119,19,119,False,0.25,231.0,231.0,0.0,1,burnable_tree_shrub_grass_burned
mugla_2021,4,18,30,100,32,106,False,4.5,216.0,223.0,7.0,4,burnable_tree_shrub_grass_burned
mugla_2021,5,14,33,337,36,340,False,3.5,216.0,216.0,0.0,1,burnable_tree_shrub_grass_burned
mugla_2021,6,914,71,121,99,176,False,228.5,210.0,222.0,12.0,13,burnable_tree_shrub_grass_burned
mugla_2021,7,27,84,36,88,42,False,6.75,222.0,224.0,2.0,3,burnable_tree_shrub_grass_burned
mugla_2021,8,548,84,354,110,392,True,137.0,210.0,223.0,13.0,14,burnable_tree_shrub_grass_burned
mugla_2021,9,10,91,75,93,78,False,2.5,212.0,213.0,1.0,2,burnable_tree_shrub_grass_burned
mugla_2021,10,639,131,222,163,260,False,159.75,210.0,219.0,9.0,9,burnable_tree_shrub_grass_burned
mugla_2021,1,738,0,261,40,300,True,184.5,214.0,224.0,10.0,10,burnable_tree_shrub_grass_valid_for_modeling_burned
mugla_2021,2,2,14,116,15,116,False,0.5,235.0,235.0,0.0,1,burnable_tree_shrub_grass_valid_for_modeling_burned
mugla_2021,3,1,19,119,19,119,False,0.25,231.0,231.0,0.0,1,burnable_tree_shrub_grass_valid_for_modeling_burned
mugla_2021,4,18,30,100,32,106,False,4.5,216.0,223.0,7.0,4,burnable_tree_shrub_grass_valid_for_modeling_burned
mugla_2021,5,14,33,337,36,340,False,3.5,216.0,216.0,0.0,1,burnable_tree_shrub_grass_valid_for_modeling_burned
mugla_2021,6,914,71,121,99,176,False,228.5,210.0,222.0,12.0,13,burnable_tree_shrub_grass_valid_for_modeling_burned
mugla_2021,7,27,84,36,88,42,False,6.75,222.0,224.0,2.0,3,burnable_tree_shrub_grass_valid_for_modeling_burned
mugla_2021,8,548,84,354,110,392,True,137.0,210.0,223.0,13.0,14,burnable_tree_shrub_grass_valid_for_modeling_burned
mugla_2021,9,10,91,75,93,78,False,2.5,212.0,213.0,1.0,2,burnable_tree_shrub_grass_valid_for_modeling_burned
mugla_2021,10,639,131,222,163,260,False,159.75,210.0,219.0,9.0,9,burnable_tree_shrub_grass_valid_for_modeling_burned
