population,class_code,label,count,fraction
all_valid_burned,10,tree_cover,2321,0.7619829284307288
all_valid_burned,30,grassland,561,0.18417596848325674
all_valid_burned,80,permanent_water,80,0.026263952724885097
all_valid_burned,40,cropland,54,0.01772816808929744
all_valid_burned,20,shrubland,28,0.009192383453709783
all_valid_burned,60,bare_sparse_vegetation,1,0.00032829940906106366
all_valid_burned,50,built_up,1,0.00032829940906106366
burnable_tree_shrub_grass_burned,10,tree_cover,2321,0.7908006814310051
burnable_tree_shrub_grass_burned,30,grassland,561,0.19114139693356047
burnable_tree_shrub_grass_burned,20,shrubland,28,0.009540034071550256
burnable_tree_shrub_grass_burned,40,cropland,18,0.006132879045996593
burnable_tree_shrub_grass_burned,80,permanent_water,6,0.0020442930153321977
burnable_tree_shrub_grass_burned,60,bare_sparse_vegetation,1,0.00034071550255536625
burnable_tree_shrub_grass_valid_for_modeling_burned,10,tree_cover,2321,0.7908006814310051
burnable_tree_shrub_grass_valid_for_modeling_burned,30,grassland,561,0.19114139693356047
burnable_tree_shrub_grass_valid_for_modeling_burned,20,shrubland,28,0.009540034071550256
burnable_tree_shrub_grass_valid_for_modeling_burned,40,cropland,18,0.006132879045996593
burnable_tree_shrub_grass_valid_for_modeling_burned,80,permanent_water,6,0.0020442930153321977
burnable_tree_shrub_grass_valid_for_modeling_burned,60,bare_sparse_vegetation,1,0.00034071550255536625
