feature,step9e_direction,step9e_available,step9e_mean_direction_flip,step9e_median_direction_flip,step9e_rank_effect_direction_flip,step9e_raw_auc_below_0_5_in_one_region_only,step9e_relationship_flip_score,step9e_source_raw_auc,step9e_target_raw_auc
ndvi_mean,manavgat_2021__bejis_2022,True,False,False,False,False,0.0,0.5640055957519895,0.5587527905026131
elevation_mean,manavgat_2021__bejis_2022,True,True,True,True,True,3.0,0.232040982011245,0.6432824053164721
slope_mean,manavgat_2021__bejis_2022,True,True,True,True,True,3.0,0.4001814073550815,0.5207878895412608
lst_anomaly_mean,manavgat_2021__bejis_2022,True,False,True,True,True,2.0,0.5087692084924866,0.4179915266529903
current_lst_mean,manavgat_2021__bejis_2022,True,True,True,True,True,3.0,0.6646991429203886,0.4767477506934928
current_tvdi_mean,manavgat_2021__bejis_2022,True,False,False,False,False,0.0,0.6770834881362302,0.5172782323463783
tvdi_difference_mean,manavgat_2021__bejis_2022,True,True,True,True,True,3.0,0.4603939869501002,0.5124941631737097
downscaled_lst_mean,manavgat_2021__bejis_2022,True,True,False,True,True,2.0,0.6831504494668662,0.4836430737466933
fused_lst_mean,manavgat_2021__bejis_2022,True,True,True,True,True,3.0,0.6662317904467838,0.4806129105103555
ndvi_mean,bejis_2022__manavgat_2021,False,,,,,,,
elevation_mean,bejis_2022__manavgat_2021,False,,,,,,,
slope_mean,bejis_2022__manavgat_2021,False,,,,,,,
lst_anomaly_mean,bejis_2022__manavgat_2021,False,,,,,,,
current_lst_mean,bejis_2022__manavgat_2021,False,,,,,,,
current_tvdi_mean,bejis_2022__manavgat_2021,False,,,,,,,
tvdi_difference_mean,bejis_2022__manavgat_2021,False,,,,,,,
downscaled_lst_mean,bejis_2022__manavgat_2021,False,,,,,,,
fused_lst_mean,bejis_2022__manavgat_2021,False,,,,,,,
