feature,step9e_direction,step9e_available,step9e_mean_direction_flip,step9e_median_direction_flip,step9e_rank_effect_direction_flip,step9e_raw_auc_below_0_5_in_one_region_only,step9e_relationship_flip_score,step9e_source_raw_auc,step9e_target_raw_auc
ndvi_mean,manavgat_2021__evia_2021,True,False,False,False,False,0.0,0.5640055957519895,0.530982585466552
elevation_mean,manavgat_2021__evia_2021,True,True,True,True,True,3.0,0.232040982011245,0.6471984520414713
slope_mean,manavgat_2021__evia_2021,True,True,True,True,True,3.0,0.4001814073550815,0.5207375456919672
lst_anomaly_mean,manavgat_2021__evia_2021,True,True,False,False,False,1.0,0.5087692084924866,0.5486834003945583
current_lst_mean,manavgat_2021__evia_2021,True,True,True,True,True,3.0,0.6646991429203886,0.4157760500201961
current_tvdi_mean,manavgat_2021__evia_2021,True,True,True,True,True,3.0,0.6770834881362302,0.3751694819168109
tvdi_difference_mean,manavgat_2021__evia_2021,True,True,True,True,True,3.0,0.4603939869501002,0.5211031560249345
downscaled_lst_mean,manavgat_2021__evia_2021,True,True,True,True,True,3.0,0.6831504494668662,0.4151860530095732
fused_lst_mean,manavgat_2021__evia_2021,True,True,True,True,True,3.0,0.6662317904467838,0.4140581257139712
ndvi_mean,evia_2021__manavgat_2021,False,,,,,,,
elevation_mean,evia_2021__manavgat_2021,False,,,,,,,
slope_mean,evia_2021__manavgat_2021,False,,,,,,,
lst_anomaly_mean,evia_2021__manavgat_2021,False,,,,,,,
current_lst_mean,evia_2021__manavgat_2021,False,,,,,,,
current_tvdi_mean,evia_2021__manavgat_2021,False,,,,,,,
tvdi_difference_mean,evia_2021__manavgat_2021,False,,,,,,,
downscaled_lst_mean,evia_2021__manavgat_2021,False,,,,,,,
fused_lst_mean,evia_2021__manavgat_2021,False,,,,,,,
