experiment_id,landcover_class_code,row_count,population_fraction,burned_count,unburned_count,burned_prevalence
manavgat_2021,10,15254,0.7436985032421627,2321,12933,0.1521568113281762
manavgat_2021,20,484,0.023597094242113988,28,456,0.05785123966942149
manavgat_2021,30,4545,0.2215884159719175,561,3984,0.12343234323432344
manavgat_2021,40,193,0.009409585100677685,18,175,0.09326424870466321
manavgat_2021,50,20,0.0009750865389303301,0,20,0.0
manavgat_2021,60,7,0.0003412802886256155,1,6,0.14285714285714285
manavgat_2021,80,8,0.00039003461557213205,6,2,0.75
evia_2021_extended,10,8021,0.8626586362658636,2511,5510,0.3130532352574492
evia_2021_extended,20,231,0.024844052484405247,6,225,0.025974025974025976
evia_2021_extended,30,899,0.09668745966874596,115,784,0.12791991101223582
evia_2021_extended,40,91,0.009787050978705098,25,66,0.27472527472527475
evia_2021_extended,50,13,0.001398150139815014,2,11,0.15384615384615385
evia_2021_extended,60,18,0.0019359001935900194,3,15,0.16666666666666666
evia_2021_extended,80,24,0.002581200258120026,2,22,0.08333333333333333
evia_2021_extended,90,1,0.00010755001075500108,0,1,0.0
