experiment_id,landcover_class_code,row_count,population_fraction,burned_count,unburned_count,burned_prevalence
montiferru_2021,10,1759,0.6914308176100629,412,1347,0.23422399090392268
montiferru_2021,20,26,0.010220125786163521,1,25,0.038461538461538464
montiferru_2021,30,636,0.25,91,545,0.1430817610062893
montiferru_2021,40,118,0.046383647798742135,35,83,0.2966101694915254
montiferru_2021,50,2,0.0007861635220125787,0,2,0.0
montiferru_2021,80,3,0.0011792452830188679,0,3,0.0
manavgat_2021,10,15254,0.7436985032421627,2321,12933,0.1521568113281762
manavgat_2021,20,484,0.023597094242113988,28,456,0.05785123966942149
manavgat_2021,30,4545,0.2215884159719175,561,3984,0.12343234323432344
manavgat_2021,40,193,0.009409585100677685,18,175,0.09326424870466321
manavgat_2021,50,20,0.0009750865389303301,0,20,0.0
manavgat_2021,60,7,0.0003412802886256155,1,6,0.14285714285714285
manavgat_2021,80,8,0.00039003461557213205,6,2,0.75
