feature,step9e_direction,step9e_available,step9e_mean_direction_flip,step9e_median_direction_flip,step9e_rank_effect_direction_flip,step9e_raw_auc_below_0_5_in_one_region_only,step9e_relationship_flip_score,step9e_source_raw_auc,step9e_target_raw_auc
ndvi_mean,mugla_2021__manavgat_2021,True,False,False,False,False,0,0.6616527794184797,0.5640055957519895
elevation_mean,mugla_2021__manavgat_2021,True,True,True,True,True,3,0.6114025048859928,0.232040982011245
slope_mean,mugla_2021__manavgat_2021,True,True,True,True,True,3,0.6368180084143384,0.4001814073550815
lst_anomaly_mean,mugla_2021__manavgat_2021,True,True,True,True,True,3,0.4845735569026068,0.5087692084924866
current_lst_mean,mugla_2021__manavgat_2021,True,True,True,True,True,3,0.324818209196232,0.6646991429203886
current_tvdi_mean,mugla_2021__manavgat_2021,True,True,True,True,True,3,0.3357699119089857,0.6770834881362302
tvdi_difference_mean,mugla_2021__manavgat_2021,True,True,False,False,False,1,0.4900245995441075,0.4603939869501002
downscaled_lst_mean,mugla_2021__manavgat_2021,True,True,True,True,True,3,0.3069772529643672,0.6831504494668662
fused_lst_mean,mugla_2021__manavgat_2021,True,True,True,True,True,3,0.3252143462207417,0.6662317904467838
ndvi_mean,manavgat_2021__mugla_2021,True,False,False,False,False,0,0.5640055957519895,0.6616527794184797
elevation_mean,manavgat_2021__mugla_2021,True,True,True,True,True,3,0.232040982011245,0.6114025048859928
slope_mean,manavgat_2021__mugla_2021,True,True,True,True,True,3,0.4001814073550815,0.6368180084143384
lst_anomaly_mean,manavgat_2021__mugla_2021,True,True,True,True,True,3,0.5087692084924866,0.4845735569026068
current_lst_mean,manavgat_2021__mugla_2021,True,True,True,True,True,3,0.6646991429203886,0.324818209196232
current_tvdi_mean,manavgat_2021__mugla_2021,True,True,True,True,True,3,0.6770834881362302,0.3357699119089857
tvdi_difference_mean,manavgat_2021__mugla_2021,True,True,False,False,False,1,0.4603939869501002,0.4900245995441075
downscaled_lst_mean,manavgat_2021__mugla_2021,True,True,True,True,True,3,0.6831504494668662,0.3069772529643672
fused_lst_mean,manavgat_2021__mugla_2021,True,True,True,True,True,3,0.6662317904467838,0.3252143462207417
