population,model,feature,importance
all_valid,baseline,num__ndvi_mean,0.18714468973275158
all_valid,baseline,num__elevation_mean,0.49115508509057004
all_valid,baseline,num__slope_mean,0.2773397021369866
all_valid,baseline,cat__landcover_dominant_10,0.009835795772632255
all_valid,baseline,cat__landcover_dominant_20,0.004001317517699638
all_valid,baseline,cat__landcover_dominant_30,0.009386343844908789
all_valid,baseline,cat__landcover_dominant_40,0.005568455126617642
all_valid,baseline,cat__landcover_dominant_50,0.003430267079091667
all_valid,baseline,cat__landcover_dominant_60,0.000828252473256546
all_valid,baseline,cat__landcover_dominant_80,0.011310087631342022
all_valid,baseline,cat__landcover_dominant_90,3.5941432451949214e-09
all_valid,thermal,num__ndvi_mean,0.0751387927283748
all_valid,thermal,num__elevation_mean,0.2583019993702035
all_valid,thermal,num__slope_mean,0.13715679869566574
all_valid,thermal,num__lst_anomaly_mean,0.07546025196535493
all_valid,thermal,num__current_lst_mean,0.059588537198285864
all_valid,thermal,num__current_tvdi_mean,0.09944413162939898
all_valid,thermal,num__tvdi_difference_mean,0.09013187653319617
all_valid,thermal,num__downscaled_lst_mean,0.10873065892597229
all_valid,thermal,num__fused_lst_mean,0.06491367430832885
all_valid,thermal,cat__landcover_dominant_10,0.00541944560439361
all_valid,thermal,cat__landcover_dominant_20,0.0027367437221829287
all_valid,thermal,cat__landcover_dominant_30,0.008934316457372398
all_valid,thermal,cat__landcover_dominant_40,0.006464989063396927
all_valid,thermal,cat__landcover_dominant_50,0.001931849995212497
all_valid,thermal,cat__landcover_dominant_60,0.0001024300465044177
all_valid,thermal,cat__landcover_dominant_80,0.005543503756156054
all_valid,thermal,cat__landcover_dominant_90,0.0
cropland_dominant,baseline,num__ndvi_mean,0.11288014087725513
cropland_dominant,baseline,num__elevation_mean,0.30924277965373664
cropland_dominant,baseline,num__slope_mean,0.5778770794690082
cropland_dominant,baseline,cat__landcover_dominant_40,0.0
cropland_dominant,thermal,num__ndvi_mean,0.049847472697120185
cropland_dominant,thermal,num__elevation_mean,0.19105463978169263
cropland_dominant,thermal,num__slope_mean,0.4448499069880023
cropland_dominant,thermal,num__lst_anomaly_mean,0.038964091159397425
cropland_dominant,thermal,num__current_lst_mean,0.03129629673450454
cropland_dominant,thermal,num__current_tvdi_mean,0.048520328443212
cropland_dominant,thermal,num__tvdi_difference_mean,0.08983946047262395
cropland_dominant,thermal,num__downscaled_lst_mean,0.0704204824415828
