population,fold,n_train,n_test,test_positives,test_negatives,auc_baseline,auc_thermal,pr_auc_baseline,pr_auc_thermal,brier_baseline,brier_thermal
all_valid,0,19271,4816,609,4207,0.8732131099040108,0.9197632923156065,0.49618348256245776,0.6519625438187854,0.11768309552271906,0.08746098611112992
all_valid,1,19270,4817,610,4207,0.8608451176220742,0.9278571623406734,0.48449229001894845,0.6596442192355275,0.12527858956897486,0.08654024256878491
all_valid,2,19269,4818,608,4210,0.856623093511689,0.9126308757344669,0.4341825430194283,0.6010978636976235,0.12023412048606462,0.09066230458667864
all_valid,3,19271,4816,609,4207,0.8561588844614673,0.9127347766233695,0.4803878828346217,0.6247417355012717,0.11849511355216574,0.0835116098567337
all_valid,4,19267,4820,610,4210,0.8783945329231727,0.9349982477317861,0.5304736601753202,0.7035266551388926,0.11437795990138443,0.07893569759243123
cropland_dominant,0,1009,251,11,240,0.946969696969697,0.8992424242424242,0.4666806518011357,0.2651962265309898,0.07864918516147788,0.06356839633053492
cropland_dominant,1,1007,253,11,242,0.8149887302779866,0.7877535687453042,0.2334257763609401,0.16569161996895804,0.07013690255991305,0.06079472987707397
cropland_dominant,2,1009,251,10,241,0.9518672199170124,0.9448132780082987,0.5498084291187739,0.28291725712342825,0.05189853426037739,0.04482528781145822
cropland_dominant,3,1007,253,11,242,0.8677685950413223,0.8925619834710744,0.19264478958933157,0.2241688451343274,0.06490060056109179,0.057168833401096686
cropland_dominant,4,1008,252,11,241,0.897774424745379,0.9569973594869859,0.2991407875241599,0.5093307019777608,0.04918112023072361,0.03735597187954782
burnable_tree_shrub_grass,0,16410,4101,587,3514,0.8356464625799552,0.9027220395613942,0.48706302746710195,0.651604961660038,0.13412498505213638,0.09725755593697571
burnable_tree_shrub_grass,1,16410,4101,586,3515,0.8313964044878361,0.8915991436020175,0.4625427816800571,0.593789634794677,0.13108748351446703,0.0980146823190802
burnable_tree_shrub_grass,2,16408,4103,587,3516,0.8439559821928667,0.9180155744583535,0.45923759087776495,0.6802315452946915,0.13380602049749052,0.09121913168996468
burnable_tree_shrub_grass,3,16408,4103,587,3516,0.8576286937494791,0.9168779180305944,0.4849728305104946,0.650197962277693,0.12619878333321088,0.09175948759455929
burnable_tree_shrub_grass,4,16408,4103,588,3515,0.8386047164242655,0.9121350673982253,0.46555847595236644,0.6586967793074555,0.13611178885315744,0.09637043391430039
burnable_tree_shrub,0,12430,3108,460,2648,0.7704929068698279,0.8648651976881649,0.33901820394146454,0.526639715571034,0.155747393225443,0.11278318188354836
burnable_tree_shrub,1,12432,3106,459,2647,0.7826470217856693,0.891235443092151,0.36833236353168697,0.614369851559164,0.14859355889395434,0.09917724112237881
burnable_tree_shrub,2,12430,3108,459,2649,0.769224379487964,0.8754929512596111,0.33537618678195547,0.5774529249427532,0.15509018967129842,0.1089415060235966
burnable_tree_shrub,3,12430,3108,460,2648,0.8042411007487194,0.8989179692631025,0.3936865218086671,0.6233478985227002,0.14490303385307307,0.10095604936261496
burnable_tree_shrub,4,12430,3108,459,2649,0.8192025436490606,0.9007008029502644,0.39999908694784453,0.5956393381899254,0.14167597156518566,0.10313740378609461
