collar,region,feature,auc,n,pos
full,manavgat_2021,elevation_mean,0.232040982011245,20511,2935
full,manavgat_2021,slope_mean,0.40018140735508156,20511,2935
full,manavgat_2021,ndvi_mean,0.5640055957519895,20511,2935
full,manavgat_2021,current_lst_mean,0.6646991429203886,20451,2935
full,manavgat_2021,lst_anomaly_mean,0.5087692084924866,20158,2901
full,manavgat_2021,current_tvdi_mean,0.6770834881362302,20451,2935
full,manavgat_2021,tvdi_difference_mean,0.4603939869501002,20450,2935
full,manavgat_2021,downscaled_lst_mean,0.6831504494668662,20511,2935
full,manavgat_2021,fused_lst_mean,0.6662317904467838,20511,2935
full,bejis_2022,elevation_mean,0.6432824053164721,15190,1100
full,bejis_2022,slope_mean,0.5207878895412608,15190,1100
full,bejis_2022,ndvi_mean,0.5587527905026131,15190,1100
full,bejis_2022,current_lst_mean,0.47674775069349284,14658,1016
full,bejis_2022,lst_anomaly_mean,0.4179915266529903,14210,1005
full,bejis_2022,current_tvdi_mean,0.5172782323463783,14658,1016
full,bejis_2022,tvdi_difference_mean,0.5124941631737097,14658,1016
full,bejis_2022,downscaled_lst_mean,0.4836430737466933,15190,1100
full,bejis_2022,fused_lst_mean,0.4806129105103555,15190,1100
full,mugla_2021,elevation_mean,0.6114025048859928,41730,2911
full,mugla_2021,slope_mean,0.6368180084143384,41730,2911
full,mugla_2021,ndvi_mean,0.6616527794184797,41730,2911
full,mugla_2021,current_lst_mean,0.324818209196232,41475,2911
full,mugla_2021,lst_anomaly_mean,0.4845735569026068,40389,2853
full,mugla_2021,current_tvdi_mean,0.3357699119089857,41475,2911
full,mugla_2021,tvdi_difference_mean,0.49002459954410754,41475,2911
full,mugla_2021,downscaled_lst_mean,0.30697725296436723,41730,2911
full,mugla_2021,fused_lst_mean,0.32521434622074175,41730,2911
full,evia_2021_extended,elevation_mean,0.540559580910425,9298,2664
full,evia_2021_extended,slope_mean,0.486543098344048,9298,2664
full,evia_2021_extended,ndvi_mean,0.6391494562092995,9298,2664
full,evia_2021_extended,current_lst_mean,0.37651907667348405,9275,2649
full,evia_2021_extended,lst_anomaly_mean,0.6400549435604515,9015,2565
full,evia_2021_extended,current_tvdi_mean,0.36188826587369816,9275,2649
full,evia_2021_extended,tvdi_difference_mean,0.5191031776643451,9273,2649
full,evia_2021_extended,downscaled_lst_mean,0.3765491129362415,9152,2657
full,evia_2021_extended,fused_lst_mean,0.37566126384147186,9298,2664
full,montiferru_2021,elevation_mean,0.5837706290859124,2544,539
full,montiferru_2021,slope_mean,0.6519721105399766,2544,539
full,montiferru_2021,ndvi_mean,0.5862731853113042,2544,539
full,montiferru_2021,current_lst_mean,0.3704643770906685,2544,539
