direction,target_region,n_target_cells,n_burned,target_prevalence,point_roc_auc,ci_2cell_lo_published,ci_2cell_hi_published,ci_2cell_lo_reproduced,ci_2cell_hi_reproduced,ci_10cell_lo,ci_10cell_hi,n_blocks_2cell,n_blocks_10cell,width_2cell,width_10cell,verdict_2cell,verdict_10cell,verdict_10cell_seed_stable,baseline_roc_auc,delta_roc_auc,delta_ci_2cell_lo_published,delta_ci_2cell_hi_published,delta_ci_2cell_lo_reproduced,delta_ci_2cell_hi_reproduced,delta_ci_10cell_lo,delta_ci_10cell_hi,delta_width_2cell,delta_width_10cell,delta_verdict_2cell,delta_verdict_10cell,delta_verdict_2cell_seed_stable,delta_verdict_10cell_seed_stable
Manavgat_to_Bejis,bejis_2022,15190,1100,0.0724,0.3964,0.3725,0.4219,0.3707,0.4212,0.3093,0.4783,3967,176,0.0505,0.1690,below,below,yes,0.3707,0.0257,0.0101,0.0420,0.0091,0.0420,-0.0123,0.0664,0.0330,0.0787,positive,uncertain,yes,yes
Bejis_to_Manavgat,manavgat_2021,20511,2935,0.1431,0.3142,0.2957,0.3316,0.2984,0.3312,0.2577,0.3717,5439,237,0.0328,0.1140,below,below,yes,0.2966,0.0176,0.0065,0.0291,0.0060,0.0290,-0.0135,0.0488,0.0229,0.0623,positive,uncertain,no,yes
Manavgat_to_Mugla,mugla_2021,41730,2911,0.0698,0.4377,0.4177,0.4562,0.4191,0.4586,0.3640,0.5063,11316,576,0.0394,0.1423,below,uncertain,yes,0.4656,-0.0279,-0.0396,-0.0161,-0.0389,-0.0175,-0.0564,-0.0019,0.0214,0.0545,negative,negative,yes,no
Mugla_to_Manavgat,manavgat_2021,20511,2935,0.1431,0.3450,0.3307,0.3589,0.3314,0.3587,0.3065,0.3863,5439,237,0.0274,0.0798,below,below,yes,0.4223,-0.0773,-0.0894,-0.0652,-0.0890,-0.0645,-0.1065,-0.0487,0.0245,0.0578,negative,negative,yes,yes
Manavgat_to_Evia,evia_2021_extended,9298,2664,0.2865,0.6540,0.6332,0.6763,0.6339,0.6758,0.5825,0.7287,2566,155,0.0418,0.1462,above,above,yes,0.6226,0.0314,0.0162,0.0454,0.0148,0.0471,-0.0060,0.0709,0.0323,0.0769,positive,uncertain,yes,yes
Evia_to_Manavgat,manavgat_2021,20511,2935,0.1431,0.6769,0.6583,0.6973,0.6586,0.6958,0.6206,0.7295,5439,237,0.0372,0.1089,above,above,yes,0.7274,-0.0505,-0.0662,-0.0344,-0.0657,-0.0341,-0.0973,-0.0054,0.0316,0.0919,negative,negative,yes,yes
Bejis_to_Mugla,mugla_2021,41730,2911,0.0698,0.6185,0.6008,0.6346,0.6020,0.6339,0.5617,0.6751,11316,576,0.0319,0.1133,above,above,yes,0.5922,0.0262,0.0140,0.0384,0.0134,0.0391,-0.0156,0.0679,0.0258,0.0835,positive,uncertain,yes,yes
Mugla_to_Bejis,bejis_2022,15190,1100,0.0724,0.5832,0.5607,0.6073,0.5584,0.6070,0.5318,0.6364,3967,176,0.0486,0.1046,above,above,yes,0.4507,0.1325,0.1048,0.1583,0.1039,0.1579,0.0654,0.1922,0.0540,0.1268,positive,positive,yes,yes
Bejis_to_Evia,evia_2021_extended,9298,2664,0.2865,0.3828,0.3630,0.4019,0.3634,0.4020,0.3304,0.4306,2566,155,0.0386,0.1003,below,below,yes,0.5305,-0.1476,-0.1682,-0.1263,-0.1722,-0.1249,-0.2018,-0.0948,0.0473,0.1071,negative,negative,yes,yes
Evia_to_Bejis,bejis_2022,15190,1100,0.0724,0.4480,0.4258,0.4699,0.4259,0.4696,0.3942,0.4973,3967,176,0.0437,0.1031,below,below,no,0.3917,0.0563,0.0371,0.0772,0.0364,0.0765,0.0187,0.1014,0.0401,0.0827,positive,positive,yes,yes
