direction,baseline_roc,baseline_ci_low,baseline_ci_high,thermal_roc,thermal_ci_low,thermal_ci_high,delta_roc,delta_ci_low,delta_ci_high,delta_interpretation
manavgat_2021_to_bejis_2022,0.3707,0.3490,0.3941,0.3964,0.3723,0.4226,0.0257,0.0101,0.0420,positive_bootstrap_support
manavgat_2021_to_mugla_2021,0.4656,0.4452,0.4832,0.4377,0.4191,0.4553,-0.0279,-0.0396,-0.0161,negative_bootstrap_support
manavgat_2021_to_evia_2021_extended,0.6226,0.6037,0.6423,0.6540,0.6323,0.6746,0.0314,0.0162,0.0454,positive_bootstrap_support
manavgat_2021_to_montiferru_2021,0.5340,0.4954,0.5734,0.5178,0.4731,0.5613,-0.0162,-0.0466,0.0126,uncertain
bejis_2022_to_manavgat_2021,0.2966,0.2788,0.3149,0.3142,0.2977,0.3313,0.0176,0.0065,0.0291,positive_bootstrap_support
bejis_2022_to_mugla_2021,0.5922,0.5749,0.6088,0.6185,0.6019,0.6339,0.0262,0.0140,0.0384,positive_bootstrap_support
bejis_2022_to_evia_2021_extended,0.5305,0.5129,0.5491,0.3828,0.3640,0.4029,-0.1476,-0.1682,-0.1263,negative_bootstrap_support
bejis_2022_to_montiferru_2021,0.5530,0.5156,0.5908,0.5937,0.5582,0.6301,0.0407,0.0054,0.0730,positive_bootstrap_support
mugla_2021_to_manavgat_2021,0.4223,0.4078,0.4378,0.3450,0.3316,0.3591,-0.0773,-0.0894,-0.0652,negative_bootstrap_support
mugla_2021_to_bejis_2022,0.4507,0.4267,0.4771,0.5832,0.5587,0.6053,0.1325,0.1048,0.1583,positive_bootstrap_support
mugla_2021_to_evia_2021_extended,0.5998,0.5819,0.6189,0.6534,0.6336,0.6722,0.0536,0.0388,0.0674,positive_bootstrap_support
mugla_2021_to_montiferru_2021,0.6105,0.5716,0.6512,0.5312,0.4979,0.5669,-0.0793,-0.1168,-0.0374,negative_bootstrap_support
evia_2021_extended_to_manavgat_2021,0.7274,0.7110,0.7422,0.6769,0.6579,0.6948,-0.0505,-0.0662,-0.0344,negative_bootstrap_support
evia_2021_extended_to_bejis_2022,0.3917,0.3678,0.4145,0.4480,0.4266,0.4685,0.0563,0.0371,0.0772,positive_bootstrap_support
evia_2021_extended_to_mugla_2021,0.5125,0.4927,0.5305,0.5768,0.5598,0.5941,0.0643,0.0444,0.0829,positive_bootstrap_support
evia_2021_extended_to_montiferru_2021,0.5494,0.5074,0.5884,0.6467,0.6090,0.6828,0.0973,0.0543,0.1385,positive_bootstrap_support
montiferru_2021_to_manavgat_2021,0.3379,0.3193,0.3571,0.4041,0.3854,0.4233,0.0662,0.0533,0.0796,positive_bootstrap_support
montiferru_2021_to_bejis_2022,0.6126,0.5866,0.6373,0.5483,0.5210,0.5781,-0.0643,-0.0823,-0.0440,negative_bootstrap_support
montiferru_2021_to_mugla_2021,0.6512,0.6341,0.6680,0.6194,0.6031,0.6346,-0.0319,-0.0476,-0.0170,negative_bootstrap_support
montiferru_2021_to_evia_2021_extended,0.5564,0.5349,0.5757,0.5862,0.5646,0.6065,0.0298,0.0132,0.0457,positive_bootstrap_support
