frame,direction,n_supported_both,agree_fraction_supported,cosine_9,transfer
full,manavgat_2021_to_bejis_2022,1,0.0,-0.5450001229493089,0.3964
full,manavgat_2021_to_mugla_2021,7,0.14285714285714285,-0.7971612681691544,0.4377
full,manavgat_2021_to_evia_2021_extended,5,0.2,-0.5947887647602748,0.654
full,manavgat_2021_to_montiferru_2021,2,0.0,-0.7225426259686878,0.5178
full,bejis_2022_to_manavgat_2021,1,0.0,-0.5450001229493089,0.3142
full,bejis_2022_to_mugla_2021,1,1.0,0.4805606399292803,0.6185
full,bejis_2022_to_evia_2021_extended,1,0.0,0.1250022073317287,0.3828
full,bejis_2022_to_montiferru_2021,0,,0.4868821436161877,0.5937
full,mugla_2021_to_manavgat_2021,7,0.14285714285714285,-0.7971612681691544,0.345
full,mugla_2021_to_bejis_2022,1,1.0,0.4805606399292803,0.5832
full,mugla_2021_to_evia_2021_extended,5,1.0,0.8082683241259494,0.6534
full,mugla_2021_to_montiferru_2021,2,1.0,0.8996205722937114,0.5312
full,evia_2021_extended_to_manavgat_2021,5,0.2,-0.5947887647602748,0.6769
full,evia_2021_extended_to_bejis_2022,1,0.0,0.1250022073317287,0.448
full,evia_2021_extended_to_mugla_2021,5,1.0,0.8082683241259494,0.5768
full,evia_2021_extended_to_montiferru_2021,1,1.0,0.5411650209811909,0.6467
full,montiferru_2021_to_manavgat_2021,2,0.0,-0.7225426259686878,0.4041
full,montiferru_2021_to_bejis_2022,0,,0.4868821436161877,0.5483
full,montiferru_2021_to_mugla_2021,2,1.0,0.8996205722937114,0.6194
full,montiferru_2021_to_evia_2021_extended,1,1.0,0.5411650209811909,0.5862
collar10,manavgat_2021_to_bejis_2022,0,,-0.3879925921494059,0.4067471874936882
collar10,manavgat_2021_to_mugla_2021,1,0.0,-0.461713430215858,0.4929358662111415
collar10,manavgat_2021_to_evia_2021_extended,1,0.0,-0.4568327859384019,0.7041564052370128
collar10,manavgat_2021_to_montiferru_2021,0,,-0.33321839960093474,0.6268513649343992
collar10,bejis_2022_to_manavgat_2021,0,,-0.3879925921494059,0.4518406708646665
collar10,bejis_2022_to_mugla_2021,5,1.0,0.8602877270212723,0.631353207604753
collar10,bejis_2022_to_evia_2021_extended,5,1.0,0.7634877696334366,0.6020573727933541
collar10,bejis_2022_to_montiferru_2021,1,1.0,0.9249854574762992,0.6694017339473882
collar10,mugla_2021_to_manavgat_2021,1,0.0,-0.461713430215858,0.4332060032457249
collar10,mugla_2021_to_bejis_2022,5,1.0,0.8602877270212723,0.6005303871866858
collar10,mugla_2021_to_evia_2021_extended,7,1.0,0.9726111697252767,0.7278867652699428
collar10,mugla_2021_to_montiferru_2021,1,1.0,0.8720797668181607,0.5491945997913633
collar10,evia_2021_extended_to_manavgat_2021,1,0.0,-0.4568327859384019,0.5937672054602534
collar10,evia_2021_extended_to_bejis_2022,5,1.0,0.7634877696334366,0.5207648805315991
collar10,evia_2021_extended_to_mugla_2021,7,1.0,0.9726111697252767,0.6369476913190233
collar10,evia_2021_extended_to_montiferru_2021,1,1.0,0.8146888549771129,0.7099218420884966
collar10,montiferru_2021_to_manavgat_2021,0,,-0.33321839960093474,0.4971541205663263
collar10,montiferru_2021_to_bejis_2022,1,1.0,0.9249854574762992,0.6240372846438166
collar10,montiferru_2021_to_mugla_2021,1,1.0,0.8720797668181607,0.603046166950845
collar10,montiferru_2021_to_evia_2021_extended,1,1.0,0.8146888549771129,0.7000579726923184
