kind,name,config,auc,auc_ci_low,auc_ci_high,delta_vs_full,delta_ci_low,delta_ci_high,parity_check_diff
transfer,manavgat_2021_to_bejis_2022,full,0.3964,0.3136,0.4795,,,,0
transfer,manavgat_2021_to_bejis_2022,drop_elev,0.5671,0.4960,0.6306,0.1707,0.1134,0.2318,
transfer,manavgat_2021_to_bejis_2022,drop_anom,0.3962,0.3144,0.4782,-0.0002,-0.0071,0.0068,
transfer,manavgat_2021_to_bejis_2022,drop_both,0.5326,0.4653,0.5963,0.1362,0.0769,0.1969,
transfer,manavgat_2021_to_mugla_2021,full,0.4377,0.3631,0.5086,,,,0
transfer,manavgat_2021_to_mugla_2021,drop_elev,0.4356,0.3832,0.4897,-0.0021,-0.0365,0.0386,
transfer,manavgat_2021_to_mugla_2021,drop_anom,0.4451,0.3692,0.5231,0.0074,-0.0049,0.0209,
transfer,manavgat_2021_to_mugla_2021,drop_both,0.4438,0.3870,0.5008,0.0061,-0.0304,0.0467,
transfer,manavgat_2021_to_evia_2021_extended,full,0.6540,0.5788,0.7213,,,,0
transfer,manavgat_2021_to_evia_2021_extended,drop_elev,0.5489,0.4782,0.6187,-0.1051,-0.1322,-0.0775,
transfer,manavgat_2021_to_evia_2021_extended,drop_anom,0.6166,0.5428,0.6903,-0.0374,-0.0483,-0.0274,
transfer,manavgat_2021_to_evia_2021_extended,drop_both,0.5495,0.4797,0.6189,-0.1045,-0.1299,-0.0783,
transfer,manavgat_2021_to_montiferru_2021,full,0.5178,0.4203,0.6360,,,,0
transfer,manavgat_2021_to_montiferru_2021,drop_elev,0.5341,0.4422,0.6269,0.0163,-0.0347,0.0674,
transfer,manavgat_2021_to_montiferru_2021,drop_anom,0.5153,0.4188,0.6299,-0.0025,-0.0207,0.0143,
transfer,manavgat_2021_to_montiferru_2021,drop_both,0.5208,0.4294,0.6118,0.0030,-0.0442,0.0498,
transfer,bejis_2022_to_manavgat_2021,full,0.3142,0.2568,0.3739,,,,0
transfer,bejis_2022_to_manavgat_2021,drop_elev,0.4376,0.4001,0.4795,0.1235,0.0738,0.1737,
transfer,bejis_2022_to_manavgat_2021,drop_anom,0.3000,0.2429,0.3608,-0.0141,-0.0301,-0.0018,
transfer,bejis_2022_to_manavgat_2021,drop_both,0.4422,0.4035,0.4836,0.1281,0.0795,0.1768,
transfer,bejis_2022_to_mugla_2021,full,0.6185,0.5601,0.6771,,,,0
transfer,bejis_2022_to_mugla_2021,drop_elev,0.5637,0.5082,0.6129,-0.0548,-0.1244,0.0153,
