measure,label,family,computable,n_directions,n_pairs,rho_published,rho,ci_published,ci,valid_reps,p_boot,p_iid,p_boot_bh,p_iid_bh,p_boot_holm
regime_dist_log_effn,Regime distance |Δ log effective component count| (primary),P(y) spatial structure,True,20,10,0.1087,0.1086800190844143,"[-0.6699, 0.7971]","[-0.654889518205751, 0.7909811311360508]",20000,0.7685,0.648324112700916,0.9431764705882353,0.8708538867447075,1.0
regime_dist_largest_share,Regime distance |Δ largest-component share| (secondary),P(y) spatial structure,True,20,10,0.1087,0.1086800190844143,"[-0.6649, 0.7662]","[-0.654889518205751, 0.7909811311360508]",20000,0.7685,0.648324112700916,0.9431764705882353,0.8708538867447075,1.0
domain_classifier_auc,Domain-classifier AUC (marginal separability),P(x) marginal,True,20,10,-0.326,-0.32604005725324287,"[-0.8095, 0.3587]","[-0.7974409617463283, 0.34508143965356414]",20000,0.3002,0.160648843739306,0.8577142857142858,0.4589966963980171,1.0
target_mean_dissimilarity,"Predictor-space mean dissimilarity (Emrehan, weighted AoA)",P(x) marginal,True,12,6,-0.1259,-0.1258741258741259,"[-0.6739, 0.3696]","[-0.657142857142857, 0.3478260869565217]",20000,0.6315,0.696683109395766,0.9431764705882353,0.8708538867447075,1.0
target_p95_dissimilarity,Predictor-space p95 dissimilarity (Emrehan),P(x) marginal,True,12,6,-0.1469,-0.14685314685314685,"[-0.6763, 0.2446]","[-0.6917293233082705, 0.2302158273381295]",20000,0.4727,0.6487957097846665,0.9431764705882353,0.8708538867447075,1.0
fraction_inside_weighted_aoa,Fraction of target inside weighted AoA (Emrehan),P(x) marginal,True,12,6,0.2098,0.20979020979020982,"[-0.4783, 0.6232]","[-0.45669406150583225, 0.624113475177305]",20000,0.6449,0.512840943181826,0.9431764705882353,0.8708538867447075,1.0
climate_distance,"Climatic distance (Emrehan, TerraClimate)",P(x) marginal,True,12,6,0.0283,0.02827013970960878,"[-0.8367, 0.8356]","[-0.8392543274162824, 0.8366600265340755]",19997,0.9829474421163175,0.9305030347365681,0.9829474421163175,0.9305030347365681,1.0
geographic_distance_km,Geographic centroid distance km (Emrehan),geographic,True,12,6,-0.1696,-0.16962083825765267,"[-0.8671, 0.8393]","[-0.8497677701336375, 0.8392543274162824]",19997,0.7152072810921638,0.5981778771673885,0.9431764705882353,0.8708538867447075,1.0
unweighted_fraction_inside_support,Fraction of target inside unweighted support (Emrehan),P(x) marginal,True,12,6,0.0839,0.08391608391608392,"[-0.9209, 0.7609]","[-0.8913043478260869, 0.7593984962406014]",20000,0.8017,0.7954145018538978,0.9431764705882353,0.9305030347365681,1.0
agree_count_9,"Sign-agreement count, all 9 features",P(y|x) conditional,True,20,10,0.4673,0.4672651358195865,"[-0.2908, 0.7957]","[-0.28110108482854224, 0.7950989171142427]",20000,0.1802,0.03777613372588698,0.7297949336550059,0.18478417946486225,1.0
