target,scaling,feature_set,n_train,n_test,roc_auc,roc_ci_low,roc_ci_high,pr_auc,no_skill,brier,best_pairwise_thermal,mean_pairwise_thermal,within_thermal
manavgat_2021,raw,baseline,68762,20511,0.5142,0.4627,0.5634,0.1442,0.1431,0.2069,0.6769,0.4350,0.9081
manavgat_2021,raw,thermal,68762,20511,0.4262,0.3686,0.4857,0.1215,0.1431,0.1982,0.6769,0.4350,0.9081
manavgat_2021,regionwise_z,baseline,68762,20511,0.5009,0.4567,0.5499,0.1392,0.1431,0.2017,0.6769,0.4350,0.9081
manavgat_2021,regionwise_z,thermal,68762,20511,0.4872,0.4362,0.5415,0.1373,0.1431,0.2014,0.6769,0.4350,0.9081
bejis_2022,raw,baseline,74083,15190,0.4031,0.3358,0.4749,0.0556,0.0724,0.1194,0.5832,0.4940,0.9178
bejis_2022,raw,thermal,74083,15190,0.4584,0.3958,0.5216,0.0603,0.0724,0.1224,0.5832,0.4940,0.9178
bejis_2022,regionwise_z,baseline,74083,15190,0.4030,0.3451,0.4645,0.0576,0.0724,0.1814,0.5832,0.4940,0.9178
bejis_2022,regionwise_z,thermal,74083,15190,0.4758,0.4380,0.5196,0.0655,0.0724,0.1729,0.5832,0.4940,0.9178
mugla_2021,raw,baseline,47543,41730,0.5220,0.4521,0.5875,0.0752,0.0698,0.1841,0.6194,0.5631,0.8590
mugla_2021,raw,thermal,47543,41730,0.5058,0.4279,0.5866,0.0734,0.0698,0.1792,0.6194,0.5631,0.8590
mugla_2021,regionwise_z,baseline,47543,41730,0.5494,0.5210,0.5764,0.0775,0.0698,0.1935,0.6194,0.5631,0.8590
mugla_2021,regionwise_z,thermal,47543,41730,0.4900,0.4414,0.5375,0.0714,0.0698,0.1745,0.6194,0.5631,0.8590
evia_2021_extended,raw,baseline,79975,9298,0.6394,0.5953,0.6763,0.3759,0.2865,0.2138,0.6540,0.5691,0.9122
evia_2021_extended,raw,thermal,79975,9298,0.7148,0.6680,0.7571,0.4528,0.2865,0.1853,0.6540,0.5691,0.9122
evia_2021_extended,regionwise_z,baseline,79975,9298,0.4758,0.4255,0.5323,0.2759,0.2865,0.2720,0.6540,0.5691,0.9122
evia_2021_extended,regionwise_z,thermal,79975,9298,0.4421,0.3795,0.5145,0.2662,0.2865,0.2995,0.6540,0.5691,0.9122
montiferru_2021,raw,baseline,86729,2544,0.5775,0.4889,0.6710,0.2434,0.2119,0.2372,0.6467,0.5724,0.8826
montiferru_2021,raw,thermal,86729,2544,0.5599,0.4833,0.6334,0.2345,0.2119,0.1894,0.6467,0.5724,0.8826
montiferru_2021,regionwise_z,baseline,86729,2544,0.5199,0.4725,0.5621,0.2153,0.2119,0.1820,0.6467,0.5724,0.8826
montiferru_2021,regionwise_z,thermal,86729,2544,0.4956,0.4433,0.5411,0.2148,0.2119,0.1811,0.6467,0.5724,0.8826
