block,direction,source_region,target_region,metric,value,ci_low,ci_high,source_file,source_column
aoa,manavgat_2021_to_bejis_2022,manavgat_2021,bejis_2022,fraction_inside_weighted_aoa,0.1976300197498354,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",fraction_inside_weighted_aoa
aoa,manavgat_2021_to_bejis_2022,manavgat_2021,bejis_2022,unweighted_fraction_target_cells_inside_support,0.91560236998025,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",unweighted_fraction_target_cells_inside_support
aoa,manavgat_2021_to_bejis_2022,manavgat_2021,bejis_2022,target_mean_dissimilarity,0.2786658752944363,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_mean_dissimilarity
aoa,manavgat_2021_to_bejis_2022,manavgat_2021,bejis_2022,target_p95_dissimilarity,0.4574153023356973,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_p95_dissimilarity
aoa,manavgat_2021_to_bejis_2022,manavgat_2021,bejis_2022,raw_thermal_roc_auc,0.3964026711400735,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_roc_auc
aoa,manavgat_2021_to_bejis_2022,manavgat_2021,bejis_2022,raw_thermal_pr_auc,0.0541744834189216,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_pr_auc
aoa,manavgat_2021_to_mugla_2021,manavgat_2021,mugla_2021,fraction_inside_weighted_aoa,0.8757758021614627,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",fraction_inside_weighted_aoa
aoa,manavgat_2021_to_mugla_2021,manavgat_2021,mugla_2021,unweighted_fraction_target_cells_inside_support,0.9639596463061034,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",unweighted_fraction_target_cells_inside_support
aoa,manavgat_2021_to_mugla_2021,manavgat_2021,mugla_2021,target_mean_dissimilarity,0.1377878262886473,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_mean_dissimilarity
aoa,manavgat_2021_to_mugla_2021,manavgat_2021,mugla_2021,target_p95_dissimilarity,0.2346943467864302,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_p95_dissimilarity
aoa,manavgat_2021_to_mugla_2021,manavgat_2021,mugla_2021,raw_thermal_roc_auc,0.4376617829318566,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_roc_auc
aoa,manavgat_2021_to_mugla_2021,manavgat_2021,mugla_2021,raw_thermal_pr_auc,0.0595168689240478,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_pr_auc
aoa,manavgat_2021_to_evia_2021_extended,manavgat_2021,evia_2021_extended,fraction_inside_weighted_aoa,0.7348892234889224,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",fraction_inside_weighted_aoa
aoa,manavgat_2021_to_evia_2021_extended,manavgat_2021,evia_2021_extended,unweighted_fraction_target_cells_inside_support,0.9424607442460744,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",unweighted_fraction_target_cells_inside_support
aoa,manavgat_2021_to_evia_2021_extended,manavgat_2021,evia_2021_extended,target_mean_dissimilarity,0.1642688164945299,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_mean_dissimilarity
aoa,manavgat_2021_to_evia_2021_extended,manavgat_2021,evia_2021_extended,target_p95_dissimilarity,0.2923401266056869,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_p95_dissimilarity
aoa,manavgat_2021_to_evia_2021_extended,manavgat_2021,evia_2021_extended,raw_thermal_roc_auc,0.6540092625033838,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_roc_auc
aoa,manavgat_2021_to_evia_2021_extended,manavgat_2021,evia_2021_extended,raw_thermal_pr_auc,0.4065333593047762,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_pr_auc
aoa,bejis_2022_to_manavgat_2021,bejis_2022,manavgat_2021,fraction_inside_weighted_aoa,0.2207248844563366,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",fraction_inside_weighted_aoa
aoa,bejis_2022_to_manavgat_2021,bejis_2022,manavgat_2021,unweighted_fraction_target_cells_inside_support,0.7485769885672586,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",unweighted_fraction_target_cells_inside_support
aoa,bejis_2022_to_manavgat_2021,bejis_2022,manavgat_2021,target_mean_dissimilarity,0.365092481069614,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_mean_dissimilarity
aoa,bejis_2022_to_manavgat_2021,bejis_2022,manavgat_2021,target_p95_dissimilarity,0.687146340764711,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_p95_dissimilarity
aoa,bejis_2022_to_manavgat_2021,bejis_2022,manavgat_2021,raw_thermal_roc_auc,0.3141548720223256,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_roc_auc
aoa,bejis_2022_to_manavgat_2021,bejis_2022,manavgat_2021,raw_thermal_pr_auc,0.0977677246262994,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_pr_auc
aoa,bejis_2022_to_mugla_2021,bejis_2022,mugla_2021,fraction_inside_weighted_aoa,0.1997795403896384,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",fraction_inside_weighted_aoa
aoa,bejis_2022_to_mugla_2021,bejis_2022,mugla_2021,unweighted_fraction_target_cells_inside_support,0.7637966978984448,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",unweighted_fraction_target_cells_inside_support
